gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
FASTKD1,2.130151,0.4115434,-1.7186077,False,0.1714509,0.34446144
SV2A,1.7187771,0.15570235,-1.5630747,False,0.21865466,0.11670972
DYNLL2,2.7776465,1.630473,-1.1471735,False,0.110120624,0.3821777
POLR1E,1.6009142,0.6882266,-0.91268766,False,0.24361031,0.43406737
MT-ND3,1.7554234,2.4719012,0.71647775,True,0.78610706,1.2106785
TBC1D4,1.0131379,0.41516337,-0.59797454,False,0.29527423,0.23185757
ORAI2,0.92420834,0.5841862,-0.34002215,False,0.304288,0.2971161
CDK5RAP3,1.4995854,1.199579,-0.3000064,False,0.27391037,0.34028345
WWC3,1.4296751,1.1417456,-0.28792953,False,0.29689923,0.32707876
PHLDA3,0.48402876,0.7549825,0.2709537,True,0.32843012,0.5433959
MT-ATP6,1.7147563,1.9823989,0.26764262,True,0.97399217,1.1022334
SESN1,1.3295916,1.573194,0.2436024,True,0.42911422,0.5681495
PIPOX,1.3608539,1.119693,-0.24116087,True,0.35072494,0.3868609
MT-ND4,1.8822018,2.122947,0.24074519,True,0.9863533,1.1335266
FDXR,1.2778784,1.5114886,0.23361015,True,0.37710968,0.52774495
EPS8L2,0.89624125,1.1291066,0.2328654,True,0.37565914,0.48542327
RRM2B,1.15014,1.3630934,0.21295333,True,0.33941558,0.38413468
BAX,3.2382326,3.4380236,0.19979095,True,0.12913452,0.18908839
BBC3,0.86217064,1.0602436,0.19807297,True,0.41324192,0.50936323
CHD7,2.3055537,2.1116428,-0.19391084,True,0.2723786,0.30511364
TNFRSF10B,1.6190304,1.8123397,0.1933093,True,0.33569923,0.36148927
FOSL1,0.18665719,0.3633415,0.17668432,True,0.15412702,0.34946656
CDKN1A,0.13551252,0.31015635,0.17464383,True,0.1684509,0.44214526
TRIM22,0.6868747,0.860712,0.1738373,True,0.41427281,0.5021602
DDB2,0.83584666,1.0091007,0.17325401,True,0.3656719,0.4372539
KATNBL1,1.0107999,0.840511,-0.17028886,False,0.30653712,0.30505472
ZMAT3,0.61741245,0.77833295,0.1609205,True,0.34243125,0.4751211
MDM2,2.2816887,2.4379354,0.15624666,True,0.197448,0.35179904
GADD45A,0.71394557,0.8613198,0.14737421,True,0.34338844,0.40395164
INKA2,0.612367,0.75751567,0.1451487,True,0.32431173,0.37799144
HERC5,0.8363185,0.98050404,0.14418554,True,0.3437243,0.37034616
SLC12A4,1.1378051,1.2795491,0.14174402,True,0.37062162,0.40715662
COL1A1,2.260025,2.4004145,0.14038944,True,0.40600464,0.3405822
MT1X,1.2593601,1.3996655,0.1403054,True,0.58770955,0.5834765
CMBL,1.0228338,1.160437,0.13760316,False,0.30436218,0.3029011
CTBP2,3.8757634,3.7402644,-0.135499,False,0.047311693,0.064253114
TM7SF3,1.8696523,2.0042305,0.13457823,True,0.2239849,0.2569615
POLH,0.4251729,0.5589879,0.13381502,True,0.2642011,0.3811154
PLAAT3,1.6658874,1.7976952,0.1318078,True,0.36285684,0.36933127
PHLDA1,1.0242558,1.1555068,0.1312511,True,0.4561791,0.5205087
DDIT4,0.8543927,0.984495,0.13010228,True,0.7079657,0.7418687
EPPK1,1.5018363,1.6300535,0.12821722,True,0.36317953,0.4039374
ASCC3,1.939024,2.0671685,0.1281445,True,0.20493516,0.21684882
SKA1,1.5937171,1.4671373,-0.12657976,False,0.25661516,0.31460607
ZSWIM8,0.50187206,0.37666517,-0.12520689,False,0.23700885,0.20272923
AEN,2.7892292,2.913608,0.12437892,True,0.14283648,0.16687678
MT-CYB,0.6396104,0.7630998,0.12348938,True,0.489698,0.56667453
MT-CO2,1.645371,1.767357,0.12198603,True,0.917779,0.98157275
SCGB3A2,2.1600077,2.2785935,0.118585825,True,1.0063828,0.8478133
KIAA0319L,1.795069,1.6767626,-0.1183064,False,0.21352197,0.22841765
TAP1,0.6942486,0.81128925,0.117040634,True,0.3381539,0.3535087
TP53INP1,0.43075094,0.54664886,0.11589792,True,0.24165086,0.32491758
NXN,1.5317801,1.4168322,-0.114947915,False,0.24844176,0.25349012
INPP5D,0.13704288,0.25064227,0.11359939,False,0.09685217,0.17338997
LITAF,2.7599976,2.8735154,0.11351776,True,0.18362416,0.18088846
BTG2,0.11117711,0.22206984,0.110892735,True,0.11413894,0.28113836
FZD2,0.7157441,0.6049551,-0.110789,True,0.36336026,0.35112604
UBASH3B,0.63254124,0.7431768,0.11063558,False,0.29442513,0.34007818
SYT6,0.83240587,0.7224938,-0.10991204,False,0.3056376,0.2853211
TRIAP1,2.3200333,2.428577,0.108543634,True,0.1575913,0.2017984
EFCAB10,0.49446684,0.6029086,0.10844177,False,0.25968823,0.3240461
MIPEP,0.90628225,0.79811364,-0.1081686,False,0.29119837,0.28811526
UFM1,2.4190683,2.5240748,0.10500646,True,0.15361544,0.16696987
IKBIP,0.55091214,0.6555813,0.10466915,False,0.26367143,0.30638066
ZIC2,1.9019088,1.7972832,-0.10462558,True,0.40680227,0.50615853
TOB1,1.5985638,1.703128,0.10456419,True,0.37077996,0.38510075
TOMM5,2.8542087,2.7514977,-0.10271096,False,0.098145366,0.1441949
DUSP6,2.2662961,2.165913,-0.10038304,True,0.42365897,0.48504886
ERCC1,1.4426776,1.5429678,0.10029018,False,0.27041417,0.23846519
TMEM106C,1.5577834,1.4598209,-0.0979625,True,0.37999824,0.39579627
SH3PXD2B,1.9548172,1.8571259,-0.0976913,False,0.20834506,0.22767203
SOCS2,1.2737695,1.176927,-0.09684253,True,0.4973071,0.5069253
WFDC2,2.037881,2.1342852,0.096404314,True,0.29843947,0.25304827
TFPI2,0.67664933,0.77299166,0.096342325,True,0.33158126,0.3576268
PLK2,0.31356177,0.40908128,0.09551951,True,0.21140723,0.28566638
OPN3,0.9301242,0.8346074,-0.0955168,True,0.42169705,0.40297624
JAKMIP2,1.282878,1.1878947,-0.09498334,True,0.41678047,0.40851647
GLS2,0.41650555,0.5114415,0.09493598,True,0.23923886,0.30162236
GDF15,0.062043127,0.15696803,0.0949249,True,0.06396277,0.19259828
APOBEC3C,0.7874392,0.88133395,0.09389472,True,0.3237353,0.375753
CCNG1,3.3750894,3.468585,0.09349561,True,0.09383069,0.102279864
PNRC1,1.5150425,1.6080664,0.093023896,True,0.40612546,0.41975784
UHRF1,2.392236,2.2994087,-0.09282732,True,0.2816612,0.3310431
CDC42BPG,0.9033057,0.99520797,0.091902256,True,0.3281254,0.38325477
FGFBP3,1.5303756,1.4387127,-0.091662884,True,0.39057454,0.40165442
STK17A,1.0407369,1.1319985,0.091261625,True,0.3449228,0.3631439
FNIP1,0.883838,0.97466743,0.09082943,False,0.3051721,0.33250973
FRAT2,1.6338485,1.7244987,0.0906502,True,0.30995584,0.2926164
FAM210B,0.88093495,0.9714668,0.090531826,True,0.35170266,0.3763743
UPK3B,0.5589446,0.6493352,0.09039062,False,0.27225378,0.29251963
COL1A2,1.968163,2.057948,0.0897851,True,0.27713346,0.25074285
BLOC1S2,2.034544,2.1241593,0.089615345,False,0.21189629,0.23135829
KIF21A,1.8242197,1.7356772,-0.08854246,True,0.24974558,0.30542293
PRXL2A,1.8079959,1.7195154,-0.08848047,False,0.21332894,0.21053141
CAPG,1.0828618,1.1707442,0.0878824,False,0.3175583,0.29721415
JMJD4,0.8803508,0.79282236,-0.08752847,False,0.31049007,0.3125738
EMC4,2.9615839,2.874444,-0.087139845,False,0.081224814,0.09145086
SESN2,1.1401006,1.2271489,0.08704829,True,0.3993862,0.4358283
WFS1,1.0987208,1.1853973,0.08667648,False,0.29198083,0.25948247
AVEN,1.4445827,1.3586962,-0.08588648,False,0.3008583,0.30456036
MAP7D1,1.8296365,1.7438008,-0.085835695,True,0.27137268,0.34550977
SFRP1,4.2489777,4.1634126,-0.08556509,True,0.12169684,0.14480177
ISYNA1,1.6589198,1.7443538,0.08543396,False,0.25051764,0.25121227
DERA,1.5142007,1.4288183,-0.08538234,True,0.30567244,0.35908636
C19orf33,0.54210865,0.6273315,0.08522284,False,0.2642683,0.30199644
S100A10,3.133715,3.2185564,0.08484149,True,0.22135624,0.21790466
EGR1,0.81692857,0.9015931,0.08466452,True,0.5892243,0.67202884
SULF2,0.48579115,0.5703525,0.08456135,False,0.2485435,0.290798
NFAT5,0.8433789,0.92750376,0.08412486,False,0.29925078,0.30477333
