gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
LEFTY1,0.40002847,1.4109457,1.0109172,True,0.4464706,1.4837075
NODAL,0.39589173,1.2267777,0.83088595,True,0.29222062,0.63532037
LEFTY2,0.27116945,1.081892,0.8107226,True,0.24489297,0.8970927
H1F0,0.903924,1.6909508,0.78702676,True,0.8330141,0.9381229
NTS,1.4767022,2.1958485,0.71914625,True,0.7286999,0.6686902
CRABP2,2.2048934,2.8777082,0.67281485,True,0.37365532,0.16031776
VIM,2.7251427,2.0583508,-0.6667919,True,0.5895071,0.66893685
PCK2,2.0146055,1.358965,-0.6556405,True,0.285465,0.3596425
PLPPR3,2.4174502,1.7628888,-0.6545614,True,0.21403643,0.3503462
RASGRF2,0.75367785,1.3979317,0.64425385,True,0.38033068,0.45202276
KCNG3,1.6000588,0.97205,-0.6280088,True,0.33263826,0.40598637
MFGE8,3.6756303,3.0492988,-0.62633157,True,0.10762995,0.14410888
STC2,2.132497,1.5128626,-0.6196345,True,0.37043837,0.43362886
ERBB2,3.173677,2.5646503,-0.6090267,True,0.1566171,0.18576758
MDFI,1.2076058,1.8054903,0.5978844,True,0.35286814,0.26668447
TADA1,0.6108147,0.029731128,-0.58108354,False,0.25454554,0.021174924
MYCN,2.8378336,2.287787,-0.5500467,True,0.16622734,0.25562805
CSRP1,0.89926517,1.4393742,0.54010904,True,0.4090476,0.46909642
PODXL,4.0734234,3.53489,-0.53853345,False,0.06454045,0.09438278
ASS1,1.6960539,1.1740603,-0.5219935,True,0.34041834,0.36891168
PPP1R9B,0.69901836,1.2137233,0.51470494,False,0.30416065,0.33478075
PSAT1,3.8175943,3.3066497,-0.5109446,True,0.09711025,0.101999246
KDR,2.138896,1.6469244,-0.4919716,True,0.31552842,0.3825418
TUBB3,1.5669075,1.0830936,-0.48381388,True,0.34727174,0.3581482
GPR176,2.5565972,2.0771413,-0.47945595,True,0.1418434,0.24406482
GPC3,1.794429,1.3173045,-0.47712445,True,0.31798097,0.3926364
VASH2,3.0354705,2.5654485,-0.47002196,True,0.14533351,0.18846561
MEGF10,1.5800037,1.1110808,-0.46892297,True,0.31678286,0.36095303
PLTP,1.7964249,1.3290448,-0.46738005,True,0.26172176,0.32659215
ITGB5,2.7919524,3.243406,0.4514537,True,0.17067133,0.09715424
SLC7A11,2.2569587,1.8057157,-0.45124304,True,0.3321765,0.35601708
IGF2BP3,3.4810512,3.0314646,-0.44958663,False,0.06508321,0.102154754
NSG1,2.2689183,1.8238823,-0.44503593,True,0.23481227,0.32195663
IFRD1,2.5512347,2.107047,-0.44418764,True,0.24225035,0.27688417
TIMP4,1.0468571,1.4843335,0.4374764,True,0.40760192,0.39712122
GPC6,0.686896,1.1227138,0.43581778,True,0.3368339,0.4183145
CEBPZOS,2.2127926,1.7853243,-0.4274683,True,0.32092294,0.3884563
INPPL1,1.3143512,1.7397513,0.42540014,False,0.3053506,0.2387233
SLC43A1,1.1609708,0.7362157,-0.4247551,False,0.30905944,0.31631878
GNG12,1.2833613,1.7076231,0.4242618,True,0.34909102,0.28615028
