gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TAF13,2.3993824,0.28937826,-2.1100042,False,0.15398465,0.29248932
LARP7,1.3742118,2.9161088,1.541897,True,0.34203744,0.14142388
VIM,2.7251427,1.4899634,-1.2351793,True,0.5895071,0.75423014
CD24,5.489318,4.2993464,-1.1899714,True,0.047505796,0.11193909
SLC7A11,2.2569587,1.1787813,-1.0781775,True,0.3321765,0.5023577
EIF4B,2.7091115,1.6959512,-1.0131602,False,0.085877754,0.28713915
GAL,2.7219493,1.711835,-1.0101143,True,0.35849097,0.3877067
HESX1,1.250492,0.25684047,-0.9936515,True,0.4382072,0.17423317
CEBPZOS,2.2127926,1.2202572,-0.9925355,True,0.32092294,0.43450317
H2AFY2,1.102345,2.0618641,0.95951915,True,0.47343355,0.42031917
AASS,3.9314687,3.0247598,-0.90670896,True,0.25482205,0.34953928
SNHG32,1.8507925,0.9762121,-0.87458044,False,0.20800832,0.3830129
MT1X,1.2593601,0.40028077,-0.8590793,True,0.58770955,0.2845092
SLC7A5,2.7678742,1.9119918,-0.8558824,True,0.20752229,0.38359067
FDXR,1.2778784,2.1329873,0.85510886,True,0.37710968,0.3654951
ANXA3,0.64711624,1.49139,0.84427375,True,0.37550318,0.4647951
NQO1,2.009532,1.1940248,-0.8155072,True,0.24418247,0.44366428
MTHFD2,2.8751297,2.0860038,-0.7891259,True,0.11284972,0.24770287
PKDCC,2.017514,1.2340615,-0.7834525,True,0.58726704,0.5905539
CHD3,0.74007934,1.5119988,0.7719194,True,0.32167023,0.2801312
MANBAL,1.7559091,0.9852789,-0.7706302,False,0.2060462,0.35371104
UGT8,1.01279,1.7748193,0.7620293,False,0.3252397,0.19249678
MYL9,1.8118736,2.572228,0.7603544,True,0.4087449,0.3820556
STC2,2.132497,1.3725052,-0.7599919,True,0.37043837,0.43295985
ZBTB3,2.3672287,1.627035,-0.7401937,False,0.1628862,0.35939282
ANK2,0.8847269,1.6187756,0.7340487,True,0.35153487,0.3859866
IQSEC2,1.9034958,1.1730275,-0.7304683,True,0.3713815,0.45317262
MAPK6,3.4991663,2.7775478,-0.7216184,False,0.052592475,0.14045456
ZNF90,2.61995,1.8996539,-0.72029614,True,0.1612946,0.2367287
LDAH,1.5448637,0.82662547,-0.71823823,False,0.25791213,0.38279667
NDUFAF3,1.0128888,1.7305706,0.71768177,False,0.30443943,0.19935426
PHLDA3,0.48402876,1.1873811,0.7033524,True,0.32843012,0.4829913
SCGB3A2,2.1600077,1.4572408,-0.7027669,True,1.0063828,1.2940718
IDO1,1.2041372,0.5054959,-0.6986413,True,0.43108737,0.31393394
USO1,2.382047,1.6970409,-0.685006,False,0.14517234,0.26110098
RAB17,1.5537531,0.8739058,-0.67984736,True,0.5508224,0.6303476
TERF1,3.9567983,3.2780392,-0.6787591,False,0.06587256,0.095873296
PSAT1,3.8175943,3.1423736,-0.6752207,True,0.09711025,0.10176028
ERBB2,3.173677,2.511526,-0.66215086,True,0.1566171,0.2533073
DDB2,0.83584666,1.497347,0.66150033,True,0.3656719,0.46685
TEK,1.5910075,0.92952734,-0.6614801,True,0.4462709,0.47571015
COL1A2,1.968163,1.3140726,-0.6540904,True,0.27713346,0.41576514
TNFRSF10B,1.6190304,2.2716107,0.6525804,True,0.33569923,0.26056588
TRBC2,1.4730004,2.123432,0.6504315,True,0.35159406,0.19996919
C1orf21,2.3650088,1.7164153,-0.64859354,True,0.18786235,0.22256045
ZGRF1,1.555378,2.2031946,0.64781666,True,0.28091353,0.31110042
RABGGTB,3.042798,2.4035463,-0.6392517,True,0.13109492,0.18753678
SESN1,1.3295916,1.9651649,0.63557327,True,0.42911422,0.47699904
HIST1H1D,1.6205581,0.99096924,-0.6295889,True,1.2314817,1.0955806
ATP1A2,1.028914,0.4014372,-0.6274768,True,0.41873628,0.25252134
DDHD2,0.4746773,1.0978274,0.6231501,False,0.23534018,0.31767106
BMP7,0.23589908,0.8560424,0.6201433,True,0.1522029,0.38363293
FOSL1,0.18665719,0.8055572,0.6189,True,0.15412702,0.5617834
TAP1,0.6942486,1.3049957,0.61074704,True,0.3381539,0.35091105
ELMO1,0.48406094,1.0909063,0.6068453,True,0.26682013,0.37647977
KDR,2.138896,1.5324074,-0.6064886,True,0.31552842,0.55687773
NPR1,1.1440488,1.747047,0.60299814,True,0.33606455,0.34353608
CHGA,1.5551376,2.1559813,0.60084367,True,0.55296373,0.7478683
SUMF2,1.9987173,2.5955,0.5967827,False,0.21222115,0.12558806
JUND,1.9687197,2.55966,0.59094024,True,0.23403603,0.19463103
CDS1,0.95690817,1.5430224,0.5861142,False,0.31938636,0.29596755
ID1,2.082082,1.5046433,-0.5774387,True,0.44992384,0.6791634
GJA1,4.070931,3.4973574,-0.5735736,True,0.10267221,0.13490386
NUDT1,1.7850301,1.2145009,-0.5705292,False,0.20509677,0.27475277
TMEM59L,0.6454841,1.2151148,0.56963074,True,0.3119143,0.40582818
CNMD,2.6173897,2.0483925,-0.56899714,True,0.16489005,0.22824761
MMP17,0.97544795,1.5419188,0.5664708,True,0.36952886,0.46100107
CADM1,1.1041645,1.670222,0.56605756,True,0.3583104,0.32897738
TSHZ3,0.991738,1.5576589,0.5659209,True,0.39489174,0.40894067
GRPR,0.8029942,0.23877844,-0.5642158,True,0.6066761,0.23382118
PHYH,0.7808058,1.3431478,0.5623419,False,0.30016178,0.3430309
ENDOG,0.7408615,1.3031362,0.56227475,False,0.2841723,0.25424188
TTYH1,1.2124448,1.7734584,0.5610136,False,0.3165686,0.2982211
CTSB,1.0245253,1.5854638,0.5609385,False,0.32928327,0.21959758
ADI1,2.3717785,1.8118769,-0.5599016,True,0.17436641,0.41717654
EIF4EBP1,2.8433921,2.2869587,-0.55643344,True,0.11213006,0.21356173
TSTD1,1.3434132,1.8996775,0.5562643,False,0.29373422,0.2402435
CRABP1,2.7936456,2.239976,-0.5536697,True,0.2094519,0.32799697
IGDCC4,0.7147406,1.2683306,0.55359,True,0.32819542,0.3651916
TSPAN18,0.32778952,0.87920105,0.5514115,False,0.1905809,0.362743
GTF2A1,1.9966183,2.5473526,0.5507343,False,0.19992557,0.12469846
CCDC141,0.8916808,0.34405738,-0.5476234,True,0.44828832,0.22944547
HIST1H2BH,3.0131607,2.4715998,-0.5415609,True,1.2786521,0.98902476
LPP,1.4855114,2.026975,0.5414635,True,0.30890238,0.3383064
TRIM22,0.6868747,1.2283169,0.5414422,True,0.41427281,0.63393676
TIMP4,1.0468571,0.50671506,-0.54014206,True,0.40760192,0.29070914
RBM3,2.324421,1.7843713,-0.5400497,False,0.1532649,0.28248915
MAP1B,2.2581487,1.7200537,-0.538095,True,0.20767254,0.36123344
CAMK2N2,0.8613088,1.3984418,0.537133,False,0.31362858,0.2579115
SLC38A2,3.2128437,2.6789336,-0.53391004,True,0.116323106,0.19054502
LPAR3,1.3020777,0.7688664,-0.53321123,True,0.33262214,0.31514347
ISG15,0.71056473,1.2410268,0.530462,True,0.31091544,0.33548796
FABP5,3.421829,2.8926792,-0.5291498,True,0.09440392,0.12628584
PABPC4,2.419968,1.8913566,-0.5286113,False,0.1228977,0.29375482
CCN2,1.3984216,0.869991,-0.52843064,True,0.8199761,0.6471332
ZNF580,0.9478463,1.4759868,0.52814054,False,0.3197416,0.28038454
DPPA2,0.9645738,0.43670204,-0.5278717,True,0.42964724,0.29653704
ITPR2,1.4748362,0.9514109,-0.52342534,True,0.3709125,0.4063198
ZBTB10,1.0915735,1.6118219,0.5202484,True,0.37222257,0.32925776
COA7,1.2471433,0.72933185,-0.5178114,False,0.29798418,0.34211087
S100A10,3.133715,2.6159213,-0.51779366,True,0.22135624,0.38751602
DHX32,0.66666484,1.1838533,0.51718843,False,0.30271876,0.26073688
TAGLN,2.3409328,2.8575933,0.51666045,True,0.6389723,0.56698316
METTL23,2.356769,2.8730521,0.51628304,True,0.21107145,0.10323249
PEF1,1.6500076,1.1337359,-0.5162717,False,0.24528244,0.33570462
RGS5,1.525954,1.0097119,-0.51624215,True,0.48766956,0.46718884
GRIA4,0.6739651,1.1898354,0.51587033,True,0.3025259,0.33788288
WDR76,1.4197162,0.90502393,-0.5146923,True,0.38080722,0.5130253
CAMK2N1,0.5002945,1.0137874,0.5134929,False,0.2571839,0.44144392
AMOTL1,1.576115,2.089411,0.513296,True,0.32757238,0.35468623
HIST1H1B,4.1244035,3.612571,-0.5118325,True,1.3478125,1.713518
EPB41L5,1.5032592,2.0150013,0.5117421,False,0.2629995,0.23716722
VLDLR,1.3306402,0.819723,-0.5109172,True,0.42473996,0.54117817
DNMT3B,4.406935,3.8963418,-0.5105934,True,0.087100714,0.08428675
CNN1,0.49387732,1.0031132,0.50923586,False,0.2491685,0.4107992
METTL8,1.4739053,0.96867424,-0.5052311,False,0.28927723,0.3188147
CAPN2,1.0743307,1.5776427,0.503312,True,0.3748314,0.40582833
SOX3,0.70646137,1.2096714,0.50321,True,0.3964079,0.55017596
AKAP7,1.5629597,1.0599695,-0.5029901,True,0.41213223,0.4275135
SALL3,2.0745156,2.5755825,0.5010669,True,0.3285634,0.2278192
SCCPDH,1.842793,2.3430393,0.5002463,False,0.24974227,0.14107923
MXRA7,1.2964681,1.7954806,0.49901247,True,0.3204221,0.250053
PYCR1,2.0088482,1.5105872,-0.49826097,False,0.2181221,0.3555728
GSTM3,0.4484345,0.94548625,0.49705175,True,0.2500776,0.4091489
SERINC5,2.1259036,1.6290779,-0.4968257,True,0.20388338,0.30741596
PDLIM1,2.4891915,1.9927684,-0.49642313,True,0.14672922,0.29408497
OLFML2A,0.9932931,1.4897062,0.49641305,True,0.35974503,0.38173828
CDK7,1.3224257,0.82602704,-0.4963987,False,0.27892455,0.33267546
PCIF1,0.920393,0.42428488,-0.4961081,False,0.3119744,0.2350866
ATF5,0.9149669,0.41914624,-0.49582064,True,0.44021747,0.27723166
NDUFS2,2.3378537,1.8421915,-0.4956622,False,0.12799665,0.28163728
PHLDA1,1.0242558,1.5197798,0.49552405,True,0.4561791,0.4892039
