gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TARBP2,1.2037866,0.076976284,-1.1268103,False,0.28166917,0.056887046
MAP3K12,0.5325457,0.18425137,-0.34829432,False,0.25531068,0.11673557
ZFYVE21,1.7108436,1.8602477,0.14940417,False,0.22804119,0.20722213
APELA,1.5670142,1.422697,-0.14431727,True,0.4344417,0.4277223
PCK2,2.0146055,1.8703197,-0.1442858,True,0.285465,0.3131664
SLC39A6,2.2013562,2.3444667,0.14311051,False,0.18266983,0.15710127
TMEM14A,1.0116028,0.87474394,-0.13685882,False,0.3157795,0.3307157
STC2,2.132497,1.9983588,-0.13413823,True,0.37043837,0.41108146
RIPOR2,1.1181024,0.9879942,-0.13010824,True,0.4393332,0.44360372
CEMIP2,1.6653469,1.7916607,0.1263138,True,0.2867359,0.27200395
FGFBP3,1.5303756,1.4052356,-0.12513995,True,0.39057454,0.4055741
TADA3,1.61704,1.4920565,-0.12498355,False,0.23468952,0.2752282
TMX1,2.8685665,2.7481427,-0.120423794,False,0.104976155,0.11028681
PSAT1,3.8175943,3.6976507,-0.11994362,True,0.09711025,0.09861782
C9orf135,1.0159495,0.898986,-0.116963506,True,0.37919602,0.36229306
SLC7A5,2.7678742,2.6512365,-0.11663771,True,0.20752229,0.24123664
ERBB3,1.5636598,1.6792347,0.115574956,False,0.2599605,0.24032971
NEFH,0.28053635,0.39591607,0.11537972,True,0.1904549,0.2507137
LONRF1,2.241236,2.129045,-0.11219096,True,0.20645578,0.21546651
FUOM,0.8288465,0.7168159,-0.112030625,False,0.30107558,0.2903204
S100A11,1.5742178,1.4623729,-0.1118449,True,0.29990643,0.3103874
STEAP3,1.3582553,1.2473298,-0.110925436,True,0.31993073,0.34822696
SORBS2,1.0052477,0.8959966,-0.10925114,True,0.43276674,0.42604226
MT1X,1.2593601,1.1515139,-0.10784614,True,0.58770955,0.59965247
CHAC1,0.70487297,0.59781677,-0.1070562,True,0.38694882,0.3500884
SRPRA,1.4432656,1.5489507,0.105685115,False,0.27265415,0.26499233
GLTP,0.9030233,0.7984298,-0.104593515,True,0.3272201,0.3221635
PEG10,1.4632176,1.3612548,-0.101962805,True,0.36439523,0.36953208
NMU,1.7737356,1.8751264,0.10139072,True,0.3437436,0.33024827
MDFI,1.2076058,1.1071987,-0.10040712,True,0.35286814,0.36103788
DENND6A,1.2277561,1.3278036,0.10004747,False,0.31761828,0.31073394
SCGB3A2,2.1600077,2.0606174,-0.09939027,True,1.0063828,1.0486029
FEZ1,1.0951558,0.99596524,-0.09919059,True,0.36360902,0.37487108
PDCD6,2.5245242,2.4276843,-0.096839905,False,0.11583164,0.121810764
C1orf21,2.3650088,2.2681863,-0.0968225,True,0.18786235,0.20825933
MLLT11,1.5502051,1.453412,-0.096793056,False,0.26560542,0.29358995
ANKRD13B,1.5606394,1.4646902,-0.09594917,False,0.27900177,0.29240695
C6orf62,1.3968412,1.4927403,0.095899105,False,0.2618294,0.247753
ASS1,1.6960539,1.6007332,-0.0953207,True,0.34041834,0.32474816
RNH1,1.8863378,1.9816234,0.095285654,False,0.21154843,0.2105199
COL1A2,1.968163,2.062914,0.09475088,True,0.27713346,0.2665596
DDIT4,0.8543927,0.75988084,-0.09451187,True,0.7079657,0.66280305
JAKMIP2,1.282878,1.3768888,0.09401071,True,0.41678047,0.399016
HIPK3,1.130477,1.223435,0.09295809,False,0.29928234,0.29089934
SCCPDH,1.842793,1.9354162,0.092623234,False,0.24974227,0.23037623
CKB,3.2759545,3.3684716,0.09251714,True,0.1373064,0.12774011
NRP2,1.0989628,1.0064893,-0.09247351,True,0.39400205,0.3889858
PYCR1,2.0088482,1.9165508,-0.092297435,False,0.2181221,0.22344722
TMEM59L,0.6454841,0.73723036,0.09174627,True,0.3119143,0.3314916
SLC7A11,2.2569587,2.165379,-0.091579676,True,0.3321765,0.35524747
EIF3J,2.944964,2.853499,-0.091465,False,0.0936068,0.09903192
NSF,1.4435918,1.5350258,0.091434,False,0.28166074,0.2592564
AXL,1.3737823,1.4641718,0.09038949,False,0.2870026,0.29255548
UPP1,1.0359405,0.9455894,-0.090351105,True,0.31874496,0.32940817
SYT1,1.3809057,1.4710577,0.090151906,True,0.38881758,0.3962252
EEF1A2,0.775216,0.86399674,0.08878076,True,0.3544652,0.356942
GRB10,1.5261185,1.4374511,-0.08866739,False,0.268858,0.2724613
CDS1,0.95690817,0.8685692,-0.08833897,False,0.31938636,0.31918564
HTR1D,0.536856,0.4495904,-0.08726558,True,0.32416457,0.28806183
TWF1,0.8569038,0.9440931,0.08718932,False,0.2890866,0.2894186
CUZD1,0.5141857,0.42809367,-0.086092055,True,0.36897147,0.30682698
TMEM251,1.4543201,1.368304,-0.08601606,False,0.2684948,0.2928985
NPTX2,1.078339,0.992372,-0.085967004,True,0.40481034,0.38840082
RIMS4,1.6565819,1.5706999,-0.08588195,False,0.26107934,0.2812906
AMOTL1,1.576115,1.6616045,0.08548951,True,0.32757238,0.3154296
GTF2E2,1.9399897,1.8549707,-0.08501899,False,0.20617124,0.2257942
UBE2E2,1.4646633,1.3798286,-0.084834695,False,0.25994864,0.2603014
LGALS3BP,0.8557771,0.7712839,-0.08449316,True,0.35664523,0.32801455
WFDC2,2.037881,2.1221645,0.08428359,True,0.29843947,0.30374482
CXCL5,0.65057814,0.7344011,0.083822966,True,0.36417714,0.3937937
SOCS2,1.2737695,1.1901509,-0.08361864,True,0.4973071,0.5162005
HMOX1,1.7928151,1.709445,-0.08337009,True,0.41226184,0.4386123
ANAPC13,1.7468766,1.8302454,0.08336878,False,0.2504735,0.23538518
TRBC2,1.4730004,1.3898922,-0.08310819,True,0.35159406,0.35767007
EPB41L4B,1.8320764,1.9146035,0.08252704,False,0.20773149,0.19038162
UBE2Z,1.7515448,1.8337154,0.082170606,False,0.21553998,0.19949365
PLEKHB2,2.5270314,2.6085043,0.08147287,False,0.11478966,0.10300762
PHLDA1,1.0242558,0.942857,-0.081398726,True,0.4561791,0.45488733
ITGB5,2.7919524,2.710663,-0.08128929,True,0.17067133,0.19558668
SESN2,1.1401006,1.0588558,-0.08124483,True,0.3993862,0.39036483
CDK6,0.54318875,0.46199408,-0.08119467,False,0.2675631,0.2398227
ANXA2,2.3120353,2.2310839,-0.08095145,True,0.22942683,0.23304726
ATF2,2.3009923,2.2202442,-0.08074808,False,0.16590077,0.17509493
