gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
NANS,1.5264041,0.5826001,-0.943804,False,0.25104725,0.3360731
PGAP2,2.5768394,1.7186686,-0.85817087,False,0.12628832,0.52064526
TAZ,0.5930288,0.035815585,-0.5572132,False,0.26395643,0.023587834
DNASE1L1,0.47327015,0.030497663,-0.44277248,False,0.2505026,0.01926463
PCK2,2.0146055,2.396853,0.38224745,True,0.285465,0.2853193
STC2,2.132497,2.5089552,0.37645817,True,0.37043837,0.32468438
SIAH2,0.79190665,0.41780925,-0.3740974,False,0.31583726,0.2128464
SLC7A11,2.2569587,2.6221173,0.36515856,True,0.3321765,0.30291444
DTWD1,1.160837,0.79804575,-0.3627913,False,0.28732613,0.32144684
DDIT4,0.8543927,1.207171,0.35277826,True,0.7079657,0.83526635
CHAC1,0.70487297,1.0565952,0.35172224,True,0.38694882,0.5186504
SESN2,1.1401006,1.459387,0.31928635,True,0.3993862,0.4458958
IFRD1,2.5512347,2.8648126,0.3135779,True,0.24225035,0.20392601
PSAT1,3.8175943,4.1295567,0.31196237,True,0.09711025,0.111626945
INHBE,0.40389985,0.70640004,0.3025002,True,0.249757,0.40923688
MEF2B,0.32470265,0.5893047,0.26460204,True,0.20306997,0.37091485
XRN1,0.75721467,0.4941565,-0.26305816,False,0.28785485,0.25500533
LAGE3,1.2831159,1.0384258,-0.24469006,False,0.2882405,0.31392437
SHMT2,1.9814478,2.2134404,0.2319926,True,0.205803,0.193305
SLC7A5,2.7678742,2.9973598,0.22948551,True,0.20752229,0.19610739
GPT2,1.7932483,2.0148878,0.22163951,True,0.22261675,0.19272287
CTH,1.3418531,1.5583018,0.21644866,True,0.32998702,0.33570725
ASS1,1.6960539,1.9083796,0.21232569,True,0.34041834,0.38112763
JDP2,0.87636673,1.0799865,0.20361972,True,0.35009328,0.38332018
CBR1,1.6964686,1.5036958,-0.19277275,True,0.29841512,0.3329422
SLC43A1,1.1609708,1.3386275,0.17765665,False,0.30905944,0.27072874
MTHFD2,2.8751297,3.0496645,0.1745348,True,0.11284972,0.15304363
COL1A1,2.260025,2.0883934,-0.17163157,True,0.40600464,0.41524836
TAC1,0.20844011,0.37695244,0.16851233,True,0.14300334,0.2387572
EIF4EBP1,2.8433921,3.0104651,0.16707301,True,0.11213006,0.096330956
FAM227B,0.19235395,0.026659532,-0.16569442,False,0.12234267,0.01949458
PYCR1,2.0088482,2.1717534,0.16290522,False,0.2181221,0.20059921
NHSL1,1.0050527,1.166272,0.16121936,False,0.31409183,0.35377198
SLC34A2,0.35625184,0.51515216,0.15890032,True,0.22300075,0.29165196
VEGFA,1.5524551,1.708567,0.15611196,True,0.3067676,0.33682463
TSC22D3,0.37244877,0.523662,0.1512132,True,0.21085794,0.28483707
SLC3A2,2.9775004,3.1284041,0.1509037,True,0.15079467,0.14671493
PMAIP1,2.977533,3.1277554,0.1502223,True,0.21363744,0.21410379
SLC1A5,3.0711186,3.2211702,0.1500516,True,0.1239001,0.125963
PHGDH,3.219117,3.366243,0.14712596,True,0.0838759,0.096497685
WARS,2.3117876,2.4564157,0.14462805,True,0.15940808,0.14383416
MSMO1,2.504345,2.3599007,-0.14444423,True,0.36301106,0.35758543
DNASE2,1.327689,1.4683634,0.14067435,True,0.30267313,0.27973562
SMOX,0.8144796,0.9527336,0.13825399,True,0.3304221,0.3302758
ALDH2,0.9392132,1.074651,0.13543779,False,0.30306822,0.31645128
SH2B3,1.1251506,1.2602226,0.135072,False,0.30983877,0.3073499
HAX1,2.1175966,2.2518384,0.13424182,False,0.16262452,0.1873942
H2AFY2,1.102345,1.2359751,0.13363016,True,0.47343355,0.454686
LRATD2,1.9109303,2.0436049,0.13267457,True,0.23838219,0.2038211
TIMP4,1.0468571,1.1780288,0.1311717,True,0.40760192,0.39817873
SDF2L1,1.7957741,1.664806,-0.1309681,True,0.30096847,0.3082781
VLDLR,1.3306402,1.4610745,0.13043427,True,0.42473996,0.42721713
TSEN15,0.96855,1.0984821,0.1299321,False,0.29410607,0.29613218
PNMT,0.48489794,0.6116266,0.12672868,False,0.25423387,0.2941253
MAP1B,2.2581487,2.3845491,0.12640047,True,0.20767254,0.18869004
SARS,0.72292125,0.8490327,0.12611145,False,0.2770579,0.27707386
SLC7A1,2.8072317,2.9328523,0.1256206,False,0.10905044,0.09785572
GARS,1.5556651,1.6788188,0.12315369,False,0.26123875,0.24615355
HMGCS1,3.5301554,3.4087,-0.12145543,True,0.36374408,0.33024362
SLC6A9,0.8139847,0.9351878,0.121203125,False,0.31451872,0.30689645
TIMM44,2.685111,2.8062575,0.12114644,False,0.1196562,0.1076954
TMEM268,0.75688636,0.87743956,0.120553195,False,0.3071248,0.31844512
WFDC2,2.037881,1.9189848,-0.11889613,True,0.29843947,0.32867503
PSPH,2.7757096,2.8940856,0.11837602,False,0.11217915,0.10258963
TRIB3,0.47223082,0.5899786,0.117747754,True,0.25069413,0.2820927
BCAT1,2.7428734,2.8603513,0.117477894,True,0.13635567,0.13142346
SERPINB6,1.3203832,1.4359968,0.11561358,True,0.34365404,0.30341405
AHCY,3.112841,2.997765,-0.11507583,False,0.06698418,0.071000166
GYPC,0.8675986,0.9822373,0.114638686,False,0.31878453,0.31198156
GPX8,2.5141962,2.626729,0.112532854,False,0.13879578,0.12015046
NSDHL,1.9035813,1.7923404,-0.111240864,True,0.25716972,0.25347248
HMGCR,3.3971014,3.2859497,-0.111151695,True,0.26202345,0.24734004
FUT1,0.69886553,0.8097361,0.11087054,False,0.29132956,0.33843789
DOT1L,2.4556487,2.346005,-0.1096437,True,0.16083962,0.15638956
IDI1,1.1688491,1.0598553,-0.10899377,True,0.37462935,0.39860976
CALCOCO2,0.89304763,1.0019336,0.108885944,False,0.31795242,0.30348152
NFE2L1,2.7962868,2.9046445,0.10835767,True,0.11511034,0.09778718
RIMS3,1.0215168,1.1296356,0.10811877,False,0.3186593,0.34495795
NDRG2,0.85139,0.74426836,-0.10712165,False,0.31843123,0.31548923
INSIG1,0.85269517,0.74595004,-0.106745124,True,0.41963935,0.39984506
FBLL1,0.7856516,0.89162165,0.105970025,True,0.330642,0.3561845
FAM107B,1.5341849,1.6389321,0.104747176,True,0.3062342,0.29628077
TMEM185B,0.82784057,0.7243572,-0.10348338,False,0.323836,0.3241974
PPT2,0.59120345,0.48872343,-0.102480024,False,0.26436728,0.23709233
UHRF1BP1,0.7826757,0.88475126,0.10207558,False,0.2919338,0.29607403
STARD4,1.1796104,1.077933,-0.10167742,True,0.3958909,0.39110243
ZCCHC8,0.7837354,0.8838029,0.1000675,False,0.29349336,0.29312742
SNTB1,0.9740297,1.0739986,0.09996885,False,0.31287175,0.3178905
CEBPG,2.2168837,2.316825,0.09994125,False,0.15180534,0.1661472
TMEM63A,1.2596389,1.3590415,0.09940255,True,0.43629962,0.42699176
ATF5,0.9149669,1.013797,0.09883016,True,0.44021747,0.55259204
MARS,0.709882,0.80834055,0.09845853,False,0.28822184,0.27392468
CUZD1,0.5141857,0.6100819,0.095896184,True,0.36897147,0.41303453
NARS,3.2868588,3.3825283,0.09566951,False,0.060273733,0.062257852
RCN1,3.3493829,3.4450295,0.09564662,True,0.09346149,0.093910724
GRB10,1.5261185,1.6217519,0.09563339,False,0.268858,0.28005996
SCGB3A2,2.1600077,2.0646157,-0.09539199,True,1.0063828,1.0622337
EIF1,2.1920645,2.2872808,0.095216274,False,0.18027039,0.15605232
EPS15,0.839539,0.9347492,0.095210195,False,0.28988963,0.3236336
KMT5A,0.68901837,0.78407216,0.09505379,False,0.29949963,0.34600008
SYT13,1.1107888,1.015821,-0.09496784,False,0.30360928,0.31331325
ID3,1.931087,1.836377,-0.09470999,True,0.3423298,0.3601111
MANF,3.0428514,2.9483283,-0.09452319,True,0.17066789,0.182913
UBL4A,0.67496896,0.5806003,-0.09436864,False,0.2746405,0.26598245
OXCT1,1.737409,1.8311493,0.093740344,False,0.25355458,0.22323619
TRO,1.5252831,1.4317483,-0.09353483,False,0.26244557,0.27702466
CAPN2,1.0743307,1.1677996,0.093468904,True,0.3748314,0.34344792
PEX5L,0.24525662,0.3386103,0.093353674,True,0.16455638,0.22353311
GRIN2D,0.3390333,0.24578224,-0.093251064,True,0.20501903,0.15321535
H1F0,0.903924,0.9971731,0.09324908,True,0.8330141,0.90674764
TOX3,0.73893505,0.8319565,0.09302145,True,0.32446536,0.34130484
YARS,2.4104855,2.5034912,0.09300566,False,0.12568812,0.1246157
OPLAH,0.6140791,0.7068897,0.09281057,False,0.28630203,0.30680326
SNHG32,1.8507925,1.9435333,0.092740774,False,0.20800832,0.19302917
TTC39B,0.97977173,1.0718106,0.09203887,False,0.32575017,0.3494873
TSPAN5,1.165423,1.2568235,0.091400504,False,0.30704382,0.29458666
KCNT2,0.6841031,0.77549475,0.09139168,True,0.31260735,0.33692336
TMTC1,0.8034256,0.8945921,0.0911665,True,0.33674684,0.33419096
G0S2,0.04369306,0.1345687,0.09087565,True,0.031034445,0.104299575
STC1,1.3884113,1.2978371,-0.090574145,True,0.51668775,0.49353108
HIST1H1D,1.6205581,1.7109033,0.090345144,True,1.2314817,1.2351044
MVK,1.1645757,1.0746855,-0.08989024,True,0.44198978,0.439283
MAP2K3,1.3991009,1.3093536,-0.08974731,False,0.27406374,0.2934863
UPP1,1.0359405,1.1254706,0.08953011,True,0.31874496,0.32041827
GRPEL2,1.4014423,1.4909189,0.089476585,False,0.26115924,0.24090835
PLCXD1,2.2544825,2.1653156,-0.08916688,False,0.1563209,0.17483138
FTH1,1.9033648,1.9918023,0.08843756,True,0.25653067,0.26369572
MFAP4,0.39001578,0.4776114,0.08759561,False,0.22164004,0.25123534
SNX25,0.86139005,0.9486665,0.08727646,False,0.3272485,0.31385782
PCNX2,1.9481194,2.0353742,0.08725476,True,0.24706161,0.22272417
LEFTY2,0.27116945,0.35830823,0.08713877,True,0.24489297,0.3291083
ANXA3,0.64711624,0.733614,0.08649778,True,0.37550318,0.40937275
ATP6AP1,1.0705087,0.9843008,-0.086207926,False,0.30284372,0.30911186
EIF2S2,0.8698829,0.95581955,0.085936666,False,0.30777347,0.32137278
APELA,1.5670142,1.6527727,0.08575845,True,0.4344417,0.40174696
WDR89,1.1081983,1.0224721,-0.08572614,False,0.29959753,0.30253652
ZNF286A,1.6951748,1.6096175,-0.08555734,False,0.21632262,0.255869
SOCS2,1.2737695,1.3591714,0.08540189,True,0.4973071,0.47905016
LSM10,1.2904637,1.3758645,0.08540082,False,0.28114444,0.25643003
ALDH1L2,0.14755295,0.23294826,0.08539531,False,0.09682751,0.15185143
NFE2L2,1.7563305,1.8415381,0.08520758,False,0.2560396,0.2340072
CPXM1,0.81289595,0.8979928,0.085096836,False,0.32383472,0.31347865
RGMB,1.0518202,1.1368557,0.08503556,True,0.33273268,0.34841928
HIST1H1B,4.1244035,4.2088785,0.08447504,True,1.3478125,1.3607723
KIF24,0.1599714,0.07608295,-0.08388845,False,0.098700866,0.050564934
KIFC1,2.120284,2.0364764,-0.08380771,True,0.31567645,0.33358228
MT1X,1.2593601,1.176071,-0.08328903,True,0.58770955,0.60868764
PNPLA3,0.95375115,0.8705386,-0.083212554,True,0.33722576,0.33524418
RAB3GAP1,1.3416154,1.4247192,0.083103776,False,0.26784638,0.24801399
AARS,0.9076221,0.99058425,0.082962155,False,0.3064885,0.29521996
PYCR2,1.9976522,2.0805256,0.08287346,True,0.2240991,0.23232281
KLF15,0.61699224,0.6998465,0.08285427,True,0.29440027,0.3115556
SYNJ2,0.65145844,0.73402774,0.0825693,False,0.28819528,0.2853125
TAP1,0.6942486,0.7766627,0.08241409,True,0.3381539,0.36070025
TBL1X,0.721649,0.80401826,0.08236927,False,0.2867479,0.29158413
SLC7A3,2.1135912,2.1958146,0.082223415,True,0.23265243,0.22309059
FAM184A,0.85493195,0.93688184,0.08194989,True,0.34021583,0.3345239
IGFBP6,0.71219707,0.6304394,-0.081757665,True,0.3147573,0.2951289
DDIT3,0.14468314,0.22622705,0.08154391,True,0.101755336,0.1507138
AP1S3,1.3962914,1.3149682,-0.08132315,False,0.30767187,0.3227863
NGFR,0.43601242,0.35471967,-0.08129275,True,0.25325462,0.2311699
AGPAT2,1.6119598,1.530941,-0.081018806,False,0.26940638,0.27603784
KLF7,0.6318552,0.7127936,0.0809384,False,0.2831424,0.2937846
LMO3,1.0553634,0.9744475,-0.08091593,True,0.47546923,0.4869185
CCNB1IP1,2.7198231,2.800725,0.08090186,False,0.11356376,0.11812784
DOCK11,0.774389,0.8552879,0.08089888,False,0.31792143,0.32970485
AMN1,0.5227492,0.60364616,0.08089697,True,0.27549505,0.29385477
MYO10,2.161845,2.242563,0.08071804,False,0.18223418,0.15729617
HSD11B2,1.1231579,1.203781,0.08062315,True,0.34885588,0.32198524
HIST1H1C,3.3517175,3.4318478,0.08013034,True,1.5421159,1.6068088
LRP3,1.5476104,1.627654,0.080043554,False,0.25984177,0.20741905
ACSS2,0.8820951,0.8022346,-0.07986051,True,0.5769565,0.4726101
ZNF516,0.41618332,0.49599108,0.07980776,True,0.26902473,0.30570003
ITGB5,2.7919524,2.871694,0.07974172,True,0.17067133,0.15283102
SETD4,1.6885364,1.608797,-0.07973945,False,0.25866657,0.28780982
FECH,1.0892327,1.1685961,0.079363465,False,0.30434653,0.29422966
MORN2,1.3879557,1.3086029,-0.07935274,False,0.28268436,0.28924903
RAD51,1.1532648,1.0739602,-0.079304576,False,0.32335067,0.33845058
CRAMP1,1.0184036,1.097626,0.07922232,False,0.2982807,0.27847114
SYNGR1,1.1733568,1.0944633,-0.07889342,False,0.31029886,0.34392792
SC5D,2.5574994,2.4786065,-0.078892946,True,0.2014049,0.19599597
EMP2,1.5409896,1.4633127,-0.07767689,False,0.266769,0.2950163
ECI1,2.0331352,2.1107519,0.07761669,False,0.1772292,0.15031148
BBC3,0.86217064,0.93965435,0.07748371,True,0.41324192,0.40324408
KCTD15,1.5119393,1.5893005,0.077361226,False,0.2989956,0.2709216
TTI2,1.1277945,1.0505519,-0.07724261,False,0.2943482,0.30050105
ADAM9,0.9681818,1.0452168,0.07703501,False,0.3014476,0.29147264
EDEM1,1.0157043,1.0926508,0.0769465,True,0.34348068,0.3426297
MAL2,3.0723975,3.1491883,0.07679081,False,0.096674755,0.094066575
MT-ND3,1.7554234,1.8321501,0.076726675,True,0.78610706,0.6747548
NUCB2,1.2010907,1.1244495,-0.0766412,False,0.3129726,0.3267682
HJURP,1.8688328,1.7927499,-0.076082945,True,0.4728739,0.5142628
ZNF595,1.4493521,1.3735226,-0.075829506,False,0.276552,0.3183356
PABPC1L,1.3704665,1.4461781,0.07571161,True,0.3449874,0.3124514
ZNF675,1.1281933,1.0525035,-0.07568979,False,0.27823216,0.30377322
MAFG,0.79667944,0.87206644,0.075387,False,0.29453596,0.29140636
UTP3,1.9546747,1.8793873,-0.07528746,False,0.18421642,0.19816543
CALCA,0.107528865,0.1825715,0.075042635,True,0.07801358,0.12833355
EXOSC8,2.6655731,2.740504,0.07493091,False,0.101482935,0.093019225
HMOX1,1.7928151,1.8675822,0.07476711,True,0.41226184,0.41137215
NR4A1,0.6534447,0.72786754,0.07442284,False,0.28455862,0.28494385
CPD,1.5380023,1.612301,0.07429874,False,0.2568274,0.22956103
ANAPC16,1.643039,1.7172743,0.07423532,False,0.22433186,0.19471636
HRK,0.31129366,0.38542575,0.074132085,True,0.19280374,0.23403913
ASAP1,1.5881375,1.6621898,0.074052334,False,0.29420918,0.2472281
BRI3,1.9457042,2.0197,0.07399583,False,0.19502924,0.16619511
N4BP3,1.9741061,2.04808,0.073973894,False,0.19644025,0.19066393
KRCC1,1.0394728,1.11336,0.07388723,True,0.3897053,0.3535337
PGM3,1.5171465,1.4433366,-0.07380986,False,0.24832428,0.28222388
ZNF92,1.9523547,1.8785918,-0.07376289,False,0.20476966,0.21232475
KIF1A,3.2239323,3.297453,0.07352066,True,0.09698961,0.08706671
HIST1H2AG,0.7061559,0.63295597,-0.07319993,True,0.42458564,0.3885232
TMEM9B,1.1462145,1.0731581,-0.07305634,False,0.32488617,0.3247623
FERMT2,1.8380185,1.9109285,0.07290995,False,0.2119734,0.20303893
ZFAND3,2.3722553,2.445156,0.07290077,False,0.14798856,0.15037918
REL,0.5096324,0.4367766,-0.0728558,False,0.25394756,0.22179954
ELOVL6,2.2672312,2.1943936,-0.07283759,True,0.17385457,0.19668426
TUBE1,0.65516025,0.72792363,0.07276338,False,0.2855704,0.3138593
PDIA5,1.3822675,1.3096681,-0.07259941,False,0.27621353,0.2807505
FOXO3,1.194357,1.266857,0.07249999,False,0.3155866,0.32112196
RSL24D1,2.12131,2.1937366,0.07242656,False,0.173417,0.16656394
NPR1,1.1440488,1.0716898,-0.072358966,True,0.33606455,0.34520385
CD55,1.1032617,1.175532,0.072270274,False,0.31646472,0.29672265
HSPA13,1.4619514,1.534192,0.07224059,False,0.29973844,0.27214676
LARGE2,2.0422995,2.114307,0.07200742,False,0.20472392,0.18916093
ETS1,1.0753208,1.147295,0.07197416,True,0.3374279,0.3451154
H2AFZ,1.7307625,1.8026583,0.07189584,True,0.27886808,0.25971788
TNK2,0.5620663,0.6339006,0.071834266,False,0.2560516,0.27251416
ODC1,2.3060384,2.3778327,0.07179427,True,0.22573909,0.1951128
SPIN3,1.08616,1.1575301,0.071370125,False,0.3224203,0.31045955
PDK3,1.1994827,1.1281167,-0.07136595,False,0.29092842,0.30462077
PLXDC2,1.115787,1.1868582,0.07107115,False,0.32741693,0.33716682
RASGRF2,0.75367785,0.82454115,0.07086331,True,0.38033068,0.377248
NUFIP2,2.924778,2.8539946,-0.07078338,False,0.097447746,0.10781952
PRSS8,1.4594178,1.5299156,0.07049775,False,0.29052255,0.30453196
EPRS,2.3421187,2.4125564,0.07043767,False,0.14394546,0.1391483
EBP,1.9508318,1.8804252,-0.070406556,True,0.23064974,0.27552813
FAM98A,1.8531728,1.7828081,-0.07036471,False,0.21412672,0.2601209
SYPL1,1.7113236,1.6409696,-0.070353985,False,0.21658236,0.2380319
CLMP,1.2036451,1.273829,0.07018387,False,0.32880533,0.2999391
PPP1R10,1.8092941,1.7391798,-0.070114255,True,0.3640198,0.36361054
NFIB,0.5159143,0.586014,0.07009965,True,0.2848534,0.2865728
SOCS3,1.0352961,1.1050559,0.069759846,True,0.37681472,0.3445726
DEGS1,2.2304938,2.160754,-0.06973982,True,0.244807,0.25813466
HIST1H2BH,3.0131607,3.0828898,0.06972909,True,1.2786521,1.3107327
FARP1,1.7727853,1.842493,0.06970775,False,0.21479689,0.20951815
SURF4,2.1851406,2.1156945,-0.06944609,False,0.15530619,0.17075662
CAMKV,1.933794,1.8645439,-0.06925011,False,0.21949667,0.2194069
TRIM14,1.1966144,1.1273878,-0.06922662,False,0.3207373,0.31746063
PDE10A,0.20293649,0.27186337,0.068926886,True,0.13525034,0.1718937
ARHGAP19,1.1492457,1.2180591,0.068813324,False,0.33818707,0.30746916
VWA5A,0.75662297,0.68784356,-0.06877941,False,0.30636254,0.30462295
NLGN2,2.1208851,2.0521524,-0.06873274,False,0.185687,0.21889465
ASMTL,2.1858873,2.1172864,-0.06860089,False,0.18091886,0.17798097
ACTC1,1.040941,1.1095383,0.06859732,True,0.41227695,0.42500165
LRRC8D,1.7803253,1.8488449,0.06851959,False,0.22162026,0.21113028
HIST1H4C,1.7816434,1.8501135,0.06847012,True,0.7703857,0.77456015
AAMDC,1.256758,1.1883163,-0.06844163,False,0.2883128,0.29920036
C19orf48,2.3320942,2.4003832,0.06828904,False,0.16986616,0.18428914
TEAD1,1.5132653,1.5815467,0.06828141,False,0.29113346,0.27427655
MIS18BP1,2.4435518,2.3752983,-0.06825352,False,0.13463016,0.16025275
IFI30,1.543998,1.4757558,-0.06824219,True,0.3189709,0.33705774
CCDC186,1.3308789,1.2626836,-0.068195224,False,0.28750566,0.2936959
MT-ND6,0.8967327,0.8286004,-0.06813228,True,0.68610394,0.594788
ZNF622,1.2867234,1.2186396,-0.06808376,False,0.2803897,0.32454425
FGF13,1.6198746,1.6879067,0.068032146,True,0.42301762,0.38834593
HSPA1B,1.9541006,1.8861153,-0.067985296,True,0.42119756,0.36706102
NMRK2,1.9979984,2.065952,0.067953706,True,0.23621987,0.1949673
FLCN,0.90151346,0.9694313,0.067917824,False,0.30853882,0.31819743
NAA60,1.4223979,1.4902264,0.067828536,False,0.24681604,0.21416393
SH3KBP1,0.8895596,0.95737964,0.06782001,False,0.32380962,0.331947
SGPL1,1.5268257,1.5945648,0.06773913,False,0.24800272,0.24769336
CNMD,2.6173897,2.5496936,-0.067696095,True,0.16489005,0.18258213
LPL,0.38234574,0.44998515,0.06763941,True,0.23791164,0.27319294
HMMR,2.4663396,2.3988514,-0.06748819,True,0.27379674,0.30686215
LMNA,1.6511865,1.5837289,-0.06745756,True,0.2810789,0.26364478
COCH,0.64445984,0.7118743,0.06741446,True,0.3147069,0.33047894
PLRG1,2.417771,2.4848661,0.06709504,False,0.12090424,0.10700326
LPCAT3,1.8129568,1.7458861,-0.06707072,False,0.2130919,0.24039242
DTX4,0.58085895,0.64781815,0.0669592,False,0.25868127,0.25978047
PREX2,1.651501,1.718402,0.06690097,False,0.27083576,0.2820639
GOLGB1,1.3573635,1.4240711,0.06670761,False,0.28667864,0.27489752
FXR2,1.1245427,1.0578558,-0.06668687,False,0.2993514,0.30810115
RNF130,2.392327,2.4589398,0.06661272,False,0.13628271,0.123297475
SCN4A,0.34944397,0.41603118,0.06658721,False,0.198314,0.23803604
FDFT1,1.5083088,1.4417583,-0.06655049,True,0.3391564,0.34451172
N4BP2L2,1.9434117,2.0097954,0.06638372,False,0.2058032,0.1704716
CCP110,1.2604626,1.194101,-0.066361666,False,0.3100152,0.34293523
ZNF214,0.3857987,0.31956756,-0.06623113,False,0.20745757,0.17872481
SLC35F2,1.305167,1.239069,-0.066097975,False,0.3034625,0.3191249
GPC6,0.686896,0.7529814,0.0660854,True,0.3368339,0.35542932
XPOT,2.7281213,2.794053,0.0659318,False,0.093268745,0.08683837
KLF12,0.87941456,0.94523066,0.065816104,False,0.32851362,0.31948385
GNL2,2.5573072,2.4915478,-0.06575942,False,0.118358254,0.11108211
BUD13,1.4248209,1.4905655,0.06574464,False,0.26693448,0.2487475
FAM193B,1.4110403,1.4767009,0.065660596,False,0.27337787,0.25176194
GMNN,3.0499196,2.98432,-0.06559968,False,0.09131582,0.1097125
TOX,0.5615614,0.6271413,0.06557989,False,0.27602518,0.29419824
CD9,2.945414,2.8798618,-0.065552235,True,0.13886829,0.15425366
STXBP1,1.8097312,1.7443326,-0.06539869,True,0.27919278,0.29225144
