gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TCF3,3.0315752,0.41550905,-2.6160662,False,0.06879685,0.31148744
ID3,1.931087,1.5329801,-0.39810693,True,0.3423298,0.4238469
CUZD1,0.5141857,0.28337768,-0.23080805,True,0.36897147,0.20169517
ACOXL,1.4610541,1.2721615,-0.1888926,True,0.3608723,0.37211397
LRIG1,2.4553187,2.267732,-0.18758678,True,0.18101782,0.21503481
MT1X,1.2593601,1.4299453,0.17058527,True,0.58770955,0.55890185
ZIC2,1.9019088,1.7365263,-0.1653825,True,0.40680227,0.4541445
TRBC2,1.4730004,1.3092905,-0.16370988,True,0.35159406,0.37438196
TRIML2,1.2181535,1.3785261,0.16037261,True,0.40173906,0.38299274
ID1,2.082082,1.9299448,-0.15213728,True,0.44992384,0.43684557
TUBB2A,3.9533803,4.103844,0.15046382,True,0.1378518,0.12801339
COL1A1,2.260025,2.4084942,0.14846921,True,0.40600464,0.39422867
VIM,2.7251427,2.8696141,0.1444714,True,0.5895071,0.5741318
TTC9,2.3038287,2.1659393,-0.13788939,True,0.18921925,0.21323077
EDNRB,1.2057792,1.3404032,0.134624,True,0.57471013,0.5712448
TMPRSS2,0.46397537,0.33312392,-0.13085145,True,0.2605371,0.21469864
EMP3,0.8505958,0.9806818,0.130086,True,0.398057,0.43290383
RASGRF2,0.75367785,0.6240468,-0.12963104,True,0.38033068,0.32748505
PPP1R1A,0.81672055,0.9424127,0.12569213,True,0.3124396,0.31862843
ZIC5,2.8421504,2.7164972,-0.12565327,True,0.24881114,0.2729357
HIST1H1A,1.5684879,1.6922271,0.12373924,True,1.4661734,1.5346656
HTR1D,0.536856,0.41554016,-0.12131584,True,0.32416457,0.27008307
CRABP2,2.2048934,2.325012,0.12011862,True,0.37365532,0.32391456
ASS1,1.6960539,1.5772763,-0.11877751,True,0.34041834,0.35524547
PGM1,1.8431282,1.9617761,0.11864793,True,0.38100007,0.4034274
CCN2,1.3984216,1.516416,0.11799431,True,0.8199761,0.8403265
PRDM14,1.2575728,1.373239,0.11566627,True,0.37819552,0.37051708
PCDH18,1.5278986,1.6423336,0.11443508,True,0.4877093,0.46516538
THBS2,0.89915407,0.7861386,-0.11301547,True,0.3751289,0.37566483
S100A10,3.133715,3.24551,0.11179519,True,0.22135624,0.20757309
ZNF90,2.61995,2.7289732,0.109023094,True,0.1612946,0.13819672
CHD7,2.3055537,2.1967514,-0.10880232,True,0.2723786,0.2909541
IGSF21,1.3237398,1.214961,-0.108778715,True,0.34861705,0.37722877
MCC,1.0250969,0.92045623,-0.10464066,True,0.37870842,0.3729856
DPPA2,0.9645738,1.0677868,0.10321301,True,0.42964724,0.43075156
KLHL4,0.7873935,0.6854999,-0.101893604,True,0.36787513,0.3342037
SELENOP,1.0004246,0.8998626,-0.100562036,True,0.44973302,0.42922604
S100A11,1.5742178,1.4739292,-0.10028863,True,0.29990643,0.31178617
NRP2,1.0989628,0.9999062,-0.0990566,True,0.39400205,0.37536559
ID2,0.48878717,0.39000893,-0.09877825,True,0.3184093,0.2819103
NMU,1.7737356,1.8724205,0.09868491,True,0.3437436,0.33497146
PREX2,1.651501,1.5534054,-0.098095655,False,0.27083576,0.27768305
PMAIP1,2.977533,2.879838,-0.09769511,True,0.21363744,0.20241241
ERBB2,3.173677,3.0766032,-0.09707379,True,0.1566171,0.17369543
ETS2,1.4273686,1.3316029,-0.09576571,True,0.3230002,0.33070964
CDK6,0.54318875,0.4481311,-0.09505764,False,0.2675631,0.23919752
CRABP1,2.7936456,2.698715,-0.09493065,True,0.2094519,0.20079355
ARRDC3,1.1225206,1.028317,-0.09420359,True,0.4457074,0.4603364
JAKMIP2,1.282878,1.3770163,0.094138265,True,0.41678047,0.3875356
HIST1H1C,3.3517175,3.4458206,0.0941031,True,1.5421159,1.5271816
FOXP4,1.0239264,1.1179421,0.09401572,True,0.34288076,0.32368115
LARGE2,2.0422995,1.9483637,-0.09393585,False,0.20472392,0.20724566
EEF1A2,0.775216,0.8691407,0.0939247,True,0.3544652,0.3623579
SEMA6A,2.7475765,2.8411498,0.09357333,True,0.17924707,0.17409818
PPP1R17,0.5791453,0.6725387,0.093393385,True,0.36212915,0.40545705
SCRN1,1.6150525,1.7077222,0.092669725,True,0.31670198,0.285972
PKM,1.4549345,1.546775,0.091840506,True,0.35430482,0.36004066
ZBTB44,2.2097404,2.1189163,-0.09082413,False,0.16395931,0.16352484
ZFP36L2,1.6867079,1.5965651,-0.09014273,True,0.35165137,0.35693738
IGDCC4,0.7147406,0.6247757,-0.08996487,True,0.32819542,0.29948366
CAPG,1.0828618,1.1727232,0.08986139,False,0.3175583,0.32075864
RBPJ,2.1078296,2.197641,0.089811325,False,0.17478053,0.16710944
GPR176,2.5565972,2.4670267,-0.08957052,True,0.1418434,0.16435076
