gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TET1,2.4920542,0.72741556,-1.7646387,False,0.13085024,0.39269423
PEG3,0.97456473,0.46742114,-0.5071436,True,1.0025717,0.52083147
DCXR,1.3434032,0.8761918,-0.46721143,False,0.2783916,0.31989443
FAM162A,2.0660477,1.7535284,-0.3125193,True,0.33269483,0.3843645
PCDH7,0.45434523,0.7517226,0.29737735,True,0.27273244,0.36760893
GSN,1.4108883,1.1171173,-0.29377103,False,0.29333594,0.33619395
TNNT1,2.6080759,2.3158858,-0.29219007,True,0.15905327,0.25913176
COL1A1,2.260025,1.983368,-0.276657,True,0.40600464,0.44295356
TESMIN,2.0250597,1.7883273,-0.23673236,False,0.21658781,0.27213424
RAC3,2.8421829,2.6073062,-0.23487663,False,0.11613843,0.16088556
IFI30,1.543998,1.3135645,-0.23043346,True,0.3189709,0.35266253
UHRF1,2.392236,2.173034,-0.21920204,True,0.2816612,0.31669664
CHGA,1.5551376,1.3380405,-0.21709716,True,0.55296373,0.5842574
EDIL3,1.4273261,1.6443111,0.21698499,True,0.36399788,0.33431083
TCEAL7,0.6916126,0.47815236,-0.21346024,True,0.35131544,0.29063585
SH3PXD2A,1.163406,0.9532772,-0.21012884,True,0.35269663,0.350084
CCND1,1.0390285,0.8293211,-0.20970744,True,0.3845656,0.35409126
GNG12,1.2833613,1.4929348,0.2095735,True,0.34909102,0.33852917
SOCS2,1.2737695,1.0787048,-0.19506466,True,0.4973071,0.5042421
CRABP1,2.7936456,2.6011827,-0.19246292,True,0.2094519,0.23714732
TBKBP1,1.477159,1.6694432,0.19228423,False,0.29634422,0.24742451
PMEL,1.6445423,1.45672,-0.18782234,True,0.34611374,0.3551899
S100A16,1.7017455,1.5148802,-0.18686533,True,0.3093001,0.34141257
CALB1,0.8725808,1.057598,0.18501717,True,0.37383825,0.39951605
SEMA5B,1.0078297,1.1926156,0.18478596,False,0.33178556,0.33465222
FOXP4,1.0239264,1.206425,0.18249857,True,0.34288076,0.34102505
TNNI3,0.83893996,0.65685,-0.18208998,True,0.34279716,0.32487836
GAL,2.7219493,2.5442047,-0.17774463,True,0.35849097,0.35241333
MUC3A,1.0630484,0.8859657,-0.17708266,True,0.61409867,0.587031
TMEM63A,1.2596389,1.434846,0.17520714,True,0.43629962,0.43511933
SCRN1,1.6150525,1.4466975,-0.16835499,True,0.31670198,0.34085432
FSCN1,2.5313451,2.3654544,-0.1658907,False,0.13523875,0.17368108
PLXND1,1.5982894,1.4333754,-0.16491401,True,0.2975896,0.33018655
CADM1,1.1041645,1.2660156,0.16185117,True,0.3583104,0.35742226
PPP1R1A,0.81672055,0.97798616,0.16126561,True,0.3124396,0.3175837
MEX3B,0.74400705,0.90522945,0.1612224,True,0.3606949,0.39467472
NETO1,1.0102036,1.1710755,0.16087186,True,0.38053605,0.37222558
S100A4,0.6748618,0.51645285,-0.15840894,True,0.3450312,0.29018122
ATP1A2,1.028914,0.87239987,-0.15651411,True,0.41873628,0.40365955
CAMK2N1,0.5002945,0.65676063,0.15646613,False,0.2571839,0.3098476
DPEP3,0.61881423,0.4630505,-0.15576372,True,0.33645475,0.28273392
P3H3,1.1309073,1.2861009,0.15519357,False,0.30171943,0.27938724
PKP3,0.804897,0.6504971,-0.15439993,False,0.329147,0.31422937
PELI2,1.2597406,1.4135658,0.15382516,False,0.29925656,0.2887203
ZSWIM9,0.58428663,0.43135417,-0.15293247,False,0.26606527,0.23355864
MDFI,1.2076058,1.3598678,0.15226197,True,0.35286814,0.34942597
LGALS1,0.5924107,0.44160077,-0.15080991,True,0.3181264,0.24173082
ADCYAP1R1,0.9360648,0.79010856,-0.14595622,False,0.33278164,0.3230407
H1F0,0.903924,0.7597296,-0.14419436,True,0.8330141,0.7357881
IFITM3,1.4483403,1.3049457,-0.14339459,False,0.28981033,0.3142558
TUBB3,1.5669075,1.4242718,-0.1426357,True,0.34727174,0.36565274
RASGRF2,0.75367785,0.89613694,0.1424591,True,0.38033068,0.40140694
RND3,1.4510654,1.5934588,0.14239335,True,0.5110513,0.51514983
TSHZ3,0.991738,1.1323239,0.14058584,True,0.39489174,0.40792915
CRYAB,0.30780682,0.16972007,-0.13808675,True,0.20958586,0.118834466
CD47,0.8767553,1.0144032,0.13764793,False,0.3009866,0.30341545
INPPL1,1.3143512,1.4503618,0.13601065,False,0.3053506,0.30641872
LIN7A,0.8565189,0.9911071,0.13458818,True,0.36641464,0.37228018
HTR1D,0.536856,0.6710786,0.13422263,True,0.32416457,0.36629888
KLK5,0.2259845,0.09306026,-0.13292423,True,0.15171267,0.067244485
AIF1,1.0458375,0.9130138,-0.1328237,True,0.38020986,0.38454288
MXRA7,1.2964681,1.4291375,0.13266933,True,0.3204221,0.30185875
TMEM106C,1.5577834,1.6895556,0.13177228,True,0.37999824,0.38195774
MYL9,1.8118736,1.9436071,0.13173354,True,0.4087449,0.39905986
PCDH18,1.5278986,1.6589432,0.13104463,True,0.4877093,0.47695178
DACT1,0.9510262,1.0807548,0.12972856,True,0.5183046,0.5308979
PDLIM2,1.4173461,1.5467272,0.12938106,False,0.2864623,0.24958919
PALLD,0.84461284,0.9739077,0.12929487,True,0.34409449,0.351693
CSRP1,0.89926517,0.7700058,-0.12925935,True,0.4090476,0.3822999
SPIB,0.7880941,0.9170945,0.12900043,True,0.35440066,0.37969685
DNAJA4,0.52847016,0.39957112,-0.12889904,True,0.30991498,0.25781903
SNCG,0.37053654,0.2418067,-0.12872984,False,0.2048056,0.14652896
SORBS3,0.9471793,1.0758708,0.12869143,False,0.3137771,0.32176408
PLPPR5,0.53212917,0.6603106,0.12818146,False,0.26216727,0.28292415
LEFTY1,0.40002847,0.5282059,0.1281774,True,0.4464706,0.630255
ETS1,1.0753208,1.2019857,0.12666488,True,0.3374279,0.33851406
RAB13,3.1653655,3.0390172,-0.12634826,True,0.15702635,0.17216039
PEG10,1.4632176,1.337736,-0.1254816,True,0.36439523,0.3942132
AKT1,1.3145778,1.4392947,0.12471688,False,0.30405977,0.2783976
CTDSPL,1.18088,1.3053163,0.12443638,False,0.29489055,0.30028364
MATK,1.154767,1.2790835,0.124316454,True,0.33695495,0.32009807
ETV5,1.7087905,1.8330998,0.1243093,True,0.3046062,0.27766034
NTS,1.4767022,1.5999657,0.12326348,True,0.7286999,0.73616785
RCN3,0.6342446,0.511333,-0.12291163,False,0.29265964,0.2621863
EDNRB,1.2057792,1.0832924,-0.12248683,True,0.57471013,0.5340235
CAMK1D,0.63603157,0.7582521,0.122220516,False,0.28950906,0.32818586
PTPRT,0.51883096,0.6406399,0.121808946,True,0.28988156,0.33122882
TAP1,0.6942486,0.57246375,-0.121784866,True,0.3381539,0.32061636
GRM4,1.11268,1.2339083,0.12122834,True,0.3394024,0.33232027
WTIP,1.2946142,1.4153032,0.120689034,True,0.35613766,0.34994388
NID2,0.41474396,0.2941789,-0.12056506,True,0.2318171,0.19160329
FUT8,1.1711775,1.0511757,-0.12000179,False,0.32690215,0.34063277
PLPPR3,2.4174502,2.5360427,0.1185925,True,0.21403643,0.23308599
IGFBPL1,0.64596206,0.5273943,-0.118567765,False,0.274646,0.25550762
PYGM,0.45106155,0.33307955,-0.117982,False,0.2429104,0.19356182
UGT8,1.01279,1.1303369,0.117546916,False,0.3252397,0.3245177
NECTIN1,2.7031887,2.820131,0.116942406,False,0.10809284,0.10081831
TRBC2,1.4730004,1.589913,0.1169126,True,0.35159406,0.33566976
HSPB2,0.21898416,0.10298887,-0.11599529,True,0.15148959,0.07860779
EPCAM,3.0536776,3.1687238,0.11504626,True,0.13687041,0.12613954
HSPB8,0.46621057,0.35162103,-0.11458954,False,0.24345829,0.20023286
MXRA8,0.4464411,0.3328335,-0.113607615,True,0.24973974,0.20380992
P3H2,1.3254241,1.4389086,0.1134845,True,0.46865007,0.4293281
FZD2,0.7157441,0.8287839,0.11303985,True,0.36336026,0.39203247
MFAP2,3.3579135,3.468332,0.11041856,False,0.08608777,0.085992604
NECTIN2,2.292487,2.4022608,0.109773874,False,0.16247058,0.15312995
SYT2,0.748557,0.85800177,0.1094448,False,0.3084234,0.33181277
