gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TFAM,2.2473638,0.21808006,-2.0292838,False,0.15890118,0.16392931
MT-ND3,1.7554234,0.8137475,-0.9416759,True,0.78610706,0.5279899
DDIT4,0.8543927,1.7681507,0.913758,True,0.7079657,0.87038046
CHAC1,0.70487297,1.5738049,0.8689319,True,0.38694882,0.5795448
STC2,2.132497,2.9262779,0.7937808,True,0.37043837,0.25092933
PCK2,2.0146055,2.7510026,0.736397,True,0.285465,0.25197542
MT-CO2,1.645371,0.91677046,-0.7286005,True,0.917779,0.662379
INHBE,0.40389985,1.1096916,0.7057918,True,0.249757,0.4908501
SLC7A11,2.2569587,2.95735,0.7003913,True,0.3321765,0.29703602
MT-ATP6,1.7147563,1.0279149,-0.68684137,True,0.97399217,0.77355796
MEF2B,0.32470265,1.0111828,0.68648016,True,0.20306997,0.5452082
SESN2,1.1401006,1.8200572,0.67995656,True,0.3993862,0.4533417
MT-ND4,1.8822018,1.2180723,-0.6641295,True,0.9863533,0.82380265
PSAT1,3.8175943,4.416335,0.5987408,True,0.09711025,0.10076446
IFRD1,2.5512347,3.1173797,0.56614494,True,0.24225035,0.20968354
ASS1,1.6960539,2.2414393,0.5453855,True,0.34041834,0.36353004
CTH,1.3418531,1.8445156,0.5026624,True,0.32998702,0.33997232
MT-CO3,1.2058606,0.70551056,-0.50035006,True,0.78025454,0.5412698
JDP2,0.87636673,1.3527684,0.4764017,True,0.35009328,0.34013736
SLC7A5,2.7678742,3.2378087,0.46993446,True,0.20752229,0.17475072
MT-ND6,0.8967327,0.4318568,-0.46487588,True,0.68610394,0.40272614
GPT2,1.7932483,2.233018,0.43976963,True,0.22261675,0.19448508
HMGCS1,3.5301554,3.0916643,-0.4384911,True,0.36374408,0.49833792
SHMT2,1.9814478,2.4165425,0.4350947,True,0.205803,0.17148134
TAC1,0.20844011,0.618066,0.4096259,True,0.14300334,0.38880086
TSC22D3,0.37244877,0.7782085,0.40575972,True,0.21085794,0.33626685
NHSL1,1.0050527,1.4098057,0.40475297,False,0.31409183,0.34403506
SDF2L1,1.7957741,1.3913537,-0.40442038,True,0.30096847,0.33175036
VEGFA,1.5524551,1.9464101,0.393955,True,0.3067676,0.32627496
MTHFD2,2.8751297,3.2653766,0.39024687,True,0.11284972,0.11700368
TRIB3,0.47223082,0.85473806,0.38250723,True,0.25069413,0.3998482
PLAAT3,1.6658874,2.0386283,0.37274098,True,0.36285684,0.3182651
GARS,1.5556651,1.9135089,0.35784376,False,0.26123875,0.23263042
TSEN15,0.96855,1.325408,0.35685796,False,0.29410607,0.3106729
DNASE2,1.327689,1.683473,0.35578394,True,0.30267313,0.26647088
VLDLR,1.3306402,1.6849593,0.3543191,True,0.42473996,0.42576703
PMAIP1,2.977533,3.3305535,0.35302043,True,0.21363744,0.16593575
ALDH2,0.9392132,1.2757428,0.33652955,False,0.30306822,0.30653483
PHGDH,3.219117,3.5503924,0.33127546,True,0.0838759,0.08340949
MSMO1,2.504345,2.1741414,-0.33020353,True,0.36301106,0.4055357
H1F0,0.903924,1.2320669,0.32814288,True,0.8330141,1.0079997
SLC43A1,1.1609708,1.4866285,0.32565773,False,0.30905944,0.2951742
HSPA1B,1.9541006,1.6343515,-0.31974912,True,0.42119756,0.37815586
EIF4EBP1,2.8433921,3.1602895,0.3168974,True,0.11213006,0.111378625
FBLL1,0.7856516,1.0991626,0.31351095,True,0.330642,0.37110507
HMGCR,3.3971014,3.0850773,-0.31202412,True,0.26202345,0.29979768
ATF5,0.9149669,1.2247682,0.30980128,True,0.44021747,0.79123604
HAX1,2.1175966,2.427042,0.30944538,False,0.16262452,0.15571399
SLC34A2,0.35625184,0.66549724,0.3092454,True,0.22300075,0.393358
PYCR1,2.0088482,2.3163855,0.30753732,False,0.2181221,0.20687605
ATF3,0.60296935,0.90998673,0.3070174,True,0.30893683,0.3862646
TMEM64,1.3649961,1.66238,0.2973839,True,0.3572356,0.43844274
KLF15,0.61699224,0.91191286,0.29492062,True,0.29440027,0.34332672
CEBPG,2.2168837,2.5059705,0.28908682,False,0.15180534,0.14333431
MAL2,3.0723975,3.3613358,0.28893828,False,0.096674755,0.09460435
GRB10,1.5261185,1.8108768,0.28475833,False,0.268858,0.2475273
CD55,1.1032617,1.3870125,0.28375077,False,0.31646472,0.30304486
MAP1B,2.2581487,2.5399356,0.28178692,True,0.20767254,0.16690223
SERPINB6,1.3203832,1.6008308,0.2804476,True,0.34365404,0.29193437
SLC3A2,2.9775004,3.2563903,0.2788899,True,0.15079467,0.14501415
LDLR,1.7909238,1.5137378,-0.27718604,True,0.40857795,0.4587632
DDIT3,0.14468314,0.42180482,0.27712166,True,0.101755336,0.28050572
MANF,3.0428514,2.766009,-0.27684236,True,0.17066789,0.18053412
WARS,2.3117876,2.5784285,0.2666409,True,0.15940808,0.16322185
HSPA8,4.8400865,4.574832,-0.2652545,True,0.1403093,0.15607232
SH2B3,1.1251506,1.3897845,0.2646339,False,0.30983877,0.33211344
FUT1,0.69886553,0.96171117,0.26284564,False,0.29132956,0.3551582
PEX5L,0.24525662,0.5069148,0.2616582,True,0.16455638,0.3143087
SARS,0.72292125,0.9838436,0.26092237,False,0.2770579,0.31588608
SMOX,0.8144796,1.0745572,0.2600776,True,0.3304221,0.37319595
RIMS3,1.0215168,1.2808523,0.25933552,False,0.3186593,0.3472151
G0S2,0.04369306,0.30188188,0.2581888,True,0.031034445,0.23405562
SLC1A5,3.0711186,3.3289645,0.25784588,True,0.1239001,0.10487446
IDI1,1.1688491,0.9123541,-0.256495,True,0.37462935,0.41164365
HMOX1,1.7928151,2.044716,0.2519008,True,0.41226184,0.452417
HPDL,1.5688995,1.3177497,-0.25114977,True,0.32727882,0.36650687
BCAT1,2.7428734,2.992848,0.24997449,True,0.13635567,0.1140997
EPS15,0.839539,1.0866009,0.24706191,False,0.28988963,0.33319288
SH3KBP1,0.8895596,1.1359537,0.24639404,False,0.32380962,0.34784287
DHCR7,2.2212503,1.9755893,-0.24566102,True,0.27521834,0.3168406
ID3,1.931087,1.6864402,-0.24464679,True,0.3423298,0.40259635
BRI3,1.9457042,2.188372,0.24266768,False,0.19502924,0.17272103
NARS,3.2868588,3.528493,0.24163413,False,0.060273733,0.06071616
FOXO3,1.194357,1.4359272,0.24157012,False,0.3155866,0.33028224
COL1A1,2.260025,2.0184915,-0.24153352,True,0.40600464,0.43561265
SLC7A1,2.8072317,3.0440955,0.23686385,False,0.10905044,0.11265511
GYPC,0.8675986,1.1031784,0.23557979,False,0.31878453,0.3303047
NSDHL,1.9035813,1.6681575,-0.2354238,True,0.25716972,0.3261084
UHRF1BP1,0.7826757,1.0160792,0.2334035,False,0.2919338,0.3356323
SERPINB9,1.3378824,1.5703926,0.23251021,True,0.5634636,0.5896915
VIM,2.7251427,2.956244,0.23110127,True,0.5895071,0.5973556
TMEM268,0.75688636,0.9874422,0.23055583,False,0.3071248,0.3489954
SNTB1,0.9740297,1.2034316,0.22940189,False,0.31287175,0.308989
INSIG1,0.85269517,0.6238721,-0.22882307,True,0.41963935,0.369718
DNAJC3,1.5634774,1.3381661,-0.22531128,True,0.29950032,0.30942732
MT-CYB,0.6396104,0.4146039,-0.22500652,True,0.489698,0.36043355
LRATD2,1.9109303,2.1354356,0.2245053,True,0.23838219,0.20324934
ZNF516,0.41618332,0.6400835,0.22390017,True,0.26902473,0.39920315
SLC6A9,0.8139847,1.0374175,0.22343284,False,0.31451872,0.36545974
HEXIM1,1.8267198,1.6047186,-0.2220012,True,0.2798919,0.3527613
PSPH,2.7757096,2.9954128,0.2197032,False,0.11217915,0.10463383
MMP24,1.0542948,1.273374,0.21907914,True,0.3902179,0.3870987
CUZD1,0.5141857,0.7327442,0.21855849,True,0.36897147,0.48155347
CALCA,0.107528865,0.3260741,0.21854523,True,0.07801358,0.24271066
NFE2L1,2.7962868,3.0129108,0.21662402,True,0.11511034,0.10974137
HRK,0.31129366,0.52667785,0.21538419,True,0.19280374,0.30043983
CALCOCO2,0.89304763,1.107901,0.21485335,False,0.31795242,0.32567185
TIMM44,2.685111,2.8998497,0.2147386,False,0.1196562,0.09680284
APOE,4.079322,4.2938685,0.21454668,True,0.07351008,0.06818164
LMO3,1.0553634,0.84091294,-0.21445048,True,0.47546923,0.45617896
CRELD2,1.4678822,1.2535629,-0.21431923,False,0.2872639,0.3230856
OPLAH,0.6140791,0.8274565,0.21337736,False,0.28630203,0.33687645
HSPA5,0.8266,0.61492574,-0.21167427,True,0.33154777,0.2873959
UPP1,1.0359405,1.2476104,0.21166992,True,0.31874496,0.32550177
PRSS8,1.4594178,1.6707057,0.21128786,False,0.29052255,0.2867492
FAM107B,1.5341849,1.740364,0.20617902,True,0.3062342,0.297455
KMT5A,0.68901837,0.8943042,0.20528585,False,0.29949963,0.37597442
TTC39B,0.97977173,1.1845304,0.20475864,False,0.32575017,0.34091604
MVK,1.1645757,0.9600971,-0.20447862,True,0.44198978,0.4145993
HMMR,2.4663396,2.2631774,-0.2031622,True,0.27379674,0.40328124
NFE2L2,1.7563305,1.9570935,0.20076299,False,0.2560396,0.22425558
ELOVL6,2.2672312,2.0667865,-0.2004447,True,0.17385457,0.21116944
ADAM9,0.9681818,1.1683867,0.20020491,False,0.3014476,0.30220935
GRPEL2,1.4014423,1.6014266,0.19998431,False,0.26115924,0.22741963
CEBPB,0.24346502,0.4427161,0.19925107,False,0.14350526,0.2402879
KIF1A,3.2239323,3.4229128,0.19898057,True,0.09698961,0.084392846
SEPTIN11,2.9097235,3.1083891,0.19866562,False,0.09637374,0.08682921
RGMB,1.0518202,1.2500241,0.19820392,True,0.33273268,0.38029087
HSP90B1,3.3071861,3.1090324,-0.19815373,True,0.13705876,0.16934551
STX3,1.8876352,2.0854442,0.19780898,False,0.21896623,0.19593799
RRM2,2.7643306,2.567944,-0.19638658,True,0.16847533,0.20043397
NQO2,2.2694356,2.4646316,0.19519591,True,0.19669998,0.21584697
MTHFD1L,1.5051967,1.699611,0.19441426,False,0.25626868,0.22470136
HSPA2,1.1836619,0.99005795,-0.19360399,True,0.39147896,0.40913588
RGS16,0.675197,0.86857384,0.19337684,True,0.3482187,0.42447114
ALDH1L2,0.14755295,0.33985025,0.1922973,False,0.09682751,0.20317136
SCN4A,0.34944397,0.54140574,0.19196177,False,0.198314,0.27915606
AARS,0.9076221,1.0992243,0.19160223,False,0.3064885,0.29981107
MVD,1.8713977,1.6814085,-0.18998921,True,0.34796846,0.4357185
FDFT1,1.5083088,1.3190321,-0.1892767,True,0.3391564,0.3830102
EEF2,4.9366703,5.1247754,0.1881051,False,0.035720985,0.033077538
RAB39B,1.0551984,1.2430302,0.18783176,False,0.32795432,0.3236962
LRRC8D,1.7803253,1.9669428,0.1866175,False,0.22162026,0.197089
TUBB4B,2.8347456,2.6484659,-0.18627977,False,0.10122307,0.13094446
