gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
SCGB3A2,2.1600077,1.3279115,-0.8320962,True,1.0063828,1.040594
TGFBR2,0.8510084,0.061156515,-0.7898519,True,0.34648004,0.047510628
PKDCC,2.017514,2.7862773,0.7687633,True,0.58726704,0.5350592
CHGA,1.5551376,2.2542086,0.69907093,True,0.55296373,0.67303693
MT1X,1.2593601,0.5614457,-0.69791436,True,0.58770955,0.41485384
GAL,2.7219493,2.0891325,-0.6328168,True,0.35849097,0.41014016
DACT1,0.9510262,0.3868041,-0.5642221,True,0.5183046,0.26601523
VAT1L,1.7592366,2.3142347,0.55499816,True,0.2837038,0.19497451
SKIL,3.2403889,2.6893384,-0.5510504,True,0.1171775,0.2262883
IQSEC2,1.9034958,1.3543521,-0.5491437,True,0.3713815,0.4153837
TMEM63A,1.2596389,0.7204716,-0.5391673,True,0.43629962,0.3733337
ITGB5,2.7919524,2.2579522,-0.53400016,True,0.17067133,0.2169065
S100A10,3.133715,2.621994,-0.5117209,True,0.22135624,0.30812496
IRX2,0.45888945,0.9692514,0.5103619,True,0.29465783,0.4916514
USP3,0.49491745,1.0047852,0.5098677,True,0.2896442,0.41013864
TTC39C,1.9046897,1.4042207,-0.50046897,True,0.34991878,0.3573706
ID3,1.931087,2.3912745,0.46018744,True,0.3423298,0.2965773
FGF13,1.6198746,1.161461,-0.4584136,True,0.42301762,0.45294094
EDIL3,1.4273261,0.9710116,-0.4563145,True,0.36399788,0.3857991
ETS1,1.0753208,0.62427324,-0.4510476,True,0.3374279,0.31072453
PHLDA1,1.0242558,1.4645555,0.44029975,True,0.4561791,0.48813108
RASGRF2,0.75367785,0.32420763,-0.4294702,True,0.38033068,0.20902616
PLAAT3,1.6658874,1.2460177,-0.41986966,True,0.36285684,0.42594087
SFRP1,4.2489777,4.6663303,0.41735268,True,0.12169684,0.06245442
MMP17,0.97544795,1.3923837,0.41693574,True,0.36952886,0.3760761
FGFBP3,1.5303756,1.931623,0.40124738,True,0.39057454,0.38110274
CCDC141,0.8916808,0.4921636,-0.39951718,True,0.44828832,0.333042
CAPN2,1.0743307,1.471912,0.39758134,True,0.3748314,0.35005853
BST2,1.1939828,1.5854309,0.39144802,True,0.5915028,0.7048002
NRP2,1.0989628,1.474804,0.37584126,True,0.39400205,0.39185828
NANOG,2.2042422,1.8290491,-0.37519312,True,0.2297275,0.33785206
ADM,1.0165217,1.3886403,0.3721186,True,0.4694616,0.46749857
BTBD17,1.1946275,1.5666015,0.371974,True,0.37292463,0.3797168
SERPINB9,1.3378824,0.96690965,-0.37097275,True,0.5634636,0.49124175
TAGLN,2.3409328,1.9763061,-0.36462677,True,0.6389723,0.7363977
SDK2,0.26866636,0.63249964,0.36383328,True,0.16567518,0.31767368
ID1,2.082082,1.720265,-0.361817,True,0.44992384,0.6069631
FZD2,0.7157441,1.0765887,0.36084467,True,0.36336026,0.42627603
DGKK,0.9637905,1.3217274,0.35793692,True,0.4367179,0.47069198
ATP1A2,1.028914,1.3803557,0.35144174,True,0.41873628,0.4351421
CHD7,2.3055537,2.6560674,0.3505137,True,0.2723786,0.19120944
METTL7A,1.1035215,0.75806165,-0.34545982,True,0.36541176,0.3419799
DCLK1,1.713339,2.0540664,0.34072745,True,0.28653774,0.23975153
SLC6A15,1.7863109,1.4457108,-0.34060013,True,0.29976016,0.39269495
EFNB1,0.55589575,0.8945438,0.33864808,True,0.30427697,0.40927413
CLU,2.868908,3.2067559,0.33784795,True,0.13896124,0.118483834
RFLNB,1.6136794,1.2786511,-0.3350283,True,0.32008567,0.3898627
HTR7,0.7363093,1.0681211,0.3318118,True,0.39800823,0.4215116
CAV1,0.51446736,0.18324296,-0.33122438,True,0.30516323,0.13683002
ADCYAP1R1,0.9360648,1.266596,0.33053118,False,0.33278164,0.34625912
AKAP7,1.5629597,1.2327418,-0.33021784,True,0.41213223,0.45429325
SEMA6D,0.16841522,0.49859896,0.33018374,True,0.11888158,0.30744082
ITPR2,1.4748362,1.1495523,-0.32528389,True,0.3709125,0.41428155
ZIC2,1.9019088,2.2252274,0.3233186,True,0.40680227,0.30332717
SALL1,1.7900298,2.1121242,0.32209444,True,0.30072147,0.23126212
LOXL2,1.8198686,2.1398625,0.31999397,True,0.26679,0.22829244
SOCS2,1.2737695,1.5925876,0.3188181,True,0.4973071,0.45951903
CDH4,0.8705357,1.1829429,0.3124072,True,0.35521907,0.4161209
MCC,1.0250969,1.3369408,0.31184387,True,0.37870842,0.378721
SELENOP,1.0004246,1.3115686,0.311144,True,0.44973302,0.4923957
CA11,1.782018,2.092989,0.31097102,True,0.24894503,0.22250117
BAMBI,1.3751374,1.0649703,-0.3101672,True,0.37343463,0.38690874
FOXO4,1.1443002,0.83429444,-0.31000578,True,0.36615413,0.34273013
MYSM1,2.1659586,1.856266,-0.30969262,True,0.21082062,0.23160742
GDPD2,1.3856034,1.6929126,0.30730915,True,0.3390894,0.32794288
LEFTY1,0.40002847,0.092728086,-0.3073004,True,0.4464706,0.08026319
SPART,1.7157133,1.4096998,-0.30601346,True,0.31890935,0.34908888
IFITM3,1.4483403,1.1426743,-0.30566597,False,0.28981033,0.3332168
DUSP6,2.2662961,2.570602,0.3043058,True,0.42365897,0.33994794
S100A11,1.5742178,1.2713773,-0.30284047,True,0.29990643,0.35728627
JAZF1,1.1662948,0.86448073,-0.30181408,True,0.3763501,0.36980885
DPPA2,0.9645738,0.6630532,-0.3015206,True,0.42964724,0.38077322
OTX2,0.8048261,1.1056743,0.3008482,True,0.38356015,0.42654303
NPR1,1.1440488,1.4440879,0.30003905,True,0.33606455,0.34459952
GPC3,1.794429,2.090151,0.29572213,True,0.31798097,0.2823601
NODAL,0.39589173,0.10543303,-0.29045868,True,0.29222062,0.08316894
FN1,0.7990986,0.5088112,-0.29028744,True,0.3614243,0.3004513
OBI1,0.6192709,0.9093592,0.2900883,False,0.28445882,0.32366782
COL6A1,2.216633,1.9268337,-0.28979933,True,0.22963761,0.28361386
ADCY2,1.7650582,1.4777914,-0.28726673,True,0.41020232,0.4905661
FGFR1,2.9439304,3.2298472,0.2859168,True,0.10056235,0.084322155
FXYD6,1.8719592,2.1555922,0.283633,True,0.2274005,0.19917819
TMEM123,1.5075011,1.7911235,0.28362238,False,0.26990208,0.2199898
SLC16A10,0.8762519,0.59357095,-0.28268093,False,0.33361018,0.3119506
LMO3,1.0553634,0.7733716,-0.28199184,True,0.47546923,0.4606428
SLC7A8,1.2359492,1.5164295,0.28048038,False,0.30128095,0.29790768
FAT1,2.2605605,2.5407534,0.28019285,False,0.15875466,0.12646474
SLC39A8,1.5447878,1.2652426,-0.2795452,True,0.35716635,0.37747642
STOX2,0.6511007,0.3731885,-0.2779122,True,0.30187514,0.22896324
KRT7,0.60201144,0.8780614,0.27604997,True,0.30552402,0.37472567
TTN,0.53751266,0.26396367,-0.273549,True,0.3516583,0.20218192
ELAVL2,1.8705974,1.5971617,-0.2734357,True,0.27386892,0.3447927
CORO2A,1.4832922,1.2104064,-0.2728858,True,0.35276833,0.3634148
SPTSSB,0.90169275,0.62884325,-0.2728495,True,0.38103697,0.34287173
AVEN,1.4445827,1.7173486,0.27276587,False,0.3008583,0.28551656
WWOX,0.8561767,1.1284567,0.27228004,True,0.33045894,0.32356536
GRPR,0.8029942,0.5308738,-0.27212042,True,0.6066761,0.43707103
FUT8,1.1711775,1.4422195,0.271042,False,0.32690215,0.3274127
FAM126A,2.8053212,2.5348277,-0.2704935,False,0.114520706,0.1509462
NR3C1,0.5848277,0.85269797,0.26787025,True,0.31194535,0.41117868
PTN,1.3494028,1.6170752,0.26767242,True,0.30755064,0.30866453
HAS3,0.9021009,1.1685108,0.26640987,True,0.34254667,0.36700326
TACR3,0.49855387,0.7642929,0.26573902,True,0.2798174,0.3792277
PHC2,0.3345986,0.6000754,0.26547682,True,0.20299976,0.31977963
TFPI2,0.67664933,0.41171798,-0.26493135,True,0.33158126,0.24700204
PPP1R1B,0.60710275,0.86941826,0.2623155,True,0.2975516,0.38021138
CCBE1,0.29957494,0.5612305,0.26165554,True,0.18884747,0.31457907
CADM1,1.1041645,1.3647869,0.26062238,True,0.3583104,0.3773674
TMEM106C,1.5577834,1.2986146,-0.25916874,True,0.37999824,0.42872775
GALNT3,0.92672193,0.66790926,-0.25881267,True,0.34370244,0.32829127
FST,0.77896905,1.0365955,0.2576264,True,0.37842038,0.48606718
ZNF423,2.1085908,2.3661602,0.2575693,False,0.21661459,0.18923259
CACNA2D2,0.65698075,0.9144103,0.25742954,False,0.2937279,0.32896638
NPTX2,1.078339,1.33561,0.25727105,True,0.40481034,0.41986746
LAMB1,1.1267743,1.3839028,0.25712848,True,0.34430408,0.33876964
FHOD3,0.540861,0.79798084,0.25711983,True,0.28442246,0.36283296
PGM2L1,1.618141,1.361253,-0.25688803,True,0.2785538,0.3258336
IGDCC4,0.7147406,0.97151047,0.2567699,True,0.32819542,0.37465742
COL1A1,2.260025,2.5141308,0.2541058,True,0.40600464,0.3795149
HESX1,1.250492,0.9968284,-0.2536636,True,0.4382072,0.4845159
SLFN13,0.23182973,0.4844625,0.25263277,True,0.15555559,0.2832526
TOMM7,2.7090468,2.4564395,-0.25260735,False,0.11932662,0.15140031
UTRN,1.5240933,1.2719828,-0.25211048,True,0.31129065,0.3560606
LYN,1.7742544,2.0255136,0.2512592,True,0.26099896,0.2515089
