gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TMBIM6,1.8227708,0.1450551,-1.6777158,False,0.21732417,0.10830877
SSR3,2.811521,1.7098074,-1.1017137,False,0.0989352,1.1406155
HECTD2,0.95035815,0.39832744,-0.5520307,False,0.32953405,0.22402516
ZNF706,1.1127894,0.79035705,-0.32243234,False,0.28310636,0.29944822
NGFR,0.43601242,0.21766663,-0.21834579,True,0.25325462,0.13710193
TNS3,0.7929595,0.6002593,-0.1927002,False,0.3068092,0.2836426
MT1X,1.2593601,1.0734552,-0.18590486,True,0.58770955,0.5861689
SLC7A11,2.2569587,2.4357605,0.17880177,True,0.3321765,0.27870774
PCK2,2.0146055,2.159018,0.14441252,True,0.285465,0.25815877
SLC7A5,2.7678742,2.8971014,0.12922716,True,0.20752229,0.17666678
CYP2S1,3.01396,3.1428614,0.12890148,True,0.12651794,0.10988505
NYNRIN,0.86126167,0.98902893,0.12776726,False,0.30157602,0.27528298
FBXL15,0.7282467,0.6032751,-0.12497157,False,0.2860216,0.27156362
INHBE,0.40389985,0.52308726,0.119187415,True,0.249757,0.29017234
SLC3A2,2.9775004,3.0914147,0.11391425,True,0.15079467,0.12310796
ASS1,1.6960539,1.808604,0.11255014,True,0.34041834,0.31650144
DDRGK1,1.3381939,1.4503118,0.11211789,False,0.2707761,0.28087825
IDO1,1.2041372,1.3153996,0.11126244,True,0.43108737,0.37534758
NUCB2,1.2010907,1.3123449,0.111254215,False,0.3129726,0.31274915
SYT1,1.3809057,1.2720431,-0.10886264,True,0.38881758,0.36424983
NFATC4,0.8434317,0.95088965,0.107457936,True,0.34402946,0.31833345
PSAT1,3.8175943,3.9228072,0.10521293,True,0.09711025,0.100673325
AZIN1,2.0886452,1.9844103,-0.104234934,False,0.17794104,0.19017355
LSR,3.2806432,3.3839843,0.1033411,False,0.07373071,0.06891574
CTH,1.3418531,1.4449928,0.10313964,True,0.32998702,0.3060327
STC2,2.132497,2.2354867,0.10298967,True,0.37043837,0.37325156
CHAC1,0.70487297,0.8076393,0.102766335,True,0.38694882,0.42324725
DDIT4,0.8543927,0.95647305,0.102080345,True,0.7079657,0.74152553
ALDH2,0.9392132,1.0398155,0.10060233,False,0.30306822,0.2922626
ALDH6A1,1.3014809,1.4018202,0.10033929,False,0.29679108,0.24999256
CUZD1,0.5141857,0.6137314,0.09954566,True,0.36897147,0.46231967
RBP1,1.0985924,1.1960317,0.09743929,False,0.3256304,0.32532254
ZIM3,2.5895684,2.6855006,0.095932245,True,0.29940525,0.2926227
SND1,2.791352,2.8871658,0.09581375,False,0.09419116,0.08347541
PLPPR1,0.1900522,0.28524205,0.095189855,False,0.12854981,0.19115219
SEC63,1.8843127,1.9791317,0.09481895,False,0.20075788,0.1862428
NTS,1.4767022,1.3823977,-0.09430456,True,0.7286999,0.7323622
MCOLN1,1.1225923,1.2167642,0.09417188,False,0.31445494,0.30156344
LRAT,1.3468386,1.4395304,0.09269178,True,0.5342008,0.52374065
DPPA2,0.9645738,0.8724522,-0.0921216,True,0.42964724,0.42598784
HIST1H1C,3.3517175,3.2598627,-0.09185481,True,1.5421159,1.608498
SERPINB6,1.3203832,1.4121451,0.09176195,True,0.34365404,0.3157964
PLAGL2,1.4489024,1.3581424,-0.09075999,False,0.2645787,0.3032945
IFRD1,2.5512347,2.641461,0.09022617,True,0.24225035,0.25235894
SLC7A3,2.1135912,2.203,0.089408875,True,0.23265243,0.19063336
BCAT1,2.7428734,2.832222,0.089348555,True,0.13635567,0.111009486
SEC61A1,2.4834752,2.5718791,0.08840394,False,0.14706008,0.15357965
RAC3,2.8421829,2.754468,-0.08771491,False,0.11613843,0.11509873
TENT4B,1.3748031,1.2876058,-0.087197304,False,0.2831213,0.27529368
PAXX,1.2873535,1.2005293,-0.08682418,False,0.26969296,0.30387133
DCLK1,1.713339,1.8001056,0.0867666,True,0.28653774,0.22269118
TMEM209,1.5076681,1.5938727,0.08620453,False,0.26288113,0.24931507
UGT8,1.01279,1.0983591,0.08556914,False,0.3252397,0.3032645
GINS3,0.96762884,1.0524933,0.0848645,False,0.3242637,0.31342328
STOM,0.9758953,1.0606606,0.084765315,False,0.33041394,0.3160387
TXNDC12,2.0834959,1.9990307,-0.084465146,False,0.16331923,0.1776237
PHGDH,3.219117,3.3033803,0.084263325,True,0.0838759,0.07455985
SNTB1,0.9740297,1.0579141,0.08388442,False,0.31287175,0.30808005
EIF4EBP1,2.8433921,2.9271066,0.083714485,True,0.11213006,0.099036604
CTNNBIP1,1.7228773,1.6392965,-0.08358073,False,0.23476285,0.22823624
OCLN,1.9487426,2.0323052,0.08356261,True,0.22371694,0.214423
ACSBG1,0.4829698,0.56645924,0.08348945,True,0.27401987,0.29900908
LHPP,0.94047344,1.0229448,0.08247137,False,0.31491002,0.30396715
SELENOP,1.0004246,1.0818609,0.08143628,True,0.44973302,0.47478282
CHGA,1.5551376,1.6358055,0.08066785,True,0.55296373,0.5499114
SLC30A1,1.4016619,1.3212107,-0.08045113,True,0.45045567,0.4237734
PREX2,1.651501,1.7317119,0.080210805,False,0.27083576,0.22303759
COPE,1.1530513,1.2331376,0.08008635,False,0.27624962,0.23473197
MT-CO3,1.2058606,1.2847931,0.078932524,True,0.78025454,0.8297805
SLC27A2,0.4075058,0.48557562,0.078069806,False,0.22578956,0.25399038
MT-ND3,1.7554234,1.8329711,0.07754767,True,0.78610706,0.8319797
PDPN,2.834985,2.7575011,-0.07748389,True,0.1602829,0.17013235
VAT1L,1.7592366,1.8365264,0.07728982,True,0.2837038,0.29566574
ERRFI1,1.6567633,1.5798018,-0.07696152,True,0.39002523,0.40214238
DHRS3,0.8341274,0.91090864,0.07678121,True,0.3343939,0.33546218
DNAJC3,1.5634774,1.6401862,0.07670879,True,0.29950032,0.25881827
SELENOS,1.8620504,1.938468,0.076417565,False,0.21071681,0.16231517
LATS2,1.0190691,0.9430851,-0.075984,False,0.317101,0.3079267
LMCD1,0.89934635,0.9752596,0.07591325,True,0.37876225,0.3381019
MARK3,0.7776794,0.85342664,0.07574725,False,0.28574175,0.26906705
PLS1,0.69831413,0.77380484,0.07549071,False,0.28247026,0.26701277
RBM23,1.5033468,1.5788059,0.07545912,False,0.33135495,0.27954504
TRIM56,0.62802637,0.7032871,0.07526076,False,0.27701735,0.2775534
TRAPPC6B,0.81307197,0.73823017,-0.0748418,False,0.2843533,0.2855879
ARG2,0.69987094,0.7747066,0.07483566,False,0.28283924,0.2592373
MST1,0.19021699,0.115400545,-0.07481644,False,0.11730223,0.0752872
MEF2B,0.32470265,0.39950112,0.074798465,True,0.20306997,0.24252401
SLC25A32,1.3915937,1.3169112,-0.074682474,False,0.27147475,0.27528998
PAPSS2,0.6736998,0.74834377,0.07464397,False,0.28617874,0.24882004
ELAVL2,1.8705974,1.7960533,-0.07454407,True,0.27386892,0.32673803
CREB3L2,0.811081,0.8856197,0.07453871,False,0.31056884,0.3049555
SGCE,0.8110337,0.88518333,0.07414961,False,0.28501093,0.2697995
CAPN2,1.0743307,1.1483359,0.074005246,True,0.3748314,0.37161636
EPHX1,2.2547429,2.3286705,0.07392764,True,0.19147474,0.15281342
CDH1,3.012517,3.0863543,0.07383728,True,0.116549484,0.103278995
CCNE1,1.5663189,1.4926643,-0.07365453,True,0.32774282,0.3372576
DDIAS,1.5109471,1.4374518,-0.07349527,False,0.26033556,0.26017866
CDH4,0.8705357,0.943688,0.0731523,True,0.35521907,0.36069873
HDAC9,0.5378564,0.6109453,0.073088884,False,0.2637966,0.2666532
TAP2,0.96540624,1.0384206,0.07301432,False,0.31515342,0.28249088
SLC7A7,0.6898392,0.76264524,0.07280606,True,0.31845716,0.2707474
GLTP,0.9030233,0.8303697,-0.07265359,True,0.3272201,0.31126043
OGFOD2,0.46188343,0.53449875,0.072615325,False,0.22616357,0.24733861
EDIL3,1.4273261,1.3548659,-0.072460175,True,0.36399788,0.38533577
FAM83D,1.8226819,1.8951393,0.07245743,True,0.4921371,0.43598843
FOXP1,1.075951,1.1480877,0.07213676,False,0.33089694,0.33063158
SRPRB,1.2999974,1.3718853,0.07188785,False,0.30007493,0.28859186
ZNF576,0.7940852,0.7223239,-0.07176131,False,0.28673378,0.2720469
PGM3,1.5171465,1.5888658,0.07171929,False,0.24832428,0.21095404
SLC33A1,1.3264978,1.3980426,0.07154477,False,0.2840205,0.24962959
TXNDC15,1.4999859,1.4284586,-0.07152736,False,0.25503102,0.30924806
NPEPL1,1.0269386,1.0983022,0.07136369,False,0.3099722,0.28927547
LAMB1,1.1267743,1.1980307,0.0712564,True,0.34430408,0.3202057
MIA3,2.1434731,2.2145987,0.07112551,False,0.17703825,0.15542713
MACO1,1.1470135,1.2179003,0.07088673,False,0.30494404,0.26515648
SNTA1,0.52341855,0.4525659,-0.07085264,False,0.2698936,0.23957229
NHSL1,1.0050527,1.0757596,0.07070696,False,0.31409183,0.30727103
TIMP4,1.0468571,1.1175593,0.070702195,True,0.40760192,0.43112448
BRCA2,1.2825447,1.3531897,0.070644975,False,0.2878654,0.25668928
TYRO3,1.2779318,1.3484763,0.07054448,False,0.28758505,0.25898314
GNAI1,0.8475917,0.91811126,0.07051957,False,0.30594254,0.29609028
ZNF671,0.5801865,0.6503554,0.07016891,False,0.2771741,0.28388068
CADPS2,1.3590494,1.4290879,0.07003844,True,0.32116383,0.28244692
CDO1,0.67494875,0.7449275,0.06997877,False,0.31003004,0.3005105
FOXH1,0.76008445,0.6903713,-0.069713175,False,0.29991943,0.27156645
CLPTM1,2.1040974,2.1736848,0.06958747,False,0.16139197,0.11935674
NAPA,1.6271203,1.6966646,0.069544315,False,0.22120419,0.17859766
CDC25C,0.9014459,0.97098756,0.06954163,False,0.30487958,0.29019487
AFAP1,0.7620585,0.6925857,-0.06947279,False,0.30162808,0.27912936
EGR1,0.81692857,0.88634807,0.0694195,True,0.5892243,0.6467728
SPC25,1.6653423,1.7346064,0.069264054,False,0.23158783,0.18881473
COX7C,0.8696976,0.93882555,0.06912798,False,0.3086757,0.28556004
HEXIM1,1.8267198,1.7576671,-0.069052696,True,0.2798919,0.27948
CARD11,0.7951784,0.7261487,-0.06902969,False,0.3081846,0.30755508
CLU,2.868908,2.937814,0.06890607,True,0.13896124,0.12740716
FREM2,1.122297,1.1911825,0.068885446,False,0.31732485,0.27958295
SPPL2B,1.3261851,1.3949537,0.06876862,False,0.30230796,0.2679348
TMEM37,0.46702898,0.5354167,0.06838775,False,0.24041341,0.24771056
GABPB1,1.5603324,1.6286014,0.068269014,True,0.30775872,0.2564902
DNAJC1,0.87667274,0.9448128,0.06814003,False,0.2997558,0.29995602
SLC44A5,0.36547804,0.43340632,0.067928284,True,0.22164835,0.22158657
FZR1,1.3695183,1.4374192,0.067900896,True,0.4153042,0.37740237
EIF4A2,3.2214396,3.1536372,-0.06780243,True,0.11395458,0.10919561
VIM,2.7251427,2.7928698,0.06772709,True,0.5895071,0.50748086
TMTC1,0.8034256,0.8709097,0.06748408,True,0.33674684,0.33802086
WARS,2.3117876,2.3791904,0.06740284,True,0.15940808,0.16515361
CALB1,0.8725808,0.8053374,-0.0672434,True,0.37383825,0.34148762
RPN1,1.1376343,1.2047906,0.067156315,False,0.3190165,0.28868788
CLCN5,0.71624565,0.7833031,0.06705743,False,0.30264038,0.31337315
NECAP2,1.072098,1.1389549,0.06685686,False,0.314684,0.28523982
CACHD1,1.3571806,1.4238815,0.066700935,False,0.2842649,0.2601933
APPL2,1.0628166,0.9962372,-0.0665794,False,0.32961828,0.3470047
GPR143,1.1005427,1.1670167,0.06647408,True,0.37836063,0.36307678
AMOTL2,1.0679373,1.0014967,-0.06644058,True,0.48965907,0.509974
HMOX1,1.7928151,1.8591322,0.06631708,True,0.41226184,0.405779
ZMYND8,2.2187495,2.2848825,0.06613302,False,0.17156427,0.14252016
B4GALT2,1.417858,1.3517828,-0.066075206,False,0.2590247,0.24117322
NSL1,2.5238385,2.5897777,0.06593919,False,0.11782741,0.104678236
SESN2,1.1401006,1.2056526,0.065551996,True,0.3993862,0.38880908
SLC43A1,1.1609708,1.2263306,0.06535983,False,0.30905944,0.2951154
SLC12A7,1.9191669,1.9844809,0.065313935,True,0.23414764,0.1944849
SYT7,0.36385638,0.42914918,0.065292805,False,0.200994,0.22619487
HESX1,1.250492,1.1854784,-0.06501353,True,0.4382072,0.48570237
CACNG8,0.5332423,0.59822786,0.06498557,True,0.27113855,0.27473643
NPTX2,1.078339,1.1433169,0.064977884,True,0.40481034,0.39861572
CTIF,0.5127891,0.57771295,0.06492388,False,0.25815922,0.27006266
CYP51A1,2.820574,2.8854444,0.06487036,True,0.19194041,0.1906654
HM13,2.1771119,2.2419136,0.06480169,False,0.16874664,0.13576183
SYS1,0.5714528,0.63616616,0.06471336,False,0.2551495,0.25050962
KIT,0.8421215,0.9068308,0.064709306,False,0.32767957,0.32978752
CYP20A1,0.87690383,0.9415208,0.06461698,False,0.30044553,0.28899908
MYOZ3,0.47867918,0.543289,0.064609826,False,0.22690587,0.22845449
MESD,1.7569779,1.6924883,-0.0644896,False,0.20966867,0.2408151
ZBTB39,1.6026183,1.5383546,-0.0642637,False,0.25253505,0.28996414
GFPT1,1.9355822,1.9997331,0.06415093,False,0.18440382,0.15968275
HEPH,1.6045334,1.6686456,0.06411219,False,0.26916465,0.23274443
SHMT2,1.9814478,2.0453186,0.06387079,True,0.205803,0.20175476
ZNF821,0.70540816,0.76919925,0.063791096,False,0.29379383,0.26845655
ACTN3,0.69950247,0.7631562,0.06365371,True,0.31380337,0.2996924
BTG1,0.47074333,0.5343862,0.06364289,False,0.2458772,0.25926983
POLR3C,1.5690315,1.6325147,0.06348324,False,0.2614952,0.23342259
UTY,0.47766104,0.5411024,0.063441366,False,0.23856147,0.26691547
PMEL,1.6445423,1.7079582,0.063415885,True,0.34611374,0.30412465
TMEM9,1.5928855,1.6562937,0.063408256,False,0.23145442,0.23108159
ILVBL,1.4821688,1.5455533,0.06338453,False,0.26454854,0.22123058
GSTP1,1.4962467,1.5596279,0.063381195,True,0.31563762,0.2529282
PDE4B,0.62653655,0.68987244,0.063335896,True,0.36656713,0.3997221
GLRX,0.9659067,1.0292208,0.06331414,False,0.31046537,0.28425074
LY6E,1.5142481,1.4509581,-0.06329,False,0.26724777,0.23028323
RBM12B,1.1280463,1.0647564,-0.06328988,False,0.2898042,0.29436317
