gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TMSB10,3.758447,0.7240979,-3.034349,False,0.072411016,0.37313247
HMGCR,3.3971014,0.8156708,-2.5814307,True,0.26202345,0.68026364
PIK3C2A,2.5164042,0.8113187,-1.7050855,False,0.107637264,0.7817059
ACSS2,0.8820951,2.3320827,1.4499876,True,0.5769565,1.0969621
ACTL8,0.26143366,1.670744,1.4093103,True,0.16999647,0.44028345
TACC3,3.232461,1.8703203,-1.3621407,False,0.09637902,1.2419578
CSDE1,2.4816203,1.1556988,-1.3259215,False,0.11592204,0.68202305
SPATS2,1.5611767,0.26889235,-1.2922843,False,0.27314207,0.2599735
TFDP1,1.3743045,0.38719898,-0.98710555,False,0.2975725,0.25508356
MVD,1.8713977,2.8512871,0.9798894,True,0.34796846,0.4884128
HMGCS1,3.5301554,4.421536,0.89138055,True,0.36374408,0.42119834
PTGR1,1.3399467,0.48797634,-0.85197043,False,0.30611917,0.37797654
GLI2,1.6318119,0.817134,-0.81467783,True,0.31706834,0.44851702
HIST1H3H,0.80666834,0.062006786,-0.74466157,True,0.4625127,0.05438521
PKDCC,2.017514,1.2866164,-0.73089755,True,0.58726704,0.48909178
MVK,1.1645757,1.8624693,0.6978936,True,0.44198978,0.4689429
S100A11,1.5742178,0.876457,-0.6977608,True,0.29990643,0.49856138
ALPK3,0.7825444,0.09446605,-0.68807834,True,0.34882918,0.07359557
FAM184A,0.85493195,0.1723077,-0.6826242,True,0.34021583,0.14223321
FABP3,0.8308931,1.5092715,0.6783784,True,0.3531812,0.67387897
ACAT2,1.7601122,2.4295259,0.6694137,True,0.3223385,0.36277628
ERG28,2.6217284,3.2907362,0.6690078,True,0.16492844,0.28988102
DHCR7,2.2212503,2.882799,0.6615486,True,0.27521834,0.32046527
INSIG1,0.85269517,1.5092344,0.65653926,True,0.41963935,0.53647196
PRUNE2,0.7189,1.3662326,0.6473326,True,0.33920965,0.55926013
HES6,0.5632351,1.191253,0.62801784,True,0.28999573,0.5146569
TMEM129,0.79603326,0.17732951,-0.6187037,False,0.29562378,0.14148358
FABP7,0.5414451,1.1521335,0.6106884,True,0.28100306,0.5354983
MSMO1,2.504345,3.101079,0.59673405,True,0.36301106,0.29557618
HIST1H3G,0.72253007,0.13190125,-0.5906288,True,0.49177366,0.13831158
CYP51A1,2.820574,3.4029696,0.58239555,True,0.19194041,0.25843394
PCSK9,0.37149176,0.9532585,0.5817667,True,0.24954328,0.5161866
PKP4,1.5640234,0.98331356,-0.5807098,False,0.23166293,0.42583779
KCNQ2,2.6212773,2.041285,-0.5799923,False,0.12072165,0.26792568
CAMK2N1,0.5002945,1.0800797,0.57978517,False,0.2571839,0.33874056
SC5D,2.5574994,3.13128,0.57378054,True,0.2014049,0.27900216
NTS,1.4767022,2.0407212,0.56401896,True,0.7286999,0.814591
FGFBP3,1.5303756,2.0887337,0.5583581,True,0.39057454,0.3584708
TM7SF2,1.1138376,1.6671115,0.5532739,True,0.32208908,0.350404
ACLY,2.9914157,3.5396843,0.54826856,True,0.103945665,0.18817006
CYB5B,3.1782959,3.7255847,0.5472889,True,0.09055499,0.17992724
LSS,1.536261,2.0790024,0.5427414,True,0.30171183,0.336277
CENPI,1.4667261,2.0079522,0.54122615,True,0.324934,0.41752368
NSDHL,1.9035813,2.4387276,0.53514636,True,0.25716972,0.3129548
TMEM97,2.4915624,3.0250473,0.53348494,True,0.17607263,0.2914303
KLF11,0.46417093,0.9934046,0.5292337,True,0.26809174,0.35955417
STARD4,1.1796104,1.7044529,0.5248425,True,0.3958909,0.46169558
SNCA,0.9291017,1.4509585,0.5218568,True,0.3752323,0.37809393
PLA2G3,1.2077777,1.7256074,0.51782966,True,0.37771723,0.44455862
GNA14,0.3345889,0.8429942,0.5084053,True,0.25330648,0.5360946
IDI1,1.1688491,1.6708206,0.5019715,True,0.37462935,0.41496652
PTCH1,0.939191,0.44375226,-0.49543872,True,0.40242016,0.26362655
FOXRED2,1.3167752,0.82359594,-0.49317926,True,0.33152142,0.35056192
PNPLA3,0.95375115,1.4453236,0.49157244,True,0.33722576,0.39252493
LDLR,1.7909238,2.2792892,0.4883654,True,0.40857795,0.32532385
TMEM63A,1.2596389,1.7479135,0.48827457,True,0.43629962,0.45256376
PEG10,1.4632176,1.9493592,0.48614156,True,0.36439523,0.38726658
FDFT1,1.5083088,1.9912955,0.4829867,True,0.3391564,0.32058603
JAKMIP2,1.282878,1.7575767,0.47469866,True,0.41678047,0.39154458
SCD,4.571026,5.0294,0.45837402,False,0.08660226,0.1473801
FADS2,4.2200174,4.6733327,0.45331526,True,0.07180851,0.12547727
LEFTY1,0.40002847,0.8524817,0.45245326,True,0.4464706,0.96480167
OXR1,1.0237695,0.575063,-0.4487065,False,0.30749413,0.29529753
SCGB3A2,2.1600077,1.7139627,-0.44604504,True,1.0063828,1.0694767
ACSL1,0.34156486,0.7860411,0.44447622,True,0.21038046,0.45712283
ELOVL6,2.2672312,2.7091837,0.44195247,True,0.17385457,0.21418409
FASN,2.8032582,3.2441254,0.4408672,True,0.165525,0.19701938
TUBA1A,0.5836415,1.0236927,0.4400512,False,0.27232304,0.36614615
JUND,1.9687197,2.4050577,0.43633795,True,0.23403603,0.20049235
GLCE,0.93229353,0.4966719,-0.43562165,False,0.33794034,0.25636297
RASGRF2,0.75367785,1.1886808,0.43500292,True,0.38033068,0.44127393
UCP2,1.7872043,2.221275,0.43407083,True,0.28364074,0.26631176
PCYT2,1.2168454,1.6474571,0.43061173,True,0.3310134,0.36977765
DHCR24,3.6134932,4.0423145,0.42882133,True,0.08693754,0.12213214
FOXO4,1.1443002,0.7162638,-0.42803645,True,0.36615413,0.31939322
NMU,1.7737356,1.3471376,-0.42659807,True,0.3437436,0.4131675
ABCA1,0.90441024,0.47800425,-0.426406,True,0.40568152,0.34135878
ACAP3,0.7034211,0.28740764,-0.41601348,False,0.28983444,0.17201646
EBP,1.9508318,2.3648818,0.41404998,True,0.23064974,0.2634445
CBX6,0.90327805,0.493711,-0.40956706,False,0.29991797,0.26399687
GPC6,0.686896,1.0940826,0.40718657,True,0.3368339,0.3940346
LGALS1,0.5924107,0.99236697,0.3999563,True,0.3181264,0.41654173
NEU1,0.94207823,1.3402401,0.3981619,False,0.31223214,0.36813468
SPATC1L,1.7976586,2.1931853,0.39552677,False,0.2314682,0.2318107
DIAPH1,2.1383328,1.7456495,-0.3926834,False,0.18466464,0.31766063
ACSL4,1.589752,1.9737401,0.38398814,True,0.3059177,0.3019824
TLK1,2.876055,2.4943204,-0.3817346,False,0.11264149,0.20271459
TXN2,1.54563,1.1672208,-0.37840915,False,0.24414113,0.327206
IDO1,1.2041372,0.82633567,-0.37780154,True,0.43108737,0.36886173
HS3ST3B1,0.9031196,0.5309842,-0.3721354,True,0.37384945,0.29923752
LITAF,2.7599976,2.3886054,-0.37139225,True,0.18362416,0.24492224
SLBP,1.7475458,1.379228,-0.36831784,True,0.27833968,0.3367087
AACS,2.4089787,2.7755198,0.36654115,True,0.16556804,0.20496306
CALB1,0.8725808,1.2331967,0.3606159,True,0.37383825,0.46639264
SLC25A1,2.5149083,2.866569,0.35166073,False,0.13782085,0.15314129
