gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TMSB4X,4.816714,1.3664062,-3.4503076,True,0.07111334,0.59177905
ACTG1,4.801511,4.6422095,-0.15930128,False,0.05459988,0.07234726
ACTB,5.9696126,5.868316,-0.101296425,True,0.030854588,0.03524762
CCN2,1.3984216,1.4577353,0.059313655,True,0.8199761,0.8217863
TSPAN2,1.2806014,1.2263423,-0.05425906,True,0.34775546,0.36792487
NUDT14,0.57269686,0.51950735,-0.053189516,False,0.25944465,0.24670313
ZIM3,2.5895684,2.5367484,-0.052819967,True,0.29940525,0.31521237
RFLNB,1.6136794,1.5619372,-0.051742196,True,0.32008567,0.32989538
TPM2,2.4431982,2.3920226,-0.051175594,True,0.211165,0.22302105
RAB17,1.5537531,1.6030387,0.04928553,True,0.5508224,0.5494513
CNN2,2.882062,2.8328142,-0.04924774,True,0.138886,0.13626127
POLR3G,2.6291654,2.6776202,0.04845476,True,0.22044568,0.13695543
RGS5,1.525954,1.5741663,0.04821229,True,0.48766956,0.4746127
PLEKHO1,1.3486669,1.3008233,-0.047843575,False,0.31317365,0.31127796
CAPZB,2.2050178,2.1580083,-0.047009468,False,0.17978929,0.188294
SLC6A15,1.7863109,1.8331739,0.04686296,True,0.29976016,0.2838935
ITGB5,2.7919524,2.8382964,0.04634404,True,0.17067133,0.16333173
PDLIM7,1.0587308,1.0125693,-0.046161532,False,0.31141394,0.32030022
DACT1,0.9510262,0.996085,0.045058787,True,0.5183046,0.5201248
SERPINB9,1.3378824,1.3820361,0.04415369,True,0.5634636,0.58645314
FLNA,3.5440738,3.5003088,-0.043765068,False,0.066603415,0.07153088
AMOTL2,1.0679373,1.1076047,0.039667487,True,0.48965907,0.48188117
NECTIN2,2.292487,2.3312976,0.03881073,False,0.16247058,0.15830238
THOP1,2.1367903,2.1747785,0.037988186,False,0.19567671,0.15850036
GPR176,2.5565972,2.518899,-0.03769827,True,0.1418434,0.15096444
EGR1,0.81692857,0.8540158,0.03708726,True,0.5892243,0.60132945
CHGA,1.5551376,1.592202,0.037064314,True,0.55296373,0.56489915
COL9A3,0.48676082,0.52341896,0.036658138,False,0.25346333,0.27123654
ADGRB2,0.8787335,0.8421206,-0.036612928,False,0.31088877,0.3151923
CCDC85B,1.0445062,1.0080147,-0.036491513,False,0.31376913,0.32106707
HIST1H2BH,3.0131607,3.0487664,0.03560567,True,1.2786521,1.2548888
TPM4,3.054454,3.0192087,-0.03524542,False,0.08067441,0.08741857
CCN1,0.98059136,1.015723,0.035131633,True,0.5011432,0.51377493
ZYX,2.1708176,2.1360755,-0.034742117,False,0.186959,0.20647997
H1F0,0.903924,0.9384694,0.03454542,True,0.8330141,0.83212674
PPP1R3B,1.0211893,1.0556786,0.034489274,True,0.3968151,0.39646348
CSPP1,0.8829725,0.917298,0.03432554,False,0.30891645,0.31467167
PET100,1.3942614,1.3601465,-0.034114838,False,0.2530284,0.2615112
FBXO46,1.8590827,1.8249987,-0.034083962,False,0.22885282,0.24353579
ALAS1,0.9287275,0.8949764,-0.03375113,False,0.29244393,0.30337948
ALPK3,0.7825444,0.8160464,0.033502042,True,0.34882918,0.35396457
C12orf75,1.8905792,1.8574588,-0.033120394,True,0.26363477,0.2792139
ADAM19,1.0485511,1.0810608,0.032509685,False,0.32378617,0.32163614
LRATD2,1.9109303,1.9432725,0.032342196,True,0.23838219,0.22215211
MDFI,1.2076058,1.2395874,0.031981587,True,0.35286814,0.3355279
SYDE2,0.66566396,0.69745666,0.0317927,False,0.28091404,0.29119217
PCOLCE,1.3033357,1.334847,0.031511307,False,0.30327117,0.29902598
SLC39A8,1.5447878,1.5760784,0.03129065,True,0.35716635,0.36871216
CCDC141,0.8916808,0.9228193,0.03113854,True,0.44828832,0.4555425
UPP1,1.0359405,1.0668983,0.030957818,True,0.31874496,0.3188925
DUSP16,2.1148643,2.083975,-0.030889273,True,0.23813695,0.24228655
ANK3,1.5168307,1.547548,0.030717373,False,0.2656435,0.26410705
UBE2D1,0.97238845,1.0031041,0.030715644,False,0.2960245,0.2947958
ODR4,1.1094029,1.1399715,0.0305686,False,0.30425072,0.3015947
WTIP,1.2946142,1.3251797,0.0305655,True,0.35613766,0.355084
VAT1L,1.7592366,1.7287018,-0.030534744,True,0.2837038,0.29099247
AMDHD2,0.971788,1.0022756,0.030487597,False,0.30076444,0.30325997
TDGF1,1.7626038,1.7926877,0.030083895,True,0.31168565,0.31827286
PPP1R14B,0.9506692,0.9207982,-0.029871047,False,0.3220632,0.3153452
FEZ1,1.0951558,1.0653588,-0.029797077,True,0.36360902,0.36596608
CDK14,1.3375831,1.3672966,0.029713511,True,0.329206,0.32305866
MARVELD3,1.5025498,1.5322452,0.029695392,False,0.2817582,0.27444935
ZNF516,0.41618332,0.38653895,-0.02964437,True,0.26902473,0.25592452
GYG1,1.0124886,1.0420997,0.02961111,False,0.30966702,0.31303075
ZNF69,1.294725,1.3241442,0.029419303,False,0.29718477,0.30119976
COCH,0.64445984,0.6738509,0.02939105,True,0.3147069,0.32036188
MAMDC2,0.997529,1.0268265,0.02929753,True,0.3517686,0.35190508
SAMHD1,2.0611238,2.0319755,-0.02914834,False,0.21359256,0.22282438
SERPINB1,1.2040457,1.2331805,0.02913487,True,0.36252132,0.36092877
IGDCC3,1.6520493,1.6810584,0.029009104,True,0.28605288,0.2886717
ADAMTS19,1.3577,1.3866818,0.028981805,False,0.29910105,0.2977338
KDM6A,1.9304193,1.9015578,-0.028861523,True,0.28661487,0.30926928
EVI5L,0.53279567,0.5040197,-0.02877599,False,0.26483202,0.26291585
CNN1,0.49387732,0.4651325,-0.028744817,False,0.2491685,0.24348108
TMEM168,0.87753326,0.90618694,0.028653681,False,0.3129681,0.32106984
MYL9,1.8118736,1.7833737,-0.028499842,True,0.4087449,0.41993248
KCNS3,0.82477605,0.79638284,-0.028393209,False,0.2916742,0.29929975
VWA8,1.1302058,1.1585339,0.02832818,False,0.30474386,0.2952787
FBLIM1,0.77221775,0.74389565,-0.0283221,False,0.30579025,0.30488452
MAP4K5,1.0552868,1.0835569,0.028270125,False,0.2957648,0.30751708
SEMA3A,1.5644501,1.5925772,0.028127074,True,0.3202596,0.31476828
MAPKAPK2,1.4553449,1.4272547,-0.028090239,False,0.29882103,0.31039783
PACC1,1.1607734,1.1887931,0.028019667,False,0.30893615,0.3109166
NR1D2,1.1634912,1.1914763,0.027985096,False,0.3211325,0.3196085
FOS,0.78461546,0.81247795,0.02786249,True,0.56241494,0.5948027
HELQ,0.7272881,0.75513357,0.027845442,False,0.29070604,0.29394576
HIST1H1B,4.1244035,4.152246,0.027842522,True,1.3478125,1.3338444
ALAD,0.46580654,0.4379962,-0.027810335,False,0.22906645,0.22003184
MYL6,1.267301,1.2394937,-0.027807236,False,0.29951835,0.30477422
CGN,2.1614301,2.1892273,0.027797222,True,0.21499833,0.21402001
TEK,1.5910075,1.6187608,0.027753353,True,0.4462709,0.4517117
TMEM39A,1.7831119,1.8108495,0.027737617,False,0.22501618,0.2251524
HIST1H1D,1.6205581,1.6482697,0.02771151,True,1.2314817,1.2293521
NTM,0.5699417,0.54223424,-0.027707458,False,0.2831216,0.28052512
MIPOL1,1.2557583,1.2834287,0.027670383,True,0.35940742,0.35539678
CD3EAP,1.230881,1.2585118,0.027630806,False,0.30227736,0.29517287
TRIM5,1.4242911,1.4518265,0.02753532,True,0.34775296,0.33900097
