gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TRAM2,0.99098164,0.059193682,-0.93178797,False,0.30918434,0.042058196
BEND4,0.85342634,0.5455708,-0.30785555,False,0.32730582,0.24193616
LPCAT1,3.880883,3.6665056,-0.2143774,False,0.06521973,0.11523209
NFE2L3,2.370745,2.1938431,-0.17690182,True,0.20490403,0.22188404
NCSTN,2.179075,2.0332353,-0.14583969,False,0.1657401,0.18555577
COL26A1,1.4676361,1.3221693,-0.1454668,False,0.30470583,0.32874584
NFE2L1,2.7962868,2.6547694,-0.1415174,True,0.11511034,0.13288218
STC2,2.132497,2.005758,-0.12673903,True,0.37043837,0.37932226
PRSS8,1.4594178,1.3334469,-0.12597096,False,0.29052255,0.3046666
ECE1,1.7449186,1.620125,-0.12479353,False,0.24281074,0.2708513
ANOS1,2.2613657,2.137246,-0.12411976,True,0.21193548,0.23445578
DRAXIN,1.4205942,1.2984891,-0.12210512,False,0.30492154,0.32054237
TMED9,2.4075818,2.285505,-0.12207675,False,0.11742477,0.12427599
PXDN,2.6634223,2.5416834,-0.12173891,False,0.10754625,0.118955106
CEMIP2,1.6653469,1.5450678,-0.12027907,True,0.2867359,0.30649132
GPC4,2.8069289,2.6870208,-0.119908094,True,0.19444703,0.2170847
ST14,1.2043077,1.0857791,-0.118528605,True,0.34126028,0.35198224
GNS,1.4547819,1.3405591,-0.114222765,False,0.27063233,0.28175443
VCAN,3.757114,3.6437826,-0.11333132,True,0.11480525,0.12212232
SPINT1,2.425,2.3117123,-0.11328769,False,0.12740193,0.13741666
DNASE2,1.327689,1.2155498,-0.112139225,True,0.30267313,0.3303431
GPC1,1.4775811,1.3660121,-0.11156905,False,0.2727959,0.29596457
LAMC1,2.0263913,1.9158651,-0.110526204,False,0.18312469,0.19135877
LRRN1,2.741205,2.6314032,-0.10980177,True,0.18988399,0.21400176
CADM4,0.75488317,0.6488033,-0.10607988,False,0.31140935,0.29371414
ITGB5,2.7919524,2.686709,-0.105243444,True,0.17067133,0.18052433
CHPF,1.7825799,1.6782882,-0.10429168,False,0.20741259,0.22514339
IGFBP4,1.9565018,1.8537773,-0.10272455,True,0.226974,0.24202569
TENM3,1.7164416,1.6147053,-0.10173631,False,0.24692458,0.26053283
COLGALT1,1.5691535,1.4674549,-0.10169864,False,0.25245354,0.2608081
POFUT2,1.0737146,0.9728735,-0.100841105,False,0.3094023,0.30474898
ITM2C,4.05065,3.951955,-0.09869504,False,0.048436478,0.049271178
EMC1,1.5423957,1.4443887,-0.098006964,False,0.25941166,0.2879521
