gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ZFP42,3.0506246,0.7129482,-2.3376765,False,0.097314686,0.88266194
TRAPPC6A,1.0215389,0.07001916,-0.95151967,True,0.3262577,0.054811798
TNNT1,2.6080759,1.7558645,-0.85221136,True,0.15905327,0.59514445
HDDC2,2.4484506,1.7056566,-0.7427939,False,0.12794863,0.37810844
ZFHX2,1.0813086,0.37506276,-0.70624584,False,0.3183819,0.27765414
TRIM44,1.5682877,0.9087015,-0.65958625,False,0.26980573,0.3702489
PCNX1,1.8740597,1.2470412,-0.62701845,False,0.20699583,0.46269456
PPP6R2,1.6488519,1.0307503,-0.6181016,False,0.2415243,0.44728252
MPP2,0.9076324,0.298039,-0.6095934,False,0.30072033,0.21863347
VAMP8,1.6574954,1.0585629,-0.5989325,True,0.2691691,0.41333845
CHD3,0.74007934,0.16558132,-0.57449806,True,0.32167023,0.12944257
GNA14,0.3345889,0.9085465,0.5739576,True,0.25330648,0.6749215
H1F0,0.903924,1.4478189,0.5438949,True,0.8330141,1.0028957
GRPR,0.8029942,1.3287462,0.525752,True,0.6066761,0.9745711
ADGRA3,2.355003,1.8405373,-0.5144658,False,0.15423606,0.35531986
GPR143,1.1005427,0.5928503,-0.50769234,True,0.37836063,0.3339086
HEXIM1,1.8267198,1.335545,-0.49117482,True,0.2798919,0.45212972
RALA,1.7681384,1.290182,-0.4779564,False,0.20665683,0.33557257
TNNI3,0.83893996,0.3636564,-0.47528356,True,0.34279716,0.2663814
BCAR1,1.7330562,1.2579141,-0.47514212,False,0.24410315,0.3498915
KDR,2.138896,2.597832,0.45893598,True,0.31552842,0.27777606
SPP1,0.7460402,0.2874799,-0.45856032,True,0.35517648,0.20988864
DUSP16,2.1148643,1.660363,-0.4545014,True,0.23813695,0.36310965
SERPINB9,1.3378824,1.7906492,0.45276678,True,0.5634636,0.7645776
RMND5B,1.9532028,1.5105553,-0.44264758,False,0.20672037,0.34893078
COL6A1,2.216633,2.6497045,0.43307137,True,0.22963761,0.23854606
CRABP2,2.2048934,2.637116,0.4322226,True,0.37365532,0.3724976
N4BP3,1.9741061,1.5465671,-0.427539,False,0.19644025,0.3562744
ADAMTS1,0.52104175,0.9374369,0.41639513,True,0.33755106,0.52795863
CBLC,0.7308411,0.3147312,-0.4161099,False,0.3029409,0.19744565
PCOLCE,1.3033357,0.8920518,-0.41128385,False,0.30327117,0.33974472
COL1A2,1.968163,1.5599973,-0.4081657,True,0.27713346,0.42987245
S100A11,1.5742178,1.9761204,0.40190256,True,0.29990643,0.2848132
STOM,0.9758953,0.5773745,-0.39852077,False,0.33041394,0.33293816
DUSP5,1.2534505,0.8606039,-0.39284658,True,0.39468458,0.36745638
ZSCAN2,1.6491191,1.2597057,-0.38941348,False,0.2595455,0.40178677
RRM2,2.7643306,2.3762739,-0.38805676,True,0.16847533,0.2894906
PEX13,1.7437878,1.3651727,-0.37861502,False,0.21657783,0.33256325
