target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
TSC22D4,non-targeting,SDF4,8.920661,9.255539,-0.0361813567578792,0.9638186693191528,0.0039884564730659,36159194.0,0.0241419811736655
TSC22D4,non-targeting,UBE2J2,6.713138,6.9614334,-0.0356672666966915,0.9643327593803406,0.0048643867174383,36190892.5,0.0286781086882739
TSC22D4,non-targeting,CCNL2,11.537294,11.209003,0.0292881466448307,1.0292881727218628,0.0005869040837076,39327685.0,0.0043812341429073
TSC22D4,non-targeting,RER1,12.840142,13.224993,-0.0291002430021762,0.970899760723114,0.0012163221346741,35980646.0,0.0084608288021453
TSC22D4,non-targeting,ICMT,12.7301655,12.993877,-0.0202950909733772,0.9797049164772034,0.008557328196374,36284507.0,0.0465130907586333
TSC22D4,non-targeting,ACOT7,5.566122,5.747794,-0.0316072739660739,0.9683927297592164,0.0031584526771377,36122674.5,0.0196913187595344
TSC22D4,non-targeting,KLHL21,2.1838171,2.3119652,-0.0554282031953334,0.9445717930793762,0.005429194593767,36209640.5,0.0315384757983179
TSC22D4,non-targeting,DNAJC11,13.089893,13.441751,-0.0261764414608478,0.9738235473632812,0.0088099462311504,36289477.0,0.047667885359775
TSC22D4,non-targeting,VAMP3,3.2396553,3.3658917,-0.037504605948925,0.9624953866004944,0.0015531144627325,36016035.5,0.0105185456571036
TSC22D4,non-targeting,PER3,0.531872,0.48537782,0.0957896187901496,1.095789670944214,0.0075093456050457,38837455.5,0.0416273435416554
TSC22D4,non-targeting,ENO1,54.0779,52.814465,0.0239221472293138,1.0239222049713137,0.0002842205709546,39423832.0,0.0022726144655254
TSC22D4,non-targeting,CLSTN1,4.441498,4.2903357,0.0352331735193729,1.0352331399917605,0.001050842233182,39246894.5,0.0074226364098759
TSC22D4,non-targeting,DISP3,0.21933338,0.19252035,0.1392737478017807,1.139273762702942,0.0052989780359545,38651309.0,0.0308851226544888
TSC22D4,non-targeting,PRAMEF27,0.0005545383,5.0483628e-05,9.984517097473145,10.984517097473145,0.0002807686203236,37638578.0,0.0022470106480886
TSC22D4,non-targeting,DDI2,2.8586347,3.0081503,-0.0497035086154937,0.9502964615821838,0.0061042637194734,36228021.5,0.034875260872393
TSC22D4,non-targeting,FBLIM1,1.0639853,1.1693203,-0.0900822430849075,0.9099177718162536,0.0002246189237079,35769611.0,0.001831501393833
TSC22D4,non-targeting,EPHA2,2.3960986,2.8412273,-0.1566677540540695,0.8433322310447693,1.8768016026992477e-19,33079681.0,5.5079384769184694e-18
TSC22D4,non-targeting,MFAP2,27.373798,27.860634,-0.0174739547073841,0.9825260639190674,0.0079186448183661,36271330.5,0.0435411474542983
TSC22D4,non-targeting,EPHB2,0.5033255,0.46197838,0.0895001739263534,1.0895001888275146,0.0085786768897014,38816958.0,0.0466137158639787
TSC22D4,non-targeting,LUZP1,5.719462,6.0195975,-0.0498597472906112,0.9501402378082277,0.0001293423344293,35683353.0,0.0011017539134759
TSC22D4,non-targeting,E2F2,0.3239903,0.3619178,-0.1047959178686142,0.8952040672302246,0.0050591782759959,36383474.5,0.0296771567284942
TSC22D4,non-targeting,ID3,5.5064144,5.9239454,-0.0704819113016128,0.9295181035995485,0.000118465204038,35672536.5,0.0010158494722819
TSC22D4,non-targeting,GALE,1.2746189,1.3682234,-0.0684132128953933,0.9315868020057678,0.0041285812253474,36172657.5,0.0248876665032393
TSC22D4,non-targeting,CLIC4,50.53328,49.063583,0.0299549270421266,1.0299549102783203,2.193888434664554e-07,40202747.5,2.745840937217745e-06
TSC22D4,non-targeting,SELENON,16.867249,16.383259,0.0295417234301567,1.0295417308807373,0.0002176489737211,39458104.5,0.0017799946223926
TSC22D4,non-targeting,NUDC,30.68152,31.220898,-0.0172761604189872,0.982723832130432,0.0018720246820875,36043450.5,0.012423113036146
TSC22D4,non-targeting,TMEM222,1.0032413,1.0738145,-0.0657219737768173,0.9342780113220216,0.0088703851211652,36303839.5,0.0479365623477604
TSC22D4,non-targeting,AHDC1,2.1870413,1.9713413,0.1094179078936576,1.1094179153442385,6.9501821476777065e-09,40505891.5,1.0170998264894205e-07
TSC22D4,non-targeting,RPA2,2.59072,2.786176,-0.070152074098587,0.9298478960990906,7.69002177523e-05,35620322.0,0.0006820262293583
TSC22D4,non-targeting,PUM1,12.433866,12.133604,0.024746274575591,1.024746298789978,6.90334937695e-05,39599555.0,0.0006165815936737
TSC22D4,non-targeting,HCRTR1,0.014679879,0.008478351,0.7314544916152954,1.7314544916152954,0.0055134285030115,37876014.5,0.0319571866981067
TSC22D4,non-targeting,KPNA6,10.011967,10.247005,-0.0229373108595609,0.9770627021789552,0.0025187676535128,36087963.5,0.016146976979581
TSC22D4,non-targeting,SFPQ,9.316856,9.794538,-0.0487701594829559,0.9512298107147216,0.0001630907462553,35712178.0,0.0013659309590333
TSC22D4,non-targeting,C1orf216,1.3070688,1.4269109,-0.0839870646595954,0.9160129427909852,0.0003422479658656,35815451.0,0.0026903666186306
TSC22D4,non-targeting,CLSPN,4.607935,4.8418036,-0.0483019612729549,0.9516980648040771,0.0003679147506174,35816593.0,0.0028724804343462
TSC22D4,non-targeting,STK40,2.279597,2.1644092,0.053219087421894,1.0532190799713137,0.0022278785719835,39136315.0,0.0144807168143881
TSC22D4,non-targeting,GNL2,11.563215,11.957146,-0.0329451896250247,0.9670547842979432,0.0002059619947618,35741597.5,0.0016929665837032
TSC22D4,non-targeting,YRDC,1.4783866,1.5988327,-0.0753337666392326,0.9246662259101868,0.000431061195801,35841992.0,0.0033146331424547
TSC22D4,non-targeting,POU3F1,0.34859595,0.30179375,0.1550800651311874,1.1550800800323486,0.000421829567355,39088492.5,0.0032500050757581
TSC22D4,non-targeting,MYCBP,7.9112945,8.170486,-0.0317229554057121,0.9682770371437072,0.0045407764877657,36179834.0,0.0270296773116926
TSC22D4,non-targeting,MACF1,11.931117,12.28134,-0.0285166446119546,0.97148334980011,0.0001875724800569,35729758.5,0.0015542210996469
TSC22D4,non-targeting,CTPS1,13.903179,14.428233,-0.036390732973814,0.9636092782020568,3.5804674725678187e-06,35278729.5,3.87417323077e-05
