gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TM2D2,1.2646765,0.10080109,-1.1638753,False,0.2838669,0.07633851
TSC22D4,0.9081046,0.04397546,-0.8641291,False,0.28828287,0.03093695
ADAM9,0.9681818,0.5193386,-0.44884318,False,0.3014476,0.26843452
MT-ND3,1.7554234,2.0315793,0.27615583,True,0.78610706,0.9413777
MT-ATP6,1.7147563,1.966954,0.25219774,True,0.97399217,1.0600396
SLC15A3,0.87095535,0.66382754,-0.20712781,False,0.32315758,0.29559267
MT-ND4,1.8822018,2.053909,0.17170727,True,0.9863533,1.0903623
H1F0,0.903924,1.0452046,0.14128065,True,0.8330141,0.95926946
MT-CO3,1.2058606,1.3386046,0.13274395,True,0.78025454,0.88732815
SELENOP,1.0004246,1.1297966,0.129372,True,0.44973302,0.46243173
TAGLN,2.3409328,2.2157123,-0.12522054,True,0.6389723,0.67196506
EPHA2,1.3425428,1.2195836,-0.12295914,True,0.33881438,0.35853937
MT-ND6,0.8967327,1.0173342,0.120601535,True,0.68610394,0.76101357
MT-CO2,1.645371,1.763351,0.11798,True,0.917779,0.9972666
MT-CYB,0.6396104,0.75373435,0.11412394,True,0.489698,0.5781241
FGF13,1.6198746,1.5149078,-0.10496676,True,0.42301762,0.45789286
ZIC2,1.9019088,1.9958185,0.09390974,True,0.40680227,0.37732434
CCDC141,0.8916808,0.7982133,-0.093467474,True,0.44828832,0.415054
DDIT4,0.8543927,0.94733423,0.09294152,True,0.7079657,0.79019475
P3H2,1.3254241,1.4166611,0.09123707,True,0.46865007,0.4990463
IQSEC2,1.9034958,1.8128959,-0.090599895,True,0.3713815,0.40335956
CCN2,1.3984216,1.3118086,-0.08661306,True,0.8199761,0.8324845
CCN1,0.98059136,0.8960795,-0.084511876,True,0.5011432,0.5161219
PDZD4,2.1980815,2.1141732,-0.08390832,True,0.20350996,0.23861723
DDA1,1.0539482,0.9706638,-0.08328438,False,0.27931193,0.29897124
SERPINB9,1.3378824,1.2547385,-0.08314395,True,0.5634636,0.57152766
RAB17,1.5537531,1.47234,-0.08141315,True,0.5508224,0.5561696
RIPOR2,1.1181024,1.0386877,-0.079414725,True,0.4393332,0.44101846
ITGB5,2.7919524,2.7126215,-0.07933092,True,0.17067133,0.18434295
SEC23A,0.46374342,0.3851577,-0.078585714,False,0.22749767,0.20601417
RGS5,1.525954,1.448193,-0.077761054,True,0.48766956,0.49729088
SOCS1,1.8222368,1.744748,-0.07748878,True,0.4042865,0.4588586
H2AFY2,1.102345,1.1797429,0.07739794,True,0.47343355,0.48906872
SPATS2L,3.1276162,3.0512557,-0.076360464,True,0.17706592,0.214477
ARHGAP23,2.249648,2.1759074,-0.07374072,True,0.246991,0.26037687
MDFI,1.2076058,1.13493,-0.072675824,True,0.35286814,0.36916655
AMOTL2,1.0679373,0.99555695,-0.072380304,True,0.48965907,0.5139106
TEK,1.5910075,1.5188481,-0.07215941,True,0.4462709,0.485828
EOGT,1.2606208,1.1884989,-0.07212198,True,0.35866508,0.36597446
CUZD1,0.5141857,0.58497936,0.07079363,True,0.36897147,0.41245952
PCK2,2.0146055,2.0848198,0.07021427,True,0.285465,0.27091873
AHDC1,1.0861624,1.1561188,0.0699563,False,0.30260527,0.30835885
ZIC5,2.8421504,2.9119065,0.06975603,True,0.24881114,0.21984376
CRELD2,1.4678822,1.3981955,-0.06968665,False,0.2872639,0.33780536
NTS,1.4767022,1.4073296,-0.069372654,True,0.7286999,0.72506213
SLC7A11,2.2569587,2.3263004,0.06934166,True,0.3321765,0.3386417
GAL,2.7219493,2.6528144,-0.06913495,True,0.35849097,0.38077357
EGR1,0.81692857,0.8856624,0.06873381,True,0.5892243,0.6463787
RNF157,1.0251125,1.0927669,0.06765437,True,0.374465,0.3764295
FEZ1,1.0951558,1.1625865,0.067430615,True,0.36360902,0.37532124
CTH,1.3418531,1.4074519,0.065598726,True,0.32998702,0.32695433
PKP2,1.0061728,0.94060826,-0.06556451,False,0.31196514,0.33316094
RNH1,1.8863378,1.8210399,-0.06529784,False,0.21154843,0.23028974
TMEM37,0.46702898,0.40197307,-0.06505591,False,0.24041341,0.22543266
TTC39C,1.9046897,1.8400917,-0.064597964,True,0.34991878,0.3440324
RAB25,1.1473161,1.2115896,0.06427348,True,0.3448181,0.34557888
ANXA2,2.3120353,2.2478814,-0.06415391,True,0.22942683,0.24729316
PXN,1.4568461,1.3928072,-0.06403887,False,0.2823277,0.30544862
DACT1,0.9510262,0.8872047,-0.063821495,True,0.5183046,0.5050809
STC2,2.132497,2.19599,0.06349301,True,0.37043837,0.36082047
THY1,3.2316704,3.1691182,-0.06255221,True,0.10670034,0.11525146
ID3,1.931087,1.8689647,-0.062122345,True,0.3423298,0.38956597
ACSS2,0.8820951,0.944096,0.06200093,True,0.5769565,0.6202907
SHMT2,1.9814478,2.0429938,0.061545968,True,0.205803,0.20472747
TPM1,3.4666436,3.4054222,-0.06122136,True,0.1359563,0.1327268
PTDSS2,1.4586295,1.3977339,-0.060895562,False,0.27010104,0.29452422
ARHGDIA,1.4787538,1.4182522,-0.060501575,False,0.2764468,0.30433
CSRP1,0.89926517,0.8388549,-0.06041026,True,0.4090476,0.39591646
SDF2L1,1.7957741,1.7359557,-0.059818387,True,0.30096847,0.3365541
ZNRD2,1.7111524,1.651809,-0.059343457,False,0.21713436,0.2325461
KBTBD8,1.2658588,1.2066476,-0.059211135,True,0.35760438,0.38890362
CAV1,0.51446736,0.4553202,-0.05914715,True,0.30516323,0.28733325
NSMCE1,1.2370889,1.1779581,-0.059130788,True,0.3372959,0.35941437
ASS1,1.6960539,1.7550195,0.058965683,True,0.34041834,0.3673886
AFF2,0.9375677,0.9963395,0.05877179,True,0.38116604,0.3695187
TUBB2A,3.9533803,3.8946152,-0.058765173,True,0.1378518,0.14246504
MMP17,0.97544795,1.0339844,0.05853647,True,0.36952886,0.38928363
HIST1H1C,3.3517175,3.410186,0.05846858,True,1.5421159,1.5108248
VSNL1,2.1774752,2.1196117,-0.057863474,True,0.21121545,0.2422133
TK1,2.0310025,1.9733658,-0.057636738,False,0.22325276,0.25450355
