gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TWF2,2.255927,0.1934548,-2.0624723,False,0.16197282,0.13657632
SNCA,0.9291017,0.09370032,-0.8354014,True,0.3752323,0.07913176
HTR7,0.7363093,0.52094233,-0.21536696,True,0.39800823,0.33294997
RAB34,3.2840571,3.1443067,-0.13975048,False,0.07467947,0.10049155
CREBL2,0.74954873,0.62928677,-0.12026197,False,0.27619377,0.2516186
HPN,0.51048815,0.4035892,-0.10689896,True,0.26872787,0.22885805
PINLYP,0.47064635,0.36508748,-0.10555887,False,0.24029155,0.20278077
SMIM24,0.26743153,0.16869994,-0.09873159,True,0.1765264,0.116437435
PPP1R12B,0.7899985,0.69245046,-0.09754801,False,0.321023,0.3109196
ZNF248,0.311087,0.2164826,-0.09460442,False,0.17848364,0.13459522
DXO,0.45405588,0.3717591,-0.08229679,False,0.22384886,0.19906716
TNNT1,2.6080759,2.527527,-0.08054876,True,0.15905327,0.16193941
CCND1,1.0390285,0.95892936,-0.080099165,True,0.3845656,0.4000438
DPEP1,0.23833597,0.16045296,-0.077883005,False,0.15330194,0.10690361
ZIM3,2.5895684,2.665577,0.07600856,True,0.29940525,0.2673887
ZNF233,0.09709173,0.022660278,-0.07443145,False,0.060264915,0.014340457
PTPRT,0.51883096,0.44451383,-0.07431713,True,0.28988156,0.25119063
COL6A1,2.216633,2.1431077,-0.07352543,True,0.22963761,0.22358742
DYNLL2,2.7776465,2.704195,-0.07345152,False,0.110120624,0.121363245
STEAP3,1.3582553,1.2853448,-0.07291043,True,0.31993073,0.34863594
FOXJ1,0.21760024,0.28603745,0.068437204,True,0.14826536,0.19506179
COL6A2,2.213915,2.1464937,-0.06742144,True,0.24217908,0.24443702
WDFY2,1.3322059,1.264842,-0.06736386,False,0.29344308,0.31707618
CCN1,0.98059136,1.0467422,0.066150844,True,0.5011432,0.4789261
RASD2,0.32894576,0.2628685,-0.06607726,False,0.19655162,0.16059205
ACTG1,4.801511,4.8666816,0.065170765,False,0.05459988,0.049815707
BRINP1,1.2418704,1.1770967,-0.06477368,False,0.3023901,0.32673663
NTS,1.4767022,1.5398505,0.06314826,True,0.7286999,0.66598064
MARVELD2,0.94021523,0.8787468,-0.061468422,False,0.2963627,0.31398168
COPS6,1.4874754,1.4262446,-0.06123078,False,0.26381466,0.2803456
HOMER2,1.1476165,1.2087543,0.061137795,False,0.34048393,0.3282076
ZNF75A,1.8675556,1.9286337,0.06107807,True,0.29356265,0.296097
PPM1M,0.13706212,0.07603756,-0.061024554,False,0.08928127,0.05273906
RASGRF2,0.75367785,0.81431574,0.06063789,True,0.38033068,0.4039098
SOCS2,1.2737695,1.3337827,0.060013175,True,0.4973071,0.4773596
ZNF850,1.7697045,1.8295232,0.059818745,True,0.39880446,0.35598472
CADM1,1.1041645,1.0457585,-0.058405995,True,0.3583104,0.3467958
TLCD3B,1.3505579,1.2926275,-0.05793047,False,0.30429724,0.3316873
CAV1,0.51446736,0.5716274,0.05716002,True,0.30516323,0.32155427
SH3GLB2,1.061648,1.0045003,-0.05714774,False,0.30690414,0.3317307
SHB,0.67962873,0.62256545,-0.05706328,False,0.29241154,0.28124768
SYNGAP1,1.8310168,1.774207,-0.056809783,True,0.2583025,0.27756134
DOCK11,0.774389,0.717736,-0.056653023,False,0.31792143,0.31885535
IER3,0.52010494,0.57658094,0.056475997,True,0.30785796,0.3385712
CLOCK,1.3269662,1.3829265,0.055960298,False,0.29054457,0.27005145
RAB17,1.5537531,1.4979458,-0.055807352,True,0.5508224,0.5733492
ADCY5,0.593239,0.53828466,-0.05495435,False,0.2698808,0.2620309
PCDHB16,0.67530996,0.72957546,0.0542655,True,0.40022647,0.40146273
YTHDF1,1.0715185,1.1255081,0.05398953,False,0.32114702,0.3076547
PLD2,0.8259064,0.87981814,0.053911746,False,0.28543413,0.29200584
STK35,0.7379141,0.79161257,0.05369848,False,0.28257614,0.27643624
FAM184A,0.85493195,0.8013376,-0.05359435,True,0.34021583,0.35552248
TDG,1.5424604,1.5953516,0.052891135,False,0.24833046,0.20437497
AURKA,1.3736688,1.4262683,0.05259955,True,0.5383067,0.48972183
TNKS,0.9634263,0.911313,-0.052113295,False,0.29894522,0.32581863
MXRA7,1.2964681,1.2444838,-0.05198431,True,0.3204221,0.34660107
FCHO2,0.6966896,0.7484935,0.051803887,False,0.2867066,0.28511146
CUL1,1.4180702,1.3663611,-0.051709056,False,0.25996563,0.26028222
ETS1,1.0753208,1.1269854,0.05166459,True,0.3374279,0.33894646
ADORA2A,0.27169597,0.22015092,-0.051545054,False,0.15976171,0.13297896
EPC2,1.2898321,1.3413074,0.051475286,False,0.2891234,0.27460963
ME1,0.40541273,0.45645112,0.051038384,False,0.2258475,0.24178869
CCNE2,0.39201075,0.4430177,0.051006943,True,0.25895554,0.2803552
TRIM32,0.7340535,0.78503263,0.050979137,False,0.28621802,0.28866643
DDIT4,0.8543927,0.8035065,-0.050886214,True,0.7079657,0.7031429
CSTF1,1.0866883,1.0358574,-0.05083084,False,0.2939747,0.29763
SLC27A3,0.39087355,0.3400451,-0.050828457,False,0.20801795,0.19047813
COL1A1,2.260025,2.209204,-0.050821066,True,0.40600464,0.37044632
LYRM2,0.42596695,0.47675693,0.050789982,False,0.21341862,0.21685725
FRMD6,0.86203194,0.8112441,-0.050787866,True,0.33707932,0.329239
CDS1,0.95690817,0.9064411,-0.050467074,False,0.31938636,0.303041
CCN2,1.3984216,1.4488707,0.050449014,True,0.8199761,0.83831793
ETV5,1.7087905,1.6584952,-0.050295353,True,0.3046062,0.31840974
STEAP1,0.78286594,0.73263085,-0.050235093,False,0.32031685,0.31038812
SERPINB9,1.3378824,1.2876741,-0.05020833,True,0.5634636,0.55620706
AZIN1,2.0886452,2.1384614,0.04981613,False,0.17794104,0.16942897
FAM91A1,1.2662877,1.3158543,0.049566627,False,0.27623323,0.24778707
PIM1,1.5815667,1.6310117,0.049445033,True,0.35547683,0.340865
ANXA3,0.64711624,0.6964662,0.049349964,True,0.37550318,0.37608254
CC2D2A,0.49791417,0.4486012,-0.04931298,False,0.2429967,0.23673159
HMGCL,0.96636677,0.9171113,-0.04925549,True,0.3514743,0.36247638
KIF17,0.59662956,0.5474073,-0.04922223,False,0.29587957,0.28613058
SCGB3A2,2.1600077,2.2090473,0.049039602,True,1.0063828,0.9761634
ANO5,0.775488,0.7265096,-0.048978448,False,0.30007058,0.29875064
MLLT10,1.0335741,0.984971,-0.048603117,False,0.30440933,0.32384914
PCOLCE2,0.9546111,1.003187,0.04857582,False,0.33817026,0.31371334
ZC2HC1A,0.77790326,0.7293836,-0.04851967,False,0.29111853,0.29893
STC2,2.132497,2.18101,0.048512936,True,0.37043837,0.3566289
RASGRP2,1.3544939,1.4029571,0.048463225,True,0.34762353,0.33829078
NCOA2,1.0573446,1.1056029,0.048258305,False,0.29524842,0.2676863
ABHD2,0.5463424,0.49811488,-0.04822749,False,0.24995846,0.2364711
DCLRE1A,0.65310675,0.60495746,-0.048149288,False,0.28097472,0.28578335
POLD2,1.3578293,1.3098975,-0.04793179,False,0.26768818,0.2574959
GRB10,1.5261185,1.478379,-0.047739506,False,0.268858,0.26755852
TBKBP1,1.477159,1.5248631,0.0477041,False,0.29634422,0.26951015
SAMD4A,0.5071728,0.5547683,0.0475955,True,0.2911182,0.29914546
CTNND2,0.50810105,0.4605971,-0.04750395,False,0.26388204,0.23537529
LPAR4,0.61239624,0.5649299,-0.047466338,False,0.27968276,0.2698549
