gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TXNDC9,1.603581,0.11072007,-1.4928609,False,0.23211496,0.10614002
EIF5B,2.670383,1.684316,-0.98606694,False,0.106383644,0.4535792
FOXRED2,1.3167752,0.885653,-0.43112218,True,0.33152142,0.39304757
PFKFB3,1.4876137,1.0639665,-0.42364717,True,0.3885284,0.45700124
C19orf33,0.54210865,0.14504956,-0.39705908,False,0.2642683,0.10625202
ERO1A,2.1218462,1.7763268,-0.34551942,True,0.23829432,0.36461082
RCL1,1.5646057,1.2245486,-0.34005713,False,0.24690583,0.37358737
CCNJL,0.74461764,0.4084816,-0.33613604,False,0.28607893,0.21268888
FDXR,1.2778784,1.5849372,0.3070588,True,0.37710968,0.4460806
PRR12,1.725782,1.4309329,-0.29484916,False,0.24402009,0.39893436
BBC3,0.86217064,1.1267627,0.2645921,True,0.41324192,0.46742633
PHLDA3,0.48402876,0.7417814,0.25775266,True,0.32843012,0.46449703
MEST,3.769632,3.5193038,-0.2503283,False,0.06002496,0.0780748
DDB2,0.83584666,1.0852907,0.24944401,True,0.3656719,0.44010305
C1orf216,0.88418347,0.63859457,-0.2455889,False,0.32035422,0.30542162
TRIM22,0.6868747,0.931887,0.24501228,True,0.41427281,0.48603737
NTS,1.4767022,1.2476584,-0.22904384,True,0.7286999,0.7674832
ZNF165,0.94976604,0.73143095,-0.21833509,True,0.44713485,0.4195975
SESN1,1.3295916,1.5394589,0.20986724,True,0.42911422,0.52985567
BAX,3.2382326,3.4475794,0.20934677,True,0.12913452,0.1482577
TMEM63A,1.2596389,1.0550823,-0.20455658,True,0.43629962,0.4373166
FOSL1,0.18665719,0.38839746,0.20174026,True,0.15412702,0.345634
TNFRSF10B,1.6190304,1.81696,0.19792962,True,0.33569923,0.3683208
SOCS2,1.2737695,1.0817776,-0.19199193,True,0.4973071,0.5166547
H2AFY2,1.102345,1.2906915,0.1883465,True,0.47343355,0.4723581
RRM2B,1.15014,1.3360246,0.1858846,True,0.33941558,0.3907364
ZMAT3,0.61741245,0.7999952,0.18258274,True,0.34243125,0.4537618
P3H2,1.3254241,1.4972378,0.17181373,True,0.46865007,0.51420593
MYL9,1.8118736,1.9835023,0.17162871,True,0.4087449,0.42512852
SLC6A15,1.7863109,1.61574,-0.17057097,True,0.29976016,0.3292301
EPS8L2,0.89624125,1.0650549,0.16881365,True,0.37565914,0.47382522
TM7SF3,1.8696523,2.0368466,0.16719437,True,0.2239849,0.24431516
ERICH1,1.6596987,1.4938586,-0.16584015,False,0.23455139,0.28776768
CDKN1A,0.13551252,0.30075276,0.16524024,True,0.1684509,0.4094107
TEK,1.5910075,1.4281763,-0.16283119,True,0.4462709,0.52517384
HERC5,0.8363185,0.99792904,0.16161054,True,0.3437243,0.39149776
ALDH6A1,1.3014809,1.461433,0.15995216,False,0.29679108,0.2789122
SLC12A4,1.1378051,1.2962682,0.15846312,True,0.37062162,0.40769517
EXOSC2,1.9810697,2.137178,0.15610826,False,0.17793919,0.17723362
PEG10,1.4632176,1.308006,-0.15521157,True,0.36439523,0.39623418
PRR11,1.7546473,1.599508,-0.15513921,True,0.2869244,0.34532806
HMGCS1,3.5301554,3.3818152,-0.14834023,True,0.36374408,0.42037913
MDM2,2.2816887,2.4267902,0.14510155,True,0.197448,0.2605446
QTRT1,1.7246175,1.8689078,0.14429033,False,0.22814946,0.23415886
TUBB4B,2.8347456,2.6909225,-0.14382315,False,0.10122307,0.13653219
CCNG1,3.3750894,3.517569,0.14247966,True,0.09383069,0.104750566
MLLT11,1.5502051,1.4084674,-0.1417377,False,0.26560542,0.3308683
HMGCR,3.3971014,3.2564943,-0.14060712,True,0.26202345,0.30645922
SPAG7,2.5637507,2.7038484,0.14009762,False,0.120299816,0.10215257
TLE2,0.33485252,0.474634,0.13978148,True,0.1987261,0.26377758
HPDL,1.5688995,1.4299532,-0.1389463,True,0.32727882,0.3979793
ASCC3,1.939024,2.0771697,0.13814569,True,0.20493516,0.22054721
TTYH1,1.2124448,1.3495622,0.13711739,False,0.3165686,0.31646684
GADD45A,0.71394557,0.85015225,0.13620669,True,0.34338844,0.39220712
FOPNL,1.7897935,1.9255885,0.135795,False,0.21957059,0.22930574
COBL,1.1189342,1.2533642,0.13443005,True,0.3521923,0.43605185
NUDT11,1.3635439,1.2293853,-0.13415861,False,0.29562187,0.31957063
ITGA3,0.6932138,0.82724106,0.13402724,False,0.29527128,0.31466046
COQ5,1.3852482,1.5190636,0.13381541,False,0.27023795,0.2869103
WARS,2.3117876,2.1779726,-0.13381505,True,0.15940808,0.20936053
PHLDA1,1.0242558,1.1566958,0.13244009,True,0.4561791,0.49810612
INPP5D,0.13704288,0.26890132,0.13185844,False,0.09685217,0.1877492
DHFR,2.3618474,2.2309113,-0.13093615,False,0.16424006,0.20787627
AASS,3.9314687,4.0614543,0.12998557,True,0.25482205,0.23015656
