gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
PBX2,2.7142677,0.3184946,-2.3957732,False,0.10316829,0.31276152
UBE3C,2.2603397,0.21487986,-2.04546,False,0.13377064,0.20635255
SAMM50,1.2014755,0.36138016,-0.84009534,False,0.28094515,0.24640064
DDIT4,0.8543927,1.4122162,0.5578235,True,0.7079657,1.3818727
MIEN1,0.6635086,0.2343744,-0.4291342,False,0.29026398,0.15625398
CELSR3,0.5898783,0.1642484,-0.4256299,False,0.2630344,0.10782043
CHAC1,0.70487297,1.1150801,0.41020715,True,0.38694882,0.74480766
INHBE,0.40389985,0.7985265,0.39462668,True,0.249757,0.6560948
TRIB3,0.47223082,0.8664462,0.39421538,True,0.25069413,0.7904706
MEF2B,0.32470265,0.7151032,0.39040056,True,0.20306997,0.715812
SLC7A11,2.2569587,2.6272693,0.37031054,True,0.3321765,0.4787655
SESN2,1.1401006,1.4972636,0.35716295,True,0.3993862,0.7022473
STC2,2.132497,2.4894304,0.35693336,True,0.37043837,0.61573637
HMGCS1,3.5301554,3.1857638,-0.34439158,True,0.36374408,0.6655713
ATF5,0.9149669,1.2494674,0.3345005,True,0.44021747,0.99539834
TAC1,0.20844011,0.5393777,0.33093756,True,0.14300334,0.64993703
H1F0,0.903924,1.2036833,0.29975927,True,0.8330141,1.3802483
GPSM3,0.33660942,0.037615567,-0.29899386,False,0.19503014,0.02727202
IFRD1,2.5512347,2.837703,0.28646827,True,0.24225035,0.31948498
DDIT3,0.14468314,0.42192185,0.27723873,True,0.101755336,0.41820526
PCK2,2.0146055,2.2817943,0.2671888,True,0.285465,0.4879285
CTH,1.3418531,1.604909,0.2630558,True,0.32998702,0.50168824
MSMO1,2.504345,2.2528985,-0.2514465,True,0.36301106,0.5022797
TSC22D3,0.37244877,0.61653954,0.24409077,True,0.21085794,0.409424
HMGCR,3.3971014,3.1554775,-0.24162388,True,0.26202345,0.36750388
ASS1,1.6960539,1.9334246,0.23737073,True,0.34041834,0.46836275
PLAAT3,1.6658874,1.9018277,0.23594034,True,0.36285684,0.51040137
FAM20C,1.3905388,1.1549486,-0.23559022,True,0.34597015,0.42061242
VEGFA,1.5524551,1.7846885,0.2322334,True,0.3067676,0.4198327
LDLR,1.7909238,1.5617014,-0.22922242,True,0.40857795,0.53380966
MTHFD2,2.8751297,3.1038604,0.22873068,True,0.11284972,0.20833929
PSAT1,3.8175943,4.039812,0.2222178,True,0.09711025,0.21584643
BBC3,0.86217064,1.0833905,0.22121984,True,0.41324192,0.61097586
