gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
UQCRQ,2.3759556,0.28039262,-2.095563,False,0.118758194,0.1868849
STC2,2.132497,2.584777,0.45228004,True,0.37043837,0.29311058
CHAC1,0.70487297,1.1492648,0.44439185,True,0.38694882,0.5270267
MT-ND4,1.8822018,2.3136601,0.43145835,True,0.9863533,1.0168123
DDIT4,0.8543927,1.2619221,0.4075294,True,0.7079657,0.86325055
MT-ATP6,1.7147563,2.1016078,0.38685155,True,0.97399217,0.9411752
TMEM64,1.3649961,1.7357062,0.37071013,True,0.3572356,0.34851703
MT-ND3,1.7554234,2.11709,0.36166656,True,0.78610706,0.7030237
JDP2,0.87636673,1.2115732,0.3352065,True,0.35009328,0.35561365
PCK2,2.0146055,2.346092,0.33148646,True,0.285465,0.29540756
SLC7A11,2.2569587,2.5690038,0.3120451,True,0.3321765,0.3175097
CUZD1,0.5141857,0.20863935,-0.30554637,True,0.36897147,0.16806793
ZNF83,0.8219563,0.5171058,-0.30485046,False,0.28761557,0.24655646
PLAAT3,1.6658874,1.9698048,0.3039174,True,0.36285684,0.32279995
MMP24,1.0542948,1.3579812,0.30368638,True,0.3902179,0.39803097
PSAT1,3.8175943,4.120762,0.30316758,True,0.09711025,0.115322195
MEF2B,0.32470265,0.6264565,0.30175385,True,0.20306997,0.37713465
INHBE,0.40389985,0.70457464,0.3006748,True,0.249757,0.3846275
MT-CO2,1.645371,1.9347302,0.2893592,True,0.917779,0.8964606
MT-ND6,0.8967327,1.1860603,0.28932762,True,0.68610394,0.733005
LAMA5,1.680716,1.3939034,-0.28681266,True,0.28396544,0.34589732
IFRD1,2.5512347,2.8292572,0.27802253,True,0.24225035,0.22702305
SERPINB9,1.3378824,1.6115453,0.27366292,True,0.5634636,0.636836
BRI3,1.9457042,2.2191339,0.27342963,False,0.19502924,0.16318199
SESN2,1.1401006,1.4078848,0.26778424,True,0.3993862,0.44669417
APOL2,0.66721356,0.4004789,-0.26673466,False,0.27811825,0.21738546
HIST1H3E,1.0670047,0.8138755,-0.25312918,True,1.0355052,0.7440354
CTH,1.3418531,1.5875579,0.24570477,True,0.32998702,0.3454772
MT-CO3,1.2058606,1.4484665,0.24260592,True,0.78025454,0.8120266
TSC22D1,2.4966905,2.2551663,-0.24152422,True,0.15453993,0.19427752
DTNA,1.0392054,1.2804759,0.24127042,True,0.44757935,0.45503744
ASS1,1.6960539,1.9324422,0.23638833,True,0.34041834,0.37033314
SDF2L1,1.7957741,1.5647972,-0.23097694,True,0.30096847,0.3137839
GPT2,1.7932483,2.0193267,0.22607839,True,0.22261675,0.19338027
HMGCS1,3.5301554,3.3114505,-0.21870494,True,0.36374408,0.45069227
CADPS2,1.3590494,1.5765386,0.21748912,True,0.32116383,0.30560914
SLC7A5,2.7678742,2.9850712,0.21719694,True,0.20752229,0.18565004
MT-CYB,0.6396104,0.85371715,0.21410674,True,0.489698,0.57605183
TXNIP,0.36665714,0.15399466,-0.21266247,True,0.25791046,0.121459685
VLDLR,1.3306402,1.5412134,0.2105732,True,0.42473996,0.41254407
MTHFD2,2.8751297,3.0850255,0.20989585,True,0.11284972,0.13297854
NQO2,2.2694356,2.4764001,0.2069645,True,0.19669998,0.18968947
LDLR,1.7909238,1.5845078,-0.20641601,True,0.40857795,0.4102196
VIM,2.7251427,2.9272978,0.20215511,True,0.5895071,0.561228
MSMO1,2.504345,2.3022926,-0.20205235,True,0.36301106,0.3743822
H1F0,0.903924,1.1046501,0.20072615,True,0.8330141,0.9635896
HMGCR,3.3971014,3.2020032,-0.19509816,True,0.26202345,0.26569194
SPART,1.7157133,1.9085212,0.19280791,True,0.31890935,0.25371757
STX3,1.8876352,2.0777185,0.19008327,False,0.21896623,0.17336795
GPR143,1.1005427,1.2888227,0.18827999,True,0.37836063,0.3654314
ALDH2,0.9392132,1.127152,0.18793875,False,0.30306822,0.3132274
SHMT2,1.9814478,2.1690524,0.18760455,True,0.205803,0.23211865
KLF15,0.61699224,0.8035268,0.18653458,True,0.29440027,0.32558882
FTL,3.590388,3.776136,0.18574786,False,0.07852085,0.07962401
DNASE2,1.327689,1.5103583,0.18266928,True,0.30267313,0.30773592
MAL2,3.0723975,3.2535095,0.18111205,False,0.096674755,0.08270294
MANF,3.0428514,2.8640466,-0.17880487,True,0.17066789,0.19190557
NMRK2,1.9979984,2.1766856,0.17868721,True,0.23621987,0.20691322
DACT1,0.9510262,1.1296626,0.17863643,True,0.5183046,0.56028956
DHCR7,2.2212503,2.0437489,-0.17750144,True,0.27521834,0.30963343
CABLES1,1.0228573,1.199707,0.17684972,True,0.35415003,0.35787505
COL1A1,2.260025,2.0856767,-0.17434835,True,0.40600464,0.43484554
SERPINB6,1.3203832,1.4945812,0.17419803,True,0.34365404,0.33049804
HSPA1B,1.9541006,1.7799758,-0.17412484,True,0.42119756,0.4108984
HOMER2,1.1476165,1.32015,0.17253351,False,0.34048393,0.31342387
EPS15,0.839539,1.0114399,0.17190093,False,0.28988963,0.29152787
KLHL24,0.95976627,1.1300607,0.1702944,True,0.34426326,0.3295324
POLR3G,2.6291654,2.7990537,0.16988826,True,0.22044568,0.1270464
SLC43A1,1.1609708,1.3301543,0.1691835,False,0.30905944,0.2949954
FOXO3,1.194357,1.3607653,0.1664083,False,0.3155866,0.2809253
GRB10,1.5261185,1.6923892,0.16627073,False,0.268858,0.23896362
THY1,3.2316704,3.0656137,-0.16605663,True,0.10670034,0.1197778
LRRC58,1.585483,1.7508004,0.16531742,True,0.29369226,0.24488947
GAL,2.7219493,2.887203,0.16525364,True,0.35849097,0.37050134
MYO18A,1.5970854,1.4344404,-0.16264498,False,0.2454376,0.27520767
CRABP1,2.7936456,2.9552097,0.16156411,True,0.2094519,0.19463117
C8orf88,0.92946535,1.089167,0.15970165,False,0.31409064,0.32147175
RRAGC,1.0892907,1.2487075,0.1594168,False,0.301064,0.2866744
HIST1H1C,3.3517175,3.5108857,0.15916824,True,1.5421159,1.5719968
HEXIM1,1.8267198,1.6689665,-0.15775323,True,0.2798919,0.29103023
ADAMTS16,1.1040889,1.2610433,0.15695441,True,0.375157,0.37519896
PMAIP1,2.977533,3.1342134,0.15668035,True,0.21363744,0.1982732
TSEN15,0.96855,1.1250656,0.15651554,False,0.29410607,0.29285368
VEGFA,1.5524551,1.7089088,0.15645373,True,0.3067676,0.32780072
NHSL1,1.0050527,1.1611239,0.15607119,False,0.31409183,0.3320691
FAM107B,1.5341849,1.6892911,0.15510619,True,0.3062342,0.29370213
HIST1H1B,4.1244035,4.278637,0.15423346,True,1.3478125,1.3865428
AKAP7,1.5629597,1.7171069,0.15414727,True,0.41213223,0.39461356
GYPC,0.8675986,1.0200026,0.15240401,False,0.31878453,0.33793122
IDI1,1.1688491,1.0166581,-0.15219104,True,0.37462935,0.3870227
GARS,1.5556651,1.7071112,0.1514461,False,0.26123875,0.24109113
RASGRF2,0.75367785,0.9045463,0.15086848,True,0.38033068,0.41080523
SIAH2,0.79190665,0.9425597,0.15065306,False,0.31583726,0.32333988
SCGB3A2,2.1600077,2.3096566,0.1496489,True,1.0063828,0.9297302
CEBPG,2.2168837,2.3661788,0.14929509,False,0.15180534,0.13658838
NSDHL,1.9035813,1.7545501,-0.14903116,True,0.25716972,0.26820713
SMOX,0.8144796,0.9632372,0.14875764,True,0.3304221,0.329092
DPEP3,0.61881423,0.7674002,0.14858598,True,0.33645475,0.38266796
HIST1H1D,1.6205581,1.7689551,0.14839697,True,1.2314817,1.2714413
FBLL1,0.7856516,0.9336715,0.14801985,True,0.330642,0.34791043
HMMR,2.4663396,2.3188088,-0.1475308,True,0.27379674,0.32560346
ELOVL6,2.2672312,2.1198006,-0.14743066,True,0.17385457,0.19816276
BST2,1.1939828,1.0466588,-0.14732409,True,0.5915028,0.54857314
MT1X,1.2593601,1.404571,0.14521098,True,0.58770955,0.5566641
TSC22D3,0.37244877,0.51613855,0.14368978,True,0.21085794,0.2623477
TUBB2A,3.9533803,4.096327,0.14294648,True,0.1378518,0.124337904
KCMF1,2.5458992,2.688403,0.14250374,False,0.1105205,0.08473371
ATF3,0.60296935,0.7447681,0.14179873,True,0.30893683,0.33995137
FOS,0.78461546,0.9261693,0.14155382,True,0.56241494,0.7028571
HOMER3,0.604683,0.46323127,-0.14145172,False,0.2673601,0.23808321
FLCN,0.90151346,1.042725,0.14121151,False,0.30853882,0.32204312
DNAJC3,1.5634774,1.4228189,-0.1406585,True,0.29950032,0.30773512
ZNF358,2.1311493,2.2717505,0.14060116,False,0.16794111,0.14462395
LPCAT3,1.8129568,1.6727812,-0.14017558,False,0.2130919,0.22256741
HAX1,2.1175966,2.2577028,0.1401062,False,0.16262452,0.15600157
DDR1,1.939464,1.7998204,-0.13964355,False,0.20132962,0.22347341
PKN1,1.9265342,2.0658734,0.13933921,False,0.1863383,0.17556891
MAP1B,2.2581487,2.3972359,0.1390872,True,0.20767254,0.19113281
