gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
USP22,2.984622,0.36384484,-2.6207771,False,0.077621564,0.2784629
VIM,2.7251427,2.4184635,-0.30667925,True,0.5895071,0.59505546
CRABP2,2.2048934,2.5051816,0.3002882,True,0.37365532,0.29871938
SCGB3A2,2.1600077,2.4577906,0.2977829,True,1.0063828,0.8941787
ASS1,1.6960539,1.4235395,-0.27251434,True,0.34041834,0.3633642
LMO3,1.0553634,1.2957022,0.2403388,True,0.47546923,0.48944765
MEGF10,1.5800037,1.3506883,-0.2293154,True,0.31678286,0.34362367
MDFI,1.2076058,1.4366006,0.22899473,True,0.35286814,0.3313621
C9orf135,1.0159495,0.7918457,-0.22410381,True,0.37919602,0.36555642
NTS,1.4767022,1.695231,0.21852875,True,0.7286999,0.7309822
PCK2,2.0146055,1.8045927,-0.2100128,True,0.285465,0.29693297
CUZD1,0.5141857,0.304395,-0.20979074,True,0.36897147,0.22670937
CRABP1,2.7936456,2.585298,-0.20834756,True,0.2094519,0.2268719
ERBB2,3.173677,2.967762,-0.20591497,True,0.1566171,0.1726909
GPR176,2.5565972,2.355465,-0.2011323,True,0.1418434,0.16942663
TTC39C,1.9046897,2.1057527,0.20106304,True,0.34991878,0.32102984
ZNF850,1.7697045,1.5691739,-0.20053053,True,0.39880446,0.46291673
ZIC2,1.9019088,1.7038869,-0.19802189,True,0.40680227,0.45911077
GPC3,1.794429,1.5976533,-0.19677567,True,0.31798097,0.36189598
NODAL,0.39589173,0.59202516,0.19613343,True,0.29222062,0.39391613
GPC4,2.8069289,2.6148648,-0.19206405,True,0.19444703,0.22120704
MYL9,1.8118736,1.621007,-0.19086659,True,0.4087449,0.41632617
KCNG3,1.6000588,1.4103861,-0.18967271,True,0.33263826,0.36631042
SORBS2,1.0052477,0.81570655,-0.18954116,True,0.43276674,0.40269995
MT1X,1.2593601,1.4479649,0.18860483,True,0.58770955,0.5313366
PLS3,2.6728685,2.487203,-0.18566561,False,0.12388258,0.13509946
DCLK1,1.713339,1.5282413,-0.1850977,True,0.28653774,0.31972286
ITGB5,2.7919524,2.9695425,0.17759013,True,0.17067133,0.13214593
HTR7,0.7363093,0.9119807,0.1756714,True,0.39800823,0.43467975
GRPR,0.8029942,0.63083833,-0.17215586,True,0.6066761,0.4887938
GPR143,1.1005427,0.92916685,-0.17137581,True,0.37836063,0.3716149
RGS5,1.525954,1.3571161,-0.1688379,True,0.48766956,0.46304595
VSNL1,2.1774752,2.344422,0.16694689,True,0.21121545,0.16557541
FGF13,1.6198746,1.785129,0.16525435,True,0.42301762,0.37365302
GDPD2,1.3856034,1.2208353,-0.1647681,True,0.3390894,0.33930036
DGKK,0.9637905,0.79972744,-0.16406304,True,0.4367179,0.40442804
STC2,2.132497,1.96888,-0.16361701,True,0.37043837,0.38536397
AP1S2,2.6388597,2.476018,-0.1628418,True,0.11781939,0.12817253
IL17RD,1.4703574,1.6328695,0.16251206,True,0.32091537,0.27853027
ATP1A2,1.028914,0.8665046,-0.16240937,True,0.41873628,0.4013402
MFGE8,3.6756303,3.5137644,-0.16186595,True,0.10762995,0.11515817
PGM1,1.8431282,2.0049763,0.16184807,True,0.38100007,0.38378373
NEK3,1.1845465,1.345427,0.16088057,False,0.33406457,0.311697
SLC7A11,2.2569587,2.0970893,-0.15986943,True,0.3321765,0.3392619
TNNT1,2.6080759,2.767183,0.15910721,True,0.15905327,0.14767876
COL1A1,2.260025,2.1026714,-0.15735364,True,0.40600464,0.40886623
PSAT1,3.8175943,3.6607258,-0.15686846,True,0.09711025,0.096281335
DEGS1,2.2304938,2.0741405,-0.15635324,True,0.244807,0.2718765
ACTC1,1.040941,0.8863943,-0.15454668,True,0.41227695,0.3947413
IFRD1,2.5512347,2.4000556,-0.15117908,True,0.24225035,0.25409597
TAGLN,2.3409328,2.1927114,-0.1482215,True,0.6389723,0.61916655
CTSV,1.7560787,1.6104571,-0.14562166,True,0.27636278,0.27892095
CADM1,1.1041645,1.2491993,0.14503479,True,0.3583104,0.34507772
PTCH1,0.939191,1.0830771,0.14388609,True,0.40242016,0.42307305
ANOS1,2.2613657,2.1175518,-0.14381385,True,0.21193548,0.23380299
AP1S1,1.4771401,1.6196859,0.14254582,False,0.2784553,0.26148227
CLU,2.868908,2.7272964,-0.14161158,True,0.13896124,0.15438057
SALL1,1.7900298,1.9313537,0.14132392,True,0.30072147,0.25414652
MMP17,0.97544795,0.8348004,-0.14064753,True,0.36952886,0.34696996
CORO2A,1.4832922,1.6235487,0.14025652,True,0.35276833,0.3389952
CRLF1,0.18737236,0.32616118,0.13878882,True,0.13220428,0.22706452
SPTBN2,1.4976367,1.3591001,-0.13853657,False,0.28792402,0.2988162
FOXP4,1.0239264,1.1624417,0.13851535,True,0.34288076,0.33550343
B3GALT5,1.4899355,1.6278988,0.1379633,True,0.37851307,0.34748328
NR5A2,0.5828152,0.7199009,0.13708574,True,0.28941792,0.32506406
TRIM2,1.6249844,1.4900776,-0.13490677,True,0.282023,0.3029828
LEFTY1,0.40002847,0.53353244,0.13350397,True,0.4464706,0.60747904
PODXL,4.0734234,3.9400084,-0.13341498,False,0.06454045,0.06575923
USP9X,3.4943233,3.3624322,-0.13189101,False,0.073277384,0.07728661
MAP7,2.416922,2.2851562,-0.13176584,False,0.13282476,0.14240567
DUSP5,1.2534505,1.3850905,0.13163996,True,0.39468458,0.38436013
ADM,1.0165217,0.8856141,-0.1309076,True,0.4694616,0.46668094
GALNT10,0.8450588,0.97574717,0.13068837,True,0.34769714,0.34850046
PGM2L1,1.618141,1.4902028,-0.12793827,True,0.2785538,0.29423812
CENPV,3.4915988,3.3637655,-0.12783337,True,0.08374357,0.09698984
CAPRIN2,1.4721117,1.5989069,0.12679517,True,0.3577264,0.35228637
ETV5,1.7087905,1.8354448,0.12665427,True,0.3046062,0.26493385
SHMT2,1.9814478,1.855472,-0.12597585,True,0.205803,0.22403249
VASH2,3.0354705,2.9095924,-0.1258781,True,0.14533351,0.13448662
ZFP36L2,1.6867079,1.5611265,-0.12558138,True,0.35165137,0.37163118
CCDC141,0.8916808,1.0171258,0.12544507,True,0.44828832,0.45328584
LHFPL6,0.73020524,0.6049222,-0.12528306,True,0.36257234,0.32445848
EFEMP1,0.7896871,0.91360015,0.12391305,True,0.32119668,0.33691317
SPRY1,1.447857,1.5717081,0.12385106,True,0.31520197,0.30167145
ADAMTS1,0.52104175,0.6447474,0.123705626,True,0.33755106,0.4161129
TMEM59L,0.6454841,0.76886183,0.12337774,True,0.3119143,0.3406235
SPP1,0.7460402,0.8691423,0.12310207,True,0.35517648,0.38269106
