gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
WFS1,1.0987208,0.10761527,-0.9911055,False,0.29198083,0.08216092
POLR2G,2.9203691,2.1294315,-0.79093766,False,0.09747842,0.66560936
KRT18,3.6757731,3.1164327,-0.5593405,True,0.10656653,0.12336253
KRT8,3.3509197,2.8188686,-0.5320511,True,0.09224985,0.116403446
B3GNT5,0.29320452,0.062794685,-0.23040983,False,0.17224722,0.04466585
LARGE2,2.0422995,1.8543031,-0.18799639,False,0.20472392,0.23522177
CES1,0.102902524,0.007399977,-0.09550255,False,0.06907206,0.00546067
ACBD4,0.3145554,0.22779939,-0.08675602,False,0.18597028,0.14511675
INF2,2.0923479,2.0218408,-0.07050705,False,0.19513084,0.21176437
ZBTB3,2.3672287,2.3030255,-0.06420326,False,0.1628862,0.17608964
OPN3,0.9301242,0.99323213,0.06310791,True,0.42169705,0.43150958
TMTC1,0.8034256,0.74102664,-0.06239897,True,0.33674684,0.3292568
H1F0,0.903924,0.96599615,0.062072158,True,0.8330141,0.9157422
NAV1,1.1464255,1.0855768,-0.060848713,False,0.29464424,0.28969967
MMP2,1.5867742,1.6451563,0.058382034,True,0.3137001,0.30625466
DPPA2,0.9645738,1.022788,0.058214247,True,0.42964724,0.45234695
SEMA4C,1.9892112,1.9337647,-0.055446506,False,0.2028913,0.19535263
HIST1H1D,1.6205581,1.5652369,-0.055321217,True,1.2314817,1.2216587
DNAJA4,0.52847016,0.58354604,0.055075884,True,0.30991498,0.32725546
SLC30A1,1.4016619,1.4566084,0.05494654,True,0.45045567,0.45023543
METTL7A,1.1035215,1.0487256,-0.05479586,True,0.36541176,0.3602408
S100PBP,2.2407477,2.1866565,-0.054091215,False,0.16624966,0.1714518
LARP7,1.3742118,1.4277382,0.0535264,True,0.34203744,0.33896533
TUBA4A,1.6588391,1.7119226,0.05308354,True,0.27253002,0.27801862
ADGRA2,0.2685801,0.21586764,-0.05271247,False,0.15885851,0.13081332
HES1,0.91062826,0.9632224,0.052594125,True,0.49244022,0.51635003
HIST1H1B,4.1244035,4.073425,-0.05097866,True,1.3478125,1.3687671
HAS2,0.35789979,0.30785972,-0.050040066,True,0.24655612,0.22046497
PPP2R2B,1.6374153,1.5881629,-0.04925239,False,0.27833492,0.30616346
DCLK1,1.713339,1.762587,0.04924798,True,0.28653774,0.2736656
BFAR,0.98824215,0.9391145,-0.04912764,False,0.2871061,0.30579188
NTS,1.4767022,1.5258209,0.049118638,True,0.7286999,0.7229164
MT-ND4,1.8822018,1.8340961,-0.048105717,True,0.9863533,1.0020149
LAMB1,1.1267743,1.0796784,-0.047095895,True,0.34430408,0.34367347
CRABP2,2.2048934,2.251456,0.04656267,True,0.37365532,0.3588277
ZNF28,0.21935628,0.1733304,-0.046025887,False,0.12840341,0.1067026
KAT5,0.63525945,0.5900559,-0.045203567,False,0.2741241,0.27470976
CENPC,0.88099796,0.9260862,0.04508823,False,0.3060479,0.30807754
LOXL1,1.073288,1.1177975,0.04450953,True,0.37352282,0.38128832
C12orf57,2.5016289,2.5457196,0.044090748,False,0.12944542,0.12980817
OLFM1,1.3372159,1.2939374,-0.043278456,False,0.30974376,0.31697884
POLR3G,2.6291654,2.6722448,0.043079376,True,0.22044568,0.14572501
PCTP,0.5703198,0.52747726,-0.042842507,False,0.25673634,0.2551599
PELI1,1.4311755,1.4737518,0.042576313,False,0.27139038,0.2669888
TTC9C,1.1252664,1.167823,0.042556524,False,0.298642,0.27843902
FAM184A,0.85493195,0.8124193,-0.042512655,True,0.34021583,0.34117034
PPP1R10,1.8092941,1.8513602,0.042066097,True,0.3640198,0.35205555
ITGA5,0.7758877,0.8179254,0.042037666,False,0.31052235,0.31059617
NXN,1.5317801,1.4899122,-0.04186797,False,0.24844176,0.2665986
SORBS2,1.0052477,0.9634874,-0.041760325,True,0.43276674,0.41249117
HMOX2,1.511146,1.5529056,0.04175961,False,0.26713863,0.24517925
LRAT,1.3468386,1.3052279,-0.041610718,True,0.5342008,0.5138351
MT-CO2,1.645371,1.6039903,-0.041380644,True,0.917779,0.925764
CRYZL1,0.59574765,0.5544965,-0.041251123,False,0.25518695,0.25850746
EIF4B,2.7091115,2.668363,-0.040748358,False,0.085877754,0.09096316
TENT4A,0.99614596,1.0366663,0.04052031,False,0.3113453,0.30595142
LRRC41,1.5944906,1.6348563,0.040365696,False,0.2776111,0.27712935
POLR2A,1.5230211,1.5633231,0.04030204,False,0.26769033,0.2834706
CXCL5,0.65057814,0.69086224,0.040284097,True,0.36417714,0.38320515
MAP7D3,0.9006355,0.9408545,0.04021901,False,0.29460794,0.29609522
COA7,1.2471433,1.2070576,-0.040085673,False,0.29798418,0.32907212
PIGM,1.0035292,1.0434756,0.039946437,False,0.30711925,0.30238554
SMIM7,1.5674875,1.527662,-0.03982544,False,0.23035192,0.25763762
EXOC6,0.8019709,0.76223165,-0.03973925,False,0.33135223,0.33820277
PTPRU,1.1534938,1.1137611,-0.039732695,False,0.3134728,0.31773007
IMMP2L,1.4893702,1.5290204,0.0396502,True,0.3280414,0.3266492
SELENOO,0.8899896,0.9292629,0.039273262,False,0.30828008,0.30521584
DNASE1L1,0.47327015,0.51244134,0.03917119,False,0.2505026,0.25919178
ADAM22,1.3211644,1.3602262,0.039061785,False,0.30428675,0.3019186
PPM1J,0.7961401,0.8351621,0.03902203,False,0.3142636,0.31055552
COL6A2,2.213915,2.175036,-0.038879156,True,0.24217908,0.27102506
ABRAXAS1,1.3443203,1.3054799,-0.038840413,True,0.31642094,0.32297775
PLEKHA6,1.0878862,1.0490628,-0.038823366,True,0.41469467,0.39015964
VPS11,0.67243636,0.71118736,0.038751006,False,0.27524498,0.27999383
SLC7A11,2.2569587,2.2184296,-0.038529158,True,0.3321765,0.36654416
DEPDC5,1.1603656,1.1988777,0.03851211,False,0.32436094,0.32515192
MT-ATP6,1.7147563,1.6762977,-0.038458586,True,0.97399217,0.96775687
TAB1,1.0628829,1.1012908,0.03840792,False,0.30746838,0.29289424
MTRF1L,0.9095074,0.947882,0.038374603,False,0.2970432,0.3084461
TAMM41,0.67076725,0.70912397,0.03835672,False,0.27222708,0.270654
GSS,1.3246176,1.2863634,-0.03825426,False,0.29426652,0.31541502
TPMT,1.5671567,1.6053632,0.038206577,False,0.23353806,0.22374164
PKIA,1.6330835,1.6710294,0.037945986,True,0.28867128,0.26678672
FBXO2,1.0143718,1.052302,0.03793025,False,0.32348582,0.33376446
MT-CO3,1.2058606,1.167961,-0.037899613,True,0.78025454,0.7905264
MT-ND3,1.7554234,1.7179363,-0.03748715,True,0.78610706,0.76847595
PTEN,1.0380638,1.0751891,0.03712535,False,0.2935388,0.28732955
C12orf75,1.8905792,1.8534608,-0.037118435,True,0.26363477,0.27391535
MAP1B,2.2581487,2.2211018,-0.03704691,True,0.20767254,0.21342677
PIK3C3,1.0272928,1.0641439,0.03685105,False,0.29792485,0.30416957
ATCAY,1.1623644,1.1255445,-0.036819816,True,0.36761397,0.38832682
KMT2B,1.9788837,2.0156298,0.036746025,False,0.18678153,0.17799279
IFT52,1.3104801,1.2738366,-0.036643505,False,0.27244484,0.29114085
TAX1BP3,2.1529489,2.1163807,-0.036568165,False,0.16280946,0.16082649
TTC39B,0.97977173,0.9433425,-0.036429226,False,0.32575017,0.3395779
TMEM181,1.5939848,1.6304094,0.036424518,False,0.24894114,0.22813939
ZNF177,0.36890015,0.40525275,0.036352605,True,0.21931976,0.23237607
BBIP1,0.8450522,0.8087074,-0.036344767,False,0.28108186,0.29173568
ARID4B,1.796583,1.8329232,0.036340117,False,0.2164262,0.19752905
PHTF1,1.313107,1.2768712,-0.03623581,False,0.3010643,0.2982465
SYT4,0.58140266,0.5452183,-0.03618437,True,0.34853083,0.33823645
BAZ1B,2.2533395,2.217213,-0.036126614,False,0.16449544,0.17625435
UNC13A,1.4474461,1.4113505,-0.03609562,False,0.27118164,0.2864447
ERICH1,1.6596987,1.6956884,0.035989642,False,0.23455139,0.22180913
CANT1,0.6087663,0.64463675,0.035870433,False,0.2659716,0.2796566
DYNC1LI1,1.5546093,1.5188392,-0.03577006,False,0.24550228,0.2503536
AARS,0.9076221,0.8720194,-0.03560269,False,0.3064885,0.3176792
CARD11,0.7951784,0.7595993,-0.035579085,False,0.3081846,0.30177194
OGDHL,0.8410112,0.87656415,0.03555292,True,0.34226105,0.34303644
PTBP1,1.841701,1.80625,-0.035451055,False,0.21755435,0.22994635
ALG11,1.0148327,1.050163,0.035330296,False,0.2840501,0.27697545
ACVR1B,1.3064927,1.3418015,0.035308838,True,0.3328906,0.30485156
FRG1,1.0865054,1.1217729,0.035267472,False,0.28043887,0.2662697
YY1AP1,1.1861352,1.221402,0.035266876,False,0.28774637,0.28031135
KCTD9,1.0242406,1.0593097,0.035069108,False,0.30283526,0.30846274
DUSP5,1.2534505,1.2884454,0.03499484,True,0.39468458,0.38882792
SPRED1,0.83288985,0.7980261,-0.03486377,False,0.29208606,0.29908916
THOC2,1.3970091,1.3621718,-0.034837365,False,0.2656506,0.25235868
ARMCX2,2.4285595,2.393776,-0.0347836,True,0.1969397,0.22034706
FARP2,0.89418274,0.8595923,-0.034590423,False,0.3055345,0.30196902
GREB1,1.7056408,1.7400647,0.034423947,False,0.2639719,0.24982436
DCAF16,1.3083898,1.2740189,-0.0343709,False,0.28412667,0.2853387
ZFP69,0.3049567,0.33915943,0.034202725,False,0.17466894,0.18842696
OGFOD3,1.2660967,1.2319257,-0.034170985,False,0.29170835,0.30056453
UTP15,0.86220706,0.89636135,0.034154296,False,0.29167846,0.2816993
PRNP,0.57603633,0.60998446,0.033948123,True,0.2881452,0.2954836
EMP3,0.8505958,0.884529,0.033933222,True,0.398057,0.40904537
PORCN,0.9066552,0.9404298,0.033774614,False,0.31158447,0.30959874
JMY,1.1953022,1.2290037,0.03370142,False,0.29833704,0.29869375
ITGA6,2.7265503,2.6929011,-0.033649206,False,0.11979008,0.1287615
FMNL3,0.56204575,0.5956771,0.033631325,False,0.25568822,0.262871
ENO2,1.9962083,1.9625936,-0.033614755,True,0.28814286,0.30765238
SLC6A15,1.7863109,1.8198843,0.03357339,True,0.29976016,0.28530493
CMC4,1.1320083,1.1655303,0.03352201,False,0.32168663,0.3137771
