gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
WSB2,2.2703388,0.738289,-1.5320498,False,0.1701132,0.4414264
EMD,2.9051232,1.5489733,-1.3561499,True,0.13371706,1.1552707
SPATC1L,1.7976586,0.46333104,-1.3343275,False,0.2314682,0.42698863
CTSA,1.8318236,0.8901741,-0.9416495,False,0.22640659,0.4762585
FKBP10,2.2979922,1.3924267,-0.9055655,False,0.15804358,0.46614718
STXBP2,1.3144569,0.50053716,-0.8139198,False,0.27608868,0.31423014
CDCA3,1.1477214,0.440513,-0.7072084,True,0.37375715,0.2866108
S100A16,1.7017455,1.09589,-0.60585546,True,0.3093001,0.41795132
APELA,1.5670142,2.0987546,0.5317404,True,0.4344417,0.55832374
VIM,2.7251427,3.2533324,0.52818966,True,0.5895071,0.5556957
PDLIM1,2.4891915,1.9625078,-0.5266837,True,0.14672922,0.45367423
HOMEZ,0.71271443,0.19902797,-0.5136865,True,0.321893,0.13700396
NUDT11,1.3635439,0.85871184,-0.504832,False,0.29562187,0.3640982
PLSCR3,1.1550533,0.6533691,-0.5016841,False,0.2935503,0.29633084
PCK2,2.0146055,1.6034938,-0.4111117,True,0.285465,0.38885587
SLC7A11,2.2569587,1.8571448,-0.3998139,True,0.3321765,0.4752341
VCL,2.5564256,2.158054,-0.39837146,True,0.18935773,0.24151382
HESX1,1.250492,1.6009599,0.35046792,True,0.4382072,0.50296575
TGFBR1,2.378882,2.0478294,-0.33105254,False,0.14375097,0.24504001
AKAP10,0.65349245,0.32278398,-0.33070847,False,0.27127337,0.20482548
ZNF792,0.37175363,0.042586587,-0.32916704,False,0.19972938,0.02936389
ASS1,1.6960539,1.3683488,-0.32770503,True,0.34041834,0.35658872
H2AFY2,1.102345,0.77725536,-0.32508963,True,0.47343355,0.4132754
OLFM2,2.6700313,2.3598824,-0.31014895,False,0.13594994,0.22327718
JAKMIP2,1.282878,0.9792228,-0.30365527,True,0.41678047,0.44727993
TCFL5,0.99467474,0.6932027,-0.30147207,False,0.29153532,0.3151424
H1F0,0.903924,1.2031614,0.29923737,True,0.8330141,1.052185
PSAT1,3.8175943,3.5268862,-0.29070807,True,0.09711025,0.11670616
VGF,0.23315704,0.5168938,0.28373677,True,0.16754194,0.37574628
KRT18,3.6757731,3.399625,-0.27614808,True,0.10656653,0.13296528
PLXND1,1.5982894,1.3286095,-0.2696799,True,0.2975896,0.3558495
IDO1,1.2041372,0.9373749,-0.26676232,True,0.43108737,0.4466983
PCDH7,0.45434523,0.7184259,0.2640807,True,0.27273244,0.39103544
CRABP2,2.2048934,2.4681125,0.26321912,True,0.37365532,0.35379025
CPNE9,0.33209345,0.06982827,-0.26226518,True,0.2049977,0.05397188
GSN,1.4108883,1.1489745,-0.26191378,False,0.29333594,0.35281464
RARA,0.96035045,1.2193146,0.25896412,False,0.31902057,0.36635974
CHGA,1.5551376,1.298649,-0.25648868,True,0.55296373,0.49795613
EDIL3,1.4273261,1.6779773,0.25065124,True,0.36399788,0.36341977
AASS,3.9314687,4.181021,0.24955249,True,0.25482205,0.16185017
BHLHE41,0.2263481,0.45821825,0.23187014,True,0.22857852,0.46413636
PRSS8,1.4594178,1.2356108,-0.22380698,False,0.29052255,0.33100113
