gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
TMEM167A,3.3351936,0.5979018,-2.7372918,False,0.056325324,0.475506
MCCC1,1.4107088,0.22647741,-1.1842314,False,0.28784367,0.16779535
XRCC4,0.8327108,0.06849591,-0.7642149,False,0.3130002,0.051570978
NECAB3,1.0640488,0.65100825,-0.41304052,False,0.32371566,0.33592278
ZNF251,0.82536453,1.0868121,0.2614476,True,0.371914,0.40329278
LUC7L,2.9307277,3.182283,0.2515552,False,0.09498708,0.085287005
GUCY2C,0.12342428,0.3601638,0.23673953,False,0.085593164,0.23834309
IMMP2L,1.4893702,1.7067174,0.21734715,True,0.3280414,0.30296773
H1F0,0.903924,1.1171739,0.21324992,True,0.8330141,0.94905114
SLC43A1,1.1609708,0.9560428,-0.20492798,False,0.30905944,0.34335682
IVNS1ABP,3.4481068,3.2497253,-0.19838142,True,0.09558304,0.11414874
CNPY3,2.2649868,2.460229,0.19524217,False,0.15335332,0.14784727
PKDCC,2.017514,1.8283472,-0.18916678,True,0.58726704,0.5539171
DCLK1,1.713339,1.9009268,0.18758786,True,0.28653774,0.2428436
PROM1,2.3386636,2.5244143,0.18575072,True,0.22140999,0.19673519
FBXW8,1.1178277,1.3035319,0.18570423,False,0.30666214,0.3204655
TMTC4,0.89480126,1.079303,0.18450177,False,0.29877618,0.30322862
PARL,2.3798754,2.1956296,-0.18424582,False,0.123348534,0.17592758
DUSP6,2.2662961,2.4496682,0.18337202,True,0.42365897,0.37189215
PRMT3,1.4259083,1.2442496,-0.18165874,False,0.27724272,0.31590402
AXL,1.3737823,1.1930664,-0.18071592,False,0.2870026,0.30273774
H2AFY2,1.102345,1.2754568,0.1731118,True,0.47343355,0.48062387
PCK2,2.0146055,1.8426304,-0.17197514,True,0.285465,0.36071903
FAM120AOS,2.1894724,2.0183096,-0.17116284,False,0.17359892,0.24621825
IGDCC4,0.7147406,0.8851925,0.17045194,True,0.32819542,0.31882966
FAM114A1,0.693138,0.860531,0.16739297,False,0.3076311,0.35287014
TARBP1,1.4422452,1.6077948,0.16554952,False,0.30205518,0.2821316
CHN1,1.918251,1.7538441,-0.1644069,False,0.21187972,0.23809913
TOMM34,1.6658839,1.50198,-0.16390395,False,0.2416687,0.29598692
