gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
ZNF286A,1.6951748,0.16441472,-1.53076,False,0.21632262,0.13141042
COL1A1,2.260025,1.7201272,-0.5398978,True,0.40600464,0.5191494
RAPGEF5,0.44850075,0.23724383,-0.21125692,False,0.22748652,0.14727822
USHBP1,0.1275672,0.27996165,0.15239444,False,0.083062224,0.16526869
RPP25,1.2558049,1.1389467,-0.116858244,False,0.31804785,0.30488405
PCDH1,3.3544536,3.2496006,-0.104852915,True,0.09235907,0.11142311
LRAT,1.3468386,1.2671202,-0.07971835,True,0.5342008,0.505345
PCDHB16,0.67530996,0.7542502,0.07894027,True,0.40022647,0.42049173
DNALI1,1.2381747,1.161591,-0.076583624,False,0.31395248,0.3247914
PLPP2,1.336396,1.2632619,-0.073134065,True,0.39301753,0.41919184
SPRY2,1.7054368,1.633651,-0.07178581,True,0.28943455,0.2884339
TSHZ3,0.991738,0.92006135,-0.07167667,True,0.39489174,0.37705615
RIN3,0.15541454,0.08590531,-0.06950922,False,0.102894306,0.06186335
B3GNT3,0.07447753,0.14277226,0.06829473,False,0.05094769,0.09221401
JDP2,0.87636673,0.9435954,0.067228675,True,0.35009328,0.35932994
MPP2,0.9076324,0.8404567,-0.06717569,False,0.30072033,0.31301594
GANC,0.43590108,0.5020841,0.066183,False,0.22656058,0.23200676
SHD,0.12558609,0.1911021,0.06551601,False,0.082912855,0.11923799
CADPS2,1.3590494,1.295783,-0.0632664,True,0.32116383,0.33291167
USP53,0.63551426,0.69603515,0.060520887,False,0.27547166,0.2754082
TRIM22,0.6868747,0.62757957,-0.059295118,True,0.41427281,0.3805811
EPS8L1,0.77361894,0.8320576,0.05843866,False,0.3271284,0.33723834
GGA1,0.9363584,0.87804407,-0.058314323,False,0.31058207,0.32781205
ZBTB7A,1.1782937,1.1201214,-0.058172345,False,0.30407467,0.32395706
KCTD7,0.40109077,0.34306365,-0.05802712,False,0.21522878,0.19402304
OLFM1,1.3372159,1.2800316,-0.05718434,False,0.30974376,0.326692
SHROOM2,0.8547875,0.797995,-0.056792557,False,0.30535588,0.3133089
DNPH1,1.3159413,1.2592815,-0.056659818,False,0.29655746,0.32799625
TBC1D17,1.1558164,1.2118144,0.055997968,False,0.2870475,0.26923284
CBLC,0.7308411,0.67490155,-0.055939555,False,0.3029409,0.28560665
ATCAY,1.1623644,1.1064256,-0.05593872,True,0.36761397,0.38688082
SOCS1,1.8222368,1.8777554,0.055518627,True,0.4042865,0.3991224
FAM111A,1.3423162,1.3976616,0.055345416,False,0.30859065,0.29312637
PLXND1,1.5982894,1.6534797,0.055190325,True,0.2975896,0.29522017
