target,reference,feature,target_mean,reference_mean,percent_change,fold_change,p_value,statistic,fdr
ZNF426,non-targeting,AADACL4,0.0030797226,0.0005661753,4.439521312713623,5.439521312713623,0.0002036983189838,21683824.0,0.0016760359857529
ZNF426,non-targeting,SH3BGRL3,8.631124,8.288647,0.0413187891244888,1.0413187742233276,0.0068649959353243,22624735.5,0.0385690707282759
ZNF426,non-targeting,MED18,1.51807,1.6380887,-0.0732675343751907,0.9267324805259703,0.004743070191626,20548093.5,0.0280571174673963
ZNF426,non-targeting,ATPAF1,7.4601765,7.812188,-0.0450592935085296,0.954940676689148,0.0012116024439985,20390027.5,0.0084317829820994
ZNF426,non-targeting,PLPP3,8.503953,8.093836,0.0506703071296215,1.0506702661514282,0.0019634142147187,22772370.5,0.0129556675190201
ZNF426,non-targeting,PATJ,10.787553,10.439781,0.0333121567964553,1.033312201499939,0.0055712123275639,22650577.0,0.0322443800621349
ZNF426,non-targeting,KANK4,0.005413619,0.013856536,-0.6093093752861023,0.3906906545162201,0.0067686250221616,21361328.0,0.0381061842151089
ZNF426,non-targeting,PIFO,0.8178254,0.7431456,0.1004914715886116,1.1004915237426758,0.0090156905517774,22554687.0,0.0486012359271702
ZNF426,non-targeting,TSHB,0.00184828,7.255983e-05,24.472496032714844,25.472496032714844,5.137815258261117e-12,21663180.5,9.731634991202786e-11
ZNF426,non-targeting,GJA8,0.00084821024,3.306292e-05,24.65442657470703,25.65442657470703,0.001609609620699,21625573.0,0.0108592641300939
ZNF426,non-targeting,THEM4,0.83268803,0.9220172,-0.0968845039606094,0.9031155109405518,0.0027530031232777,20502088.0,0.0174660954003935
ZNF426,non-targeting,MUC1,0.46203032,0.3975472,0.1622024774551391,1.1622024774551392,0.000501911932913,22774767.0,0.0038042653458174
ZNF426,non-targeting,NES,24.650532,25.755756,-0.0429117493331432,0.9570882320404052,1.33693998728e-05,19969444.5,0.0001336373309816
ZNF426,non-targeting,CRABP2,7.3740435,8.106396,-0.0903425216674804,0.9096574783325196,2.46022673449059e-07,19665914.0,3.0637744938300905e-06
ZNF426,non-targeting,OR6K6,0.0009702156,4.8224338e-05,19.11879539489746,20.11879539489746,0.0081548350567567,21625007.5,0.0446452402727743
ZNF426,non-targeting,SLAMF8,0.0004614454,1.2724074e-05,35.26553726196289,36.26554107666016,6.75801870711e-05,21626138.5,0.0006044671668905
ZNF426,non-targeting,KLHDC9,0.5198415,0.577904,-0.1004708334803581,0.8995291590690613,0.0089702049966116,20680472.0,0.0483932643750655
ZNF426,non-targeting,FAM163A,0.03621213,0.0075370413,3.8045554161071777,4.804555416107178,1.773726013537621e-32,22469074.0,8.70965951242808e-31
