gene,ctrl_mean,pert_mean,delta,is_HVG,ctrl_var,pert_var
NDUFAF2,1.8061962,0.46317208,-1.3430241,False,0.19779576,0.39203817
HPDL,1.5688995,0.30526292,-1.2636366,True,0.32727882,0.30309737
ERCC8,1.5423319,0.35698768,-1.1853442,False,0.27079448,0.31511655
ZNF714,1.310677,0.14028075,-1.1703963,False,0.27407578,0.10677426
SPA17,0.70539504,0.08977229,-0.61562276,False,0.30744943,0.07604147
IGFBP4,1.9565018,1.6353157,-0.32118618,True,0.226974,0.29931393
BARD1,0.52626735,0.276762,-0.24950534,False,0.25137272,0.17237245
SIAE,0.26339975,0.03133583,-0.23206392,False,0.16364588,0.02095829
VSIG10L,0.29413807,0.10633577,-0.18780231,False,0.16787674,0.07405411
MAPK12,0.6433822,0.45836285,-0.18501934,False,0.28118566,0.24384329
MYO1C,1.3037152,1.1256871,-0.1780281,False,0.2976625,0.30881467
GRPR,0.8029942,0.64311713,-0.15987706,True,0.6066761,0.4819482
CLTA,1.186203,1.0482676,-0.1379354,False,0.29909858,0.29973075
ANKRD24,0.70718914,0.5715262,-0.13566291,False,0.28694317,0.26944977
MSRB1,0.6356606,0.50075775,-0.13490283,False,0.26931274,0.22556278
CHGA,1.5551376,1.6833309,0.12819326,True,0.55296373,0.51702464
HIST1H3E,1.0670047,1.1800964,0.11309171,True,1.0355052,1.1972917
STK26,2.7445493,2.6398182,-0.10473108,False,0.106044784,0.12646273
VAC14,1.7139457,1.6160775,-0.097868204,False,0.23400326,0.26555982
LAMA5,1.680716,1.7756934,0.09497738,True,0.28396544,0.25760084
ZBTB10,1.0915735,1.1860337,0.09446025,True,0.37222257,0.34996298
SPPL3,1.0592781,0.97077435,-0.08850378,False,0.29154128,0.29214925
ETFB,1.4885414,1.4004606,-0.088080764,False,0.25368288,0.27566454
SEC23IP,1.9276927,1.8400718,-0.087620854,False,0.17582436,0.1871083
VIM,2.7251427,2.6405709,-0.08457184,True,0.5895071,0.5780228
ZNF430,0.53899235,0.45556593,-0.083426416,False,0.24315692,0.21767941
SBF2,1.0908815,1.011727,-0.07915449,False,0.3294157,0.34150535
CD4,0.08149135,0.003927214,-0.077564135,False,0.059527267,0.003513239
DLEU7,0.09400083,0.017009662,-0.07699117,False,0.061274596,0.012048459
NAV2,1.6866244,1.6104524,-0.076171994,False,0.2410304,0.24821287
P2RY1,0.7862649,0.71090937,-0.07535553,True,0.40756574,0.3726862
CTNNA2,0.48017505,0.40483442,-0.07534063,False,0.25217426,0.2264304
AGPAT2,1.6119598,1.5366372,-0.07532263,False,0.26940638,0.2563509
PALM,0.43084905,0.36010766,-0.070741385,False,0.23115039,0.20647681
RNF14,1.2706707,1.2010038,-0.06966686,False,0.3133329,0.317683
AP1S2,2.6388597,2.569347,-0.069512844,True,0.11781939,0.13082221
CLCN4,0.6528646,0.5848435,-0.06802106,False,0.2945824,0.28177664
C9orf135,1.0159495,0.94824576,-0.067703724,True,0.37919602,0.37425262
NDUFB10,2.486769,2.4192553,-0.067513704,False,0.13124372,0.15385883
CTPS2,1.1613085,1.0943425,-0.06696606,False,0.28872395,0.2870053
AFF2,0.9375677,1.0037035,0.066135764,True,0.38116604,0.38236046
INPP5K,0.88076967,0.81471986,-0.066049814,False,0.3036881,0.31356722
TIAM2,0.32487246,0.25976595,-0.06510651,False,0.18267284,0.15106483
CENPJ,1.8049356,1.8682227,0.06328714,False,0.21326314,0.19564281
ARSB,1.2633911,1.3265098,0.063118696,False,0.30545294,0.2892616
OSBPL2,0.91294897,0.9757366,0.06278765,False,0.30362368,0.28926235
MT1X,1.2593601,1.1974257,-0.061934352,True,0.58770955,0.5899652
UPP1,1.0359405,0.97402453,-0.061915994,True,0.31874496,0.32614192
PARP8,1.0678738,1.006371,-0.061502814,False,0.30425638,0.34989092
PACC1,1.1607734,1.2222434,0.06147003,False,0.30893615,0.2571023
CYP2R1,0.77927864,0.7184148,-0.060863853,True,0.33478215,0.33423182
RRBP1,1.7215813,1.6608189,-0.060762405,False,0.2589357,0.24858202
NAA35,1.1392841,1.1998777,0.060593605,False,0.28262463,0.25308576
HUS1,1.3902454,1.3302213,-0.060024142,False,0.2728103,0.2681984
PTK2,1.3286812,1.2689027,-0.05977857,False,0.2745737,0.31117392
DNAJC1,0.87667274,0.81696755,-0.059705198,False,0.2997558,0.29735634
ZCCHC8,0.7837354,0.8433581,0.059622705,False,0.29349336,0.2852047
LGALS3BP,0.8557771,0.9152796,0.059502542,True,0.35664523,0.3486068
SLC35F1,0.9922845,1.0517651,0.059480608,False,0.33597022,0.33010048
ZNF91,1.712068,1.652876,-0.059191942,False,0.22821555,0.2379702
HIPK2,1.4535562,1.3943682,-0.05918801,False,0.28212678,0.3278331
ZNF544,1.6751323,1.7343197,0.059187412,False,0.25436878,0.2076012
PDK2,1.0488417,0.9897701,-0.0590716,False,0.31756854,0.33446896
NDFIP1,2.060677,2.1194682,0.05879116,False,0.16497427,0.13151672
IFI6,0.39805612,0.33975267,-0.058303446,False,0.22786759,0.2097021
GRHL2,1.1902729,1.2481942,0.05792129,False,0.30543205,0.29874888
STYX,2.1904473,2.2483003,0.057852983,False,0.16504705,0.14833185
ZSCAN2,1.6491191,1.7068044,0.057685256,False,0.2595455,0.23896566
ACP2,1.266945,1.3243979,0.057452917,False,0.31735262,0.30894345
TMEM251,1.4543201,1.5117047,0.05738461,False,0.2684948,0.26372278
