target_gene,batch,cell_n
ACAT2,Flex_1_01,33
ACAT2,Flex_1_02,42
ACAT2,Flex_1_03,30
ACAT2,Flex_1_04,36
ACAT2,Flex_1_05,28
ACAT2,Flex_1_06,26
ACAT2,Flex_1_07,46
ACAT2,Flex_1_08,35
ACAT2,Flex_1_09,34
ACAT2,Flex_1_10,34
ACAT2,Flex_1_11,43
ACAT2,Flex_1_12,32
ACAT2,Flex_1_13,35
ACAT2,Flex_1_14,37
ACAT2,Flex_1_15,44
ACAT2,Flex_1_16,27
ACAT2,Flex_2_01,42
ACAT2,Flex_2_02,32
ACAT2,Flex_2_03,36
ACAT2,Flex_2_04,37
ACAT2,Flex_2_05,31
ACAT2,Flex_2_06,37
ACAT2,Flex_2_07,29
ACAT2,Flex_2_08,38
ACAT2,Flex_2_09,39
ACAT2,Flex_2_10,31
ACAT2,Flex_2_11,37
ACAT2,Flex_2_12,44
ACAT2,Flex_2_13,41
ACAT2,Flex_2_14,38
ACAT2,Flex_2_15,42
ACAT2,Flex_2_16,42
ACAT2,Flex_3_01,29
ACAT2,Flex_3_02,34
ACAT2,Flex_3_03,34
ACAT2,Flex_3_04,55
ACAT2,Flex_3_05,49
ACAT2,Flex_3_06,41
ACAT2,Flex_3_07,44
ACAT2,Flex_3_08,30
ACAT2,Flex_3_09,38
ACAT2,Flex_3_10,38
ACAT2,Flex_3_11,44
ACAT2,Flex_3_12,41
ACAT2,Flex_3_13,22
ACAT2,Flex_3_14,40
ACAT2,Flex_3_15,37
ACAT2,Flex_3_16,31
ACVR1B,Flex_1_01,34
ACVR1B,Flex_1_02,23
ACVR1B,Flex_1_03,37
ACVR1B,Flex_1_04,39
ACVR1B,Flex_1_05,20
ACVR1B,Flex_1_06,30
ACVR1B,Flex_1_07,22
ACVR1B,Flex_1_08,25
ACVR1B,Flex_1_09,33
ACVR1B,Flex_1_10,28
ACVR1B,Flex_1_11,22
ACVR1B,Flex_1_12,27
ACVR1B,Flex_1_13,29
ACVR1B,Flex_1_14,22
ACVR1B,Flex_1_15,37
ACVR1B,Flex_1_16,26
ACVR1B,Flex_2_01,27
ACVR1B,Flex_2_02,27
ACVR1B,Flex_2_03,31
ACVR1B,Flex_2_04,31
ACVR1B,Flex_2_05,24
ACVR1B,Flex_2_06,34
ACVR1B,Flex_2_07,29
ACVR1B,Flex_2_08,22
ACVR1B,Flex_2_09,26
ACVR1B,Flex_2_10,21
ACVR1B,Flex_2_11,24
ACVR1B,Flex_2_12,26
ACVR1B,Flex_2_13,31
ACVR1B,Flex_2_14,41
ACVR1B,Flex_2_15,24
ACVR1B,Flex_2_16,23
ACVR1B,Flex_3_01,37
ACVR1B,Flex_3_02,30
ACVR1B,Flex_3_03,34
ACVR1B,Flex_3_04,30
ACVR1B,Flex_3_05,35
ACVR1B,Flex_3_06,30
ACVR1B,Flex_3_07,35
ACVR1B,Flex_3_08,37
ACVR1B,Flex_3_09,30
ACVR1B,Flex_3_10,42
ACVR1B,Flex_3_11,27
ACVR1B,Flex_3_12,28
ACVR1B,Flex_3_13,31
ACVR1B,Flex_3_14,20
ACVR1B,Flex_3_15,22
ACVR1B,Flex_3_16,37
AKT2,Flex_1_01,24
AKT2,Flex_1_02,20
AKT2,Flex_1_03,18
AKT2,Flex_1_04,13
AKT2,Flex_1_05,19
AKT2,Flex_1_06,17
AKT2,Flex_1_07,13
AKT2,Flex_1_08,17
AKT2,Flex_1_09,15
AKT2,Flex_1_10,27
AKT2,Flex_1_11,12
AKT2,Flex_1_12,27
AKT2,Flex_1_13,19
AKT2,Flex_1_14,15
AKT2,Flex_1_15,14
AKT2,Flex_1_16,18
AKT2,Flex_2_01,21
AKT2,Flex_2_02,20
AKT2,Flex_2_03,26
AKT2,Flex_2_04,23
AKT2,Flex_2_05,15
AKT2,Flex_2_06,23
AKT2,Flex_2_07,20
AKT2,Flex_2_08,20
AKT2,Flex_2_09,23
AKT2,Flex_2_10,14
AKT2,Flex_2_11,17
AKT2,Flex_2_12,16
AKT2,Flex_2_13,18
AKT2,Flex_2_14,22
AKT2,Flex_2_15,17
AKT2,Flex_2_16,20
AKT2,Flex_3_01,19
AKT2,Flex_3_02,16
AKT2,Flex_3_03,25
AKT2,Flex_3_04,25
AKT2,Flex_3_05,29
AKT2,Flex_3_06,26
AKT2,Flex_3_07,27
AKT2,Flex_3_08,20
AKT2,Flex_3_09,19
AKT2,Flex_3_10,10
AKT2,Flex_3_11,17
AKT2,Flex_3_12,23
AKT2,Flex_3_13,28
AKT2,Flex_3_14,18
AKT2,Flex_3_15,20
AKT2,Flex_3_16,13
ANTXR1,Flex_1_01,27
ANTXR1,Flex_1_02,26
ANTXR1,Flex_1_03,25
ANTXR1,Flex_1_04,28
ANTXR1,Flex_1_05,20
ANTXR1,Flex_1_06,24
ANTXR1,Flex_1_07,28
ANTXR1,Flex_1_08,37
ANTXR1,Flex_1_09,22
ANTXR1,Flex_1_10,25
ANTXR1,Flex_1_11,27
ANTXR1,Flex_1_12,25
ANTXR1,Flex_1_13,30
ANTXR1,Flex_1_14,25
ANTXR1,Flex_1_15,26
ANTXR1,Flex_1_16,32
ANTXR1,Flex_2_01,25
ANTXR1,Flex_2_02,45
ANTXR1,Flex_2_03,36
ANTXR1,Flex_2_04,29
ANTXR1,Flex_2_05,17
ANTXR1,Flex_2_06,30
ANTXR1,Flex_2_07,29
ANTXR1,Flex_2_08,38
ANTXR1,Flex_2_09,32
ANTXR1,Flex_2_10,25
ANTXR1,Flex_2_11,41
ANTXR1,Flex_2_12,28
ANTXR1,Flex_2_13,24
ANTXR1,Flex_2_14,28
ANTXR1,Flex_2_15,26
ANTXR1,Flex_2_16,31
ANTXR1,Flex_3_01,42
ANTXR1,Flex_3_02,31
ANTXR1,Flex_3_03,31
ANTXR1,Flex_3_04,33
ANTXR1,Flex_3_05,33
ANTXR1,Flex_3_06,43
ANTXR1,Flex_3_07,26
ANTXR1,Flex_3_08,24
ANTXR1,Flex_3_09,34
ANTXR1,Flex_3_10,21
ANTXR1,Flex_3_11,39
ANTXR1,Flex_3_12,40
ANTXR1,Flex_3_13,34
ANTXR1,Flex_3_14,30
ANTXR1,Flex_3_15,33
ANTXR1,Flex_3_16,43
ARID1A,Flex_1_01,23
ARID1A,Flex_1_02,24
ARID1A,Flex_1_03,32
ARID1A,Flex_1_04,36
ARID1A,Flex_1_05,16
ARID1A,Flex_1_06,30
ARID1A,Flex_1_07,19
ARID1A,Flex_1_08,33
ARID1A,Flex_1_09,20
ARID1A,Flex_1_10,25
ARID1A,Flex_1_11,25
ARID1A,Flex_1_12,27
ARID1A,Flex_1_13,29
ARID1A,Flex_1_14,30
ARID1A,Flex_1_15,22
ARID1A,Flex_1_16,32
ARID1A,Flex_2_01,17
ARID1A,Flex_2_02,27
ARID1A,Flex_2_03,26
ARID1A,Flex_2_04,22
ARID1A,Flex_2_05,19
ARID1A,Flex_2_06,22
ARID1A,Flex_2_07,28
ARID1A,Flex_2_08,26
ARID1A,Flex_2_09,27
ARID1A,Flex_2_10,31
ARID1A,Flex_2_11,28
ARID1A,Flex_2_12,32
ARID1A,Flex_2_13,29
ARID1A,Flex_2_14,20
ARID1A,Flex_2_15,25
ARID1A,Flex_2_16,24
ARID1A,Flex_3_01,28
ARID1A,Flex_3_02,37
ARID1A,Flex_3_03,22
ARID1A,Flex_3_04,24
ARID1A,Flex_3_05,28
ARID1A,Flex_3_06,34
ARID1A,Flex_3_07,26
ARID1A,Flex_3_08,34
ARID1A,Flex_3_09,18
ARID1A,Flex_3_10,20
ARID1A,Flex_3_11,27
ARID1A,Flex_3_12,24
ARID1A,Flex_3_13,19
ARID1A,Flex_3_14,23
ARID1A,Flex_3_15,33
ARID1A,Flex_3_16,33
ATM,Flex_1_01,8
ATM,Flex_1_02,10
ATM,Flex_1_03,8
ATM,Flex_1_04,5
ATM,Flex_1_05,13
ATM,Flex_1_06,9
ATM,Flex_1_07,12
ATM,Flex_1_08,10
ATM,Flex_1_09,8
ATM,Flex_1_10,8
ATM,Flex_1_11,10
ATM,Flex_1_12,6
ATM,Flex_1_13,11
ATM,Flex_1_14,10
ATM,Flex_1_15,18
ATM,Flex_1_16,8
ATM,Flex_2_01,13
ATM,Flex_2_02,7
ATM,Flex_2_03,10
ATM,Flex_2_04,14
ATM,Flex_2_05,13
ATM,Flex_2_06,7
ATM,Flex_2_07,5
ATM,Flex_2_08,11
ATM,Flex_2_09,2
ATM,Flex_2_10,11
ATM,Flex_2_11,7
ATM,Flex_2_12,6
ATM,Flex_2_13,6
ATM,Flex_2_14,11
ATM,Flex_2_15,5
ATM,Flex_2_16,11
ATM,Flex_3_01,9
ATM,Flex_3_02,9
ATM,Flex_3_03,10
ATM,Flex_3_04,11
ATM,Flex_3_05,10
ATM,Flex_3_06,17
ATM,Flex_3_07,14
ATM,Flex_3_08,7
ATM,Flex_3_09,8
ATM,Flex_3_10,13
ATM,Flex_3_11,9
ATM,Flex_3_12,11
ATM,Flex_3_13,7
ATM,Flex_3_14,7
ATM,Flex_3_15,6
ATM,Flex_3_16,14
ATP1B1,Flex_1_01,48
ATP1B1,Flex_1_02,47
ATP1B1,Flex_1_03,41
ATP1B1,Flex_1_04,33
ATP1B1,Flex_1_05,47
ATP1B1,Flex_1_06,40
ATP1B1,Flex_1_07,43
ATP1B1,Flex_1_08,37
ATP1B1,Flex_1_09,32
ATP1B1,Flex_1_10,39
ATP1B1,Flex_1_11,37
ATP1B1,Flex_1_12,41
ATP1B1,Flex_1_13,46
ATP1B1,Flex_1_14,47
ATP1B1,Flex_1_15,49
ATP1B1,Flex_1_16,42
ATP1B1,Flex_2_01,54
ATP1B1,Flex_2_02,64
ATP1B1,Flex_2_03,46
ATP1B1,Flex_2_04,42
ATP1B1,Flex_2_05,42
ATP1B1,Flex_2_06,35
ATP1B1,Flex_2_07,39
ATP1B1,Flex_2_08,43
ATP1B1,Flex_2_09,40
ATP1B1,Flex_2_10,42
ATP1B1,Flex_2_11,40
ATP1B1,Flex_2_12,40
ATP1B1,Flex_2_13,46
ATP1B1,Flex_2_14,39
ATP1B1,Flex_2_15,38
ATP1B1,Flex_2_16,47
ATP1B1,Flex_3_01,47
ATP1B1,Flex_3_02,41
ATP1B1,Flex_3_03,44
ATP1B1,Flex_3_04,47
ATP1B1,Flex_3_05,38
ATP1B1,Flex_3_06,53
ATP1B1,Flex_3_07,52
ATP1B1,Flex_3_08,50
ATP1B1,Flex_3_09,40
ATP1B1,Flex_3_10,43
ATP1B1,Flex_3_11,42
ATP1B1,Flex_3_12,54
ATP1B1,Flex_3_13,42
ATP1B1,Flex_3_14,62
ATP1B1,Flex_3_15,45
ATP1B1,Flex_3_16,55
ATP6V0B,Flex_1_01,7
ATP6V0B,Flex_1_02,3
ATP6V0B,Flex_1_03,2
ATP6V0B,Flex_1_04,6
ATP6V0B,Flex_1_05,6
ATP6V0B,Flex_1_06,7
ATP6V0B,Flex_1_07,5
ATP6V0B,Flex_1_08,3
ATP6V0B,Flex_1_09,10
ATP6V0B,Flex_1_10,4
ATP6V0B,Flex_1_11,8
ATP6V0B,Flex_1_12,4
ATP6V0B,Flex_1_13,5
ATP6V0B,Flex_1_14,3
ATP6V0B,Flex_1_15,1
ATP6V0B,Flex_1_16,4
ATP6V0B,Flex_2_01,7
ATP6V0B,Flex_2_02,5
ATP6V0B,Flex_2_03,4
ATP6V0B,Flex_2_04,7
ATP6V0B,Flex_2_05,6
ATP6V0B,Flex_2_06,4
ATP6V0B,Flex_2_07,2
ATP6V0B,Flex_2_08,7
ATP6V0B,Flex_2_09,5
ATP6V0B,Flex_2_10,8
ATP6V0B,Flex_2_11,6
ATP6V0B,Flex_2_12,4
ATP6V0B,Flex_2_13,3
