gene,mean,max,min,nonzero_fraction
SAMD11,0.00023423882,1.269159,0.0,0.0003479864240101594
NOC2L,0.69953775,2.6520689,0.0,0.7044736592354242
KLHL17,0.15916513,2.300128,0.0,0.2179705612523896
PLEKHN1,0.056597073,1.9289954,0.0,0.0798741825708514
PERM1,0.00013094941,1.1731046,0.0,0.00018981077673281422
HES4,0.007019218,1.5580641,0.0,0.010313052202482905
ISG15,0.73452246,3.6398559,0.0,0.7048894352225531
AGRN,1.8790838,3.9616427,0.0,0.9866273788487524
RNF223,8.286358e-05,1.0145612,0.0,0.000122021213613952
C1orf159,0.2464127,2.2375615,0.0,0.32634799546261856
TTLL10,0.07347345,2.5918665,0.0,0.10542632856245453
TNFRSF18,0.005524505,1.3152784,0.0,0.008428502347778536
TNFRSF4,0.0004717346,1.2048261,0.0,0.0007185693690599396
SDF4,2.3198898,3.6185374,0.0,0.9974465931225228
B3GALT6,0.10919265,2.536591,0.0,0.15697351235803736
C1QTNF12,0.05640433,2.0553052,0.0,0.08292923221540811
UBE2J2,2.0725079,3.4750893,0.0,0.9946084700799465
SCNN1D,0.016700856,2.514777,0.0,0.025036945311899778
ACAP3,0.7045394,3.374916,0.0,0.7012242795099266
PUSL1,0.8227259,2.6641383,0.0,0.7744370076782978
INTS11,1.957659,3.5240297,0.0,0.992737478137866
CPTP,0.6094945,2.720295,0.0,0.6504273002128592
TAS1R3,0.0015036713,1.3071065,0.0,0.002133111586140198
DVL1,1.1048213,2.9855692,0.0,0.8770206938939681
MXRA8,0.44420227,3.420523,0.0,0.4897344004917003
AURKAIP1,1.4196709,3.1567695,0.0,0.9488957080167937
CCNL2,2.5044968,4.417841,0.0,0.9978216953717806
ANKRD65,0.0037846128,1.3258424,0.0,0.005689803997776502
TMEM88B,0.00019400656,1.2840208,0.0,0.0002711582524754489
VWA1,0.62916005,3.2774122,0.0,0.6527140681420689
ATAD3C,0.025970697,2.4548612,0.0,0.03789888508765191
ATAD3B,0.85621345,2.8379545,0.0,0.7834304230520669
ATAD3A,1.5308983,3.0069342,0.0,0.9627157402846258
TMEM240,0.3535793,2.8400831,0.0,0.42496373258373143
SSU72,2.5615873,3.8112094,0.0,0.9996610521844057
FNDC10,0.3802721,2.5764222,0.0,0.4581037903404392
MIB2,0.4272207,2.8850896,0.0,0.503934054312998
MMP23B,0.24375662,2.8281403,0.0,0.3030193471413141
CDK11B,1.2303314,3.6217012,0.0,0.9198456205682574
CDK11A,0.19206521,2.1241398,0.0,0.26329918245786876
NADK,1.3689896,2.9979024,0.0,0.9438431259123345
GNB1,1.5195445,3.528083,0.0,0.962878435236111
CALML6,0.037292264,1.8225586,0.0,0.053739046336426045
TMEM52,0.41211686,2.4030457,0.0,0.4871855129184311
CFAP74,0.012537084,2.4206061,0.0,0.018908768805954636
GABRD,0.11628729,2.2022858,0.0,0.1617187817763577
PRKCZ,1.0576997,3.7380464,0.0,0.8576961491008844
FAAP20,0.84624237,2.9789252,0.0,0.7836744654792948
SKI,2.544027,3.9638793,0.0,0.9993311429772272
RER1,2.647066,3.9195232,0.0,0.9996746100970295
PEX10,0.9872453,2.8427613,0.0,0.8435642848427056
PLCH2,0.0011850582,1.4032743,0.0,0.00183031820420928
PANK4,0.8723071,2.9047801,0.0,0.7984209551097513
HES5,0.00039607708,1.2357953,0.0,0.0006191446764856083
TNFRSF14,0.0014253523,1.3040149,0.0,0.002196381845051136
PRXL2B,0.4498867,2.3619244,0.0,0.5260696063234105
MMEL1,0.008763067,1.4086424,0.0,0.013386179063871326
ACTRT2,0.00046429248,1.2404078,0.0,0.0006914535438123946
PRDM16,0.006071049,1.4680802,0.0,0.009395633448274304
ARHGEF16,0.49103847,2.4338503,0.0,0.5607326695981887
MEGF6,0.48913372,2.9164088,0.0,0.5334993424412378
TPRG1L,1.0213486,3.03718,0.0,0.8520831732746427
WRAP73,0.4568137,2.5271034,0.0,0.5299878430716807
TP73,0.14292929,2.17708,0.0,0.19685637199296796
CCDC27,0.0026504204,1.9215101,0.0,0.0039001595314385397
SMIM1,0.05567505,2.1155658,0.0,0.08112602983644639
LRRC47,2.1545296,3.6994178,0.0,0.9966557148861361
CEP104,0.97934014,2.8208237,0.0,0.8420729144540906
DFFB,0.095740035,1.985856,0.0,0.137929164425845
C1orf174,1.6354929,3.2911932,0.0,0.9674564903987382
AJAP1,0.4680697,2.8561597,0.0,0.5131579542013711
NPHP4,0.29388726,2.4564645,0.0,0.37640380886958646
KCNAB2,0.34540856,2.5345492,0.0,0.4166843672748144
CHD5,0.050039202,2.0854156,0.0,0.07242636923619239
RNF207,0.010231895,1.3632747,0.0,0.01578592959827905
ICMT,2.6284764,4.000071,0.0,0.9994396062782174
HES3,0.0002823714,1.2781849,0.0,0.0004428918123765665
GPR153,0.10638365,2.057566,0.0,0.14965675884540816
ACOT7,1.898733,3.2847872,0.0,0.9869708459685547
HES2,0.0042965845,1.5240244,0.0,0.006376738237380973
ESPN,0.0007377148,1.321302,0.0,0.0010575171846542507
TNFRSF25,0.3695519,2.761907,0.0,0.4423314186547839
PLEKHG5,0.6715753,3.07517,0.0,0.6692592408472792
NOL9,0.90040773,2.7412348,0.0,0.8102208583966413
TAS1R1,0.0027828764,1.7862854,0.0,0.0039317946608940085
ZBTB48,0.5690378,2.6611166,0.0,0.6229499306286804
KLHL21,1.1800016,3.4650152,0.0,0.883695706209072
PHF13,1.5490924,3.3329577,0.0,0.9661730080036878
THAP3,0.5359998,2.9764872,0.0,0.591870675590786
DNAJC11,2.6582546,3.8078384,0.0,0.9995571081876234
CAMTA1,2.649359,4.441761,0.0,0.9997966313106434
VAMP3,1.467008,3.2754564,0.0,0.9593262621286827
PER3,0.39442676,2.6875947,0.0,0.45847437328548896
UTS2,0.0016229415,1.9496717,0.0,0.00238619262178395
TNFRSF9,0.0011922633,1.5767217,0.0,0.0017354128158428728
ERRFI1,1.634792,3.8607116,0.0,0.9489815747967443
SLC45A1,0.108646356,2.0198812,0.0,0.15361566933154971
RERE,2.8872275,3.9980967,0.0,0.9998553822653464
ENO1,3.973,5.3560596,1.7583861,1.0
CA6,0.00049401354,2.7149992,0.0,0.0007185693690599396
SLC2A7,7.329634e-05,1.651287,0.0,9.942469257433126e-05
SLC2A5,0.005727964,1.7285848,0.0,0.008428502347778536
GPR157,0.065492816,2.3024683,0.0,0.09373940788076268
H6PD,0.09005756,1.9969844,0.0,0.1272952416245995
SPSB1,0.3925354,3.0379155,0.0,0.45493123878647646
SLC25A33,2.0570726,3.5006673,0.0,0.9935328756784605
TMEM201,1.6461906,3.3400648,0.0,0.9740004428918124
