batch,cell_n
Flex_1_01,2408
Flex_1_02,2357
Flex_1_03,2382
Flex_1_04,2467
Flex_1_05,2491
Flex_1_06,2513
Flex_1_07,2391
Flex_1_08,2457
Flex_1_09,2241
Flex_1_10,2496
Flex_1_11,2438
Flex_1_12,2401
Flex_1_13,2602
Flex_1_14,2430
Flex_1_15,2553
Flex_1_16,2312
Flex_2_01,2463
Flex_2_02,2415
Flex_2_03,2494
Flex_2_04,2531
Flex_2_05,2499
Flex_2_06,2580
Flex_2_07,2468
Flex_2_08,2490
Flex_2_09,2446
Flex_2_10,2538
Flex_2_11,2556
Flex_2_12,2290
Flex_2_13,2578
Flex_2_14,2514
Flex_2_15,2560
Flex_2_16,2485
Flex_3_01,2539
Flex_3_02,2698
Flex_3_03,2669
Flex_3_04,2689
Flex_3_05,2683
Flex_3_06,2756
Flex_3_07,2724
Flex_3_08,2747
Flex_3_09,2610
Flex_3_10,2821
Flex_3_11,2772
Flex_3_12,2508
Flex_3_13,2788
Flex_3_14,2748
Flex_3_15,2773
Flex_3_16,2604
