target_gene,cell_n
AKT2,938
ARID1A,1256
ATM,455
CALM3,681
CAMSAP2,1750
CASP2,1590
CASP3,1037
CAST,2252
CDCA2,1717
CLDN6,864
DLG5,864
DNAJA3,65
DNMT1,893
DZIP3,447
EIF4B,1585
ETV4,263
GSK3B,1059
HSBP1,166
IKBKG,790
IRF3,985
KDM2B,2142
KIF1B,2407
LAD1,1361
LRPPRC,1053
MAP1B,784
MAPKAPK2,2196
MAU2,1021
MED1,407
MED12,2766
METTL3,498
MKI67,968
MTA1,1434
NCK2,2929
NIT1,1287
NREP,352
OXCT1,740
PAGR1,1953
PBX1,2313
PHF10,450
PMEL,356
PRDM14,359
PTPN1,2195
RAF1,791
RNF20,47
RRM1,638
SAFB,827
SALL4,180
SDC1,215
SEC62,286
SHPRH,241
SIX4,642
SLC25A3,805
SMAGP,788
SOX2,806
SSBP1,905
STAT6,858
STX4,1249
SUPT4H1,364
SV2A,580
TAF13,138
TARBP2,2032
TAZ,749
TET1,2428
TFAM,1105
TGFBR2,1474
TMSB4X,4760
TRAM2,1756
TWF2,1008
TXNDC9,514
UBE3C,1590
USP22,2491
WFS1,2043
XRCC4,591
ZNF562,418
ZNF714,852
non-targeting,38176
