gene,mean,max,min,nonzero_fraction
SAMD11,0.00025869266,1.269159,0.0,0.0003853248616519779
NOC2L,0.6981844,2.6520689,0.0,0.7038327526132404
KLHL17,0.15900321,2.300128,0.0,0.21809387169501948
PLEKHN1,0.055315014,1.8904095,0.0,0.0781635581061693
PERM1,0.0001185892,1.0260935,0.0,0.0001803648288583726
HES4,0.006821872,1.5551058,0.0,0.010084033613445379
ISG15,0.7204594,3.3129435,0.0,0.6972166427546629
AGRN,1.8860216,3.9616427,0.0,0.986923549907768
RNF223,7.342663e-05,1.0145612,0.0,0.00010657921705267473
C1orf159,0.2448942,2.1343505,0.0,0.3246894855503177
TTLL10,0.07503238,2.3852105,0.0,0.1073170731707317
TNFRSF18,0.0054966663,1.3152784,0.0,0.008403361344537815
TNFRSF4,0.00045168135,1.2048261,0.0,0.000705062512810002
SDF4,2.3189538,3.6147358,0.0,0.997466693994671
B3GALT6,0.10865225,1.9982442,0.0,0.15628612420577986
C1QTNF12,0.056814596,1.8156006,0.0,0.08321377331420372
UBE2J2,2.0708616,3.4750893,0.0,0.9946628407460545
SCNN1D,0.01670401,2.514777,0.0,0.024939536790325886
ACAP3,0.70338684,3.374916,0.0,0.7021602787456446
PUSL1,0.82267666,2.6574953,0.0,0.7738634966181595
INTS11,1.9604149,3.5240297,0.0,0.9926050420168068
CPTP,0.6056821,2.5249245,0.0,0.6477146956343514
TAS1R3,0.0014785071,1.3019874,0.0,0.002115187538430006
DVL1,1.1006361,2.8391454,0.0,0.8761385529821685
MXRA8,0.44770172,3.420523,0.0,0.4953310104529617
AURKAIP1,1.416703,3.1567695,0.0,0.9485386349661816
CCNL2,2.507554,4.417841,0.0,0.9978438204550113
ANKRD65,0.0037067165,1.2658262,0.0,0.005566714490674318
TMEM88B,0.00020370368,1.2840208,0.0,0.00027054724328755893
VWA1,0.6290818,3.2774122,0.0,0.6535191637630662
ATAD3C,0.02637095,2.4548612,0.0,0.038573478171756506
ATAD3B,0.85839933,2.78658,0.0,0.7849723303955729
ATAD3A,1.534776,3.0069342,0.0,0.9630170116827219
TMEM240,0.3518858,2.8400831,0.0,0.42422627587620415
SSU72,2.5595114,3.8112094,0.0,0.9996310719409716
FNDC10,0.3737574,2.5764222,0.0,0.45251076040172167
MIB2,0.42778546,2.8850896,0.0,0.504709981553597
MMP23B,0.24619341,2.8281403,0.0,0.30602172576347614
CDK11B,1.2305042,3.6217012,0.0,0.9205492928878869
CDK11A,0.19088288,2.0387714,0.0,0.2622832547653208
NADK,1.3742609,2.9979024,0.0,0.9452838696454191
GNB1,1.5148263,3.528083,0.0,0.9621971715515475
CALML6,0.03723304,1.8225586,0.0,0.05365853658536585
TMEM52,0.40938953,2.4030457,0.0,0.4857388809182209
CFAP74,0.0125271175,2.4206061,0.0,0.01884812461569994
GABRD,0.11619009,2.1461368,0.0,0.16194302111088338
PRKCZ,1.0601639,3.7380464,0.0,0.8577003484320558
FAAP20,0.84326625,2.9110558,0.0,0.7823734371797499
SKI,2.5423076,3.7399325,0.0,0.9993933183029309
RER1,2.6484225,3.9195232,0.0,0.9997294527567124
PEX10,0.9858163,2.8321743,0.0,0.8428612420577988
PLCH2,0.0012175958,1.2191237,0.0,0.0018938307030129124
PANK4,0.8703166,2.9047801,0.0,0.7977372412379586
HES5,0.00036062385,1.0591488,0.0,0.0005902848944455831
TNFRSF14,0.001338413,1.250014,0.0,0.002074195531871285
PRXL2B,0.45287526,2.3619244,0.0,0.5290592334494774
MMEL1,0.008406519,1.4086424,0.0,0.012896085263373642
ACTRT2,0.00041216172,1.2404078,0.0,0.0006066816970690715
PRDM16,0.006073334,1.4516069,0.0,0.009419963107194097
ARHGEF16,0.48550928,2.4338503,0.0,0.5558926009428161
MEGF6,0.4927096,2.9164088,0.0,0.5372248411559746
TPRG1L,1.016865,3.03718,0.0,0.8512072145931543
WRAP73,0.45472574,2.5271034,0.0,0.5279934412789506
TP73,0.14127174,2.1232421,0.0,0.19526132404181185
CCDC27,0.0027168111,1.8379245,0.0,0.004009018241442918
SMIM1,0.055746414,2.1155658,0.0,0.08118056978889117
LRRC47,2.1552894,3.5368834,0.0,0.9968026234884197
CEP104,0.9809105,2.7478042,0.0,0.8429596228735396
DFFB,0.096055724,1.869204,0.0,0.1385447837671654
C1orf174,1.6279024,3.2567954,0.0,0.9672145931543349
AJAP1,0.46539858,2.6589375,0.0,0.5128263988522238
NPHP4,0.29380518,2.4564645,0.0,0.37634761221561797
KCNAB2,0.343714,2.3970861,0.0,0.41646238983398237
CHD5,0.048971314,2.0854156,0.0,0.07085058413609346
RNF207,0.010180044,1.3416705,0.0,0.015593359294937487
ICMT,2.6284328,4.000071,0.0,0.9994343103094897
HES3,0.00022756268,1.2781849,0.0,0.0003443328550932568
GPR153,0.105481654,2.057566,0.0,0.14876819020291043
ACOT7,1.9005693,3.2847872,0.0,0.9871449067431851
HES2,0.0042538415,1.5240244,0.0,0.00632916581266653
ESPN,0.00072299776,1.321302,0.0,0.0010411969665915146
TNFRSF25,0.36995667,2.4342554,0.0,0.44240213158434105
PLEKHG5,0.66891766,2.984935,0.0,0.6679401516704243
NOL9,0.90115225,2.7082176,0.0,0.8100922320147571
TAS1R1,0.0029555617,1.2838982,0.0,0.004140192662430826
ZBTB48,0.5691354,2.6611166,0.0,0.6237753638040582
KLHL21,1.1880116,3.3830628,0.0,0.8859766345562615
PHF13,1.5531526,3.156317,0.0,0.9674195531871285
THAP3,0.53281826,2.6797967,0.0,0.5897601967616315
DNAJC11,2.658141,3.7690892,0.0,0.999581881533101
CAMTA1,2.6490364,3.8630385,0.0,0.9997540479606477
VAMP3,1.4685557,3.2754564,0.0,0.959680262348842
PER3,0.38742137,2.6671088,0.0,0.45315023570403773
UTS2,0.0015454356,1.9496717,0.0,0.0022545603607296576
TNFRSF9,0.0012617591,1.5767217,0.0,0.001836441893830703
ERRFI1,1.6361781,3.5798407,0.0,0.9492273006763681
SLC45A1,0.10933763,2.0198812,0.0,0.15465464234474277
RERE,2.8857088,3.9980967,0.0,0.9998770239803239
ENO1,3.9782507,5.3420324,1.7583861,1.0
CA6,0.0004925441,2.7149992,0.0,0.0007296577167452347
SLC2A7,6.7441215e-05,0.88370883,0.0,9.838081574093052e-05
SLC2A5,0.0061354167,1.7285848,0.0,0.00901824144291863
GPR157,0.06476286,2.3024683,0.0,0.09283869645419143
H6PD,0.08894683,1.9969844,0.0,0.12614880098380815
SPSB1,0.39081982,3.0379155,0.0,0.45349456855913095
SLC25A33,2.0610425,3.4558945,0.0,0.9938184054109449
TMEM201,1.6512604,3.3400648,0.0,0.974650543144087
PIK3CD,0.82929224,3.1871843,0.0,0.7496946095511375
CLSTN1,1.6686226,3.5231698,0.0,0.9783890141422422
CTNNBIP1,1.7220753,3.528485,0.0,0.9796023775363804
LZIC,1.8263178,3.4210901,0.0,0.9841852838696454
NMNAT1,0.40924546,2.483802,0.0,0.4720311539249846
RBP7,0.26391748,2.9666436,0.0,0.32421397827423654
UBE4B,1.2687322,3.1465917,0.0,0.9255339208854273
KIF1B,2.5591118,4.114606,0.0,0.9861119081779053
PGD,1.5651182,3.2513075,0.0,0.9643205574912892
CENPS,1.2104534,2.9602926,0.0,0.9071695019471203
CORT,0.013691993,1.6200879,0.0,0.020323836851813895
DFFA,2.3306658,3.7742481,0.0,0.9980897724943636
PEX14,0.58336514,2.5568476,0.0,0.6288501742160278
CASZ1,0.39998624,2.3832822,0.0,0.4648165607706497
C1orf127,0.011553107,1.6155498,0.0,0.01731502357040377
MASP2,0.026355654,2.0051248,0.0,0.034810411969665916
SRM,3.3600395,4.2531805,0.0,0.9999590079934413
EXOSC10,1.8616041,4.3081427,0.0,0.9900143472022955
MTOR,1.9653282,3.3564582,0.0,0.9927526132404181
ANGPTL7,8.3592895e-05,2.1233022,0.0,9.01824144291863e-05
UBIAD1,0.2675886,2.1554272,0.0,0.34757942201270753
DISP3,0.17126666,2.1342287,0.0,0.23308874769419963
FBXO2,1.0154501,3.0942972,0.0,0.8406968641114982
FBXO44,0.6837428,2.5836432,0.0,0.6940848534535765
FBXO6,0.014292884,1.6030875,0.0,0.021119081779053084
MAD2L2,4.0799994,4.9835744,2.1494837,1.0
DRAXIN,1.4124155,3.2423196,0.0,0.9403566304570609
AGTRAP,2.1616411,3.550201,0.0,0.9968190202910433
C1orf167,0.03296664,1.7612062,0.0,0.04876409100225456
MTHFR,0.89033294,3.0184808,0.0,0.7900717360114777
CLCN6,0.9955318,3.06771,0.0,0.8335806517729043
NPPA,4.6600413e-05,0.8652445,0.0,7.378561180569789e-05
NPPB,0.0008020412,2.3335562,0.0,0.0010084033613445378
KIAA2013,1.5584219,3.2145677,0.0,0.9702398032383686
PLOD1,1.0865432,2.955774,0.0,0.8728509940561591
MFN2,1.0148873,2.7536244,0.0,0.8573478171756508
MIIP,0.973749,2.813281,0.0,0.8351957368313179
TNFRSF8,0.48986775,2.4395466,0.0,0.5481861037097766
TNFRSF1B,0.05102886,2.0235007,0.0,0.07403156384505022
VPS13D,0.80203223,2.7177196,0.0,0.7597376511580242
DHRS3,0.8292733,2.8599007,0.0,0.7552859192457471
AADACL4,0.00070129894,1.2174904,0.0,0.0010903873744619798
AADACL3,0.024276234,2.3467565,0.0,0.034794015167042426
C1orf158,0.00094959134,1.9081582,0.0,0.0013937282229965157
PRAMEF12,0.00023122043,4.573235,0.0,0.00030334084853453575
PRAMEF1,9.054163e-05,2.4281168,0.0,0.00010657921705267473
PRAMEF11,7.729332e-05,1.0242436,0.0,0.00010657921705267473
PRAMEF2,2.3136277e-05,0.85764784,0.0,3.279360524697684e-05
PRAMEF10,8.256179e-05,0.8621975,0.0,0.00013117442098790736
PRAMEF6,0.0,0.0,0.0,0.0
PRAMEF27,3.301446e-05,0.7484183,0.0,4.919040787046526e-05
HNRNPCL2,1.1446156e-05,0.83734673,0.0,1.639680262348842e-05
PRAMEF13,2.6057396e-05,1.5600574,0.0,2.459520393523263e-05
PRAMEF18,5.2291623e-05,1.0242436,0.0,6.558721049395368e-05
PRAMEF15,2.3358683e-05,0.7938583,0.0,3.279360524697684e-05
PRAMEF14,0.00014572304,0.92231476,0.0,0.00021315843410534945
PRAMEF19,4.0023308e-05,0.80527353,0.0,5.738880918220947e-05
PRAMEF20,2.4594496e-05,0.79930425,0.0,3.279360524697684e-05
LRRC38,0.025676206,1.9055195,0.0,0.038311129329780695
PDPN,2.813181,4.3640304,0.0,0.999360524697684
PRDM2,0.45881528,2.5477948,0.0,0.5359704857552777
KAZN,0.4888825,2.587802,0.0,0.5427915556466489
TMEM51,0.28385413,2.2629077,0.0,0.36769829883172783
FHAD1,0.07397806,2.397929,0.0,0.10635786021725764
EFHD2,1.5973878,3.2741356,0.0,0.9655339208854273
CTRC,0.0015636028,1.3958294,0.0,0.002344742775158844
CELA2A,6.095374e-05,0.96293306,0.0,9.838081574093052e-05
CELA2B,0.00051947567,1.2784797,0.0,0.0007788481246157
CASP9,0.6880381,2.6106179,0.0,0.7012912482065997
DNAJC16,0.29809928,2.177037,0.0,0.38183234269317484
AGMAT,0.8345917,2.7752032,0.0,0.7652551752408281
DDI2,1.3724455,3.0722241,0.0,0.9389055134248822
PLEKHM2,0.8298943,2.8799973,0.0,0.7788645214183234
SLC25A34,0.013081194,1.7152033,0.0,0.01912687026029924
TMEM82,0.019676413,1.7194453,0.0,0.029497847919655668
FBLIM1,0.7711804,2.8300068,0.0,0.7379708956753434
UQCRHL,0.015135528,1.8516678,0.0,0.02161918425906948
SPEN,1.751121,3.330873,0.0,0.9829555236728837
ZBTB17,0.73597455,2.792434,0.0,0.7246156999385119
SRARP,0.0024629678,2.530764,0.0,0.0035745029719204753
HSPB7,0.004870313,1.7449834,0.0,0.007345767575322812
CLCNKA,0.017177809,1.6927499,0.0,0.02584136093461775
CLCNKB,0.012702125,1.3134872,0.0,0.019208854273416683
FAM131C,0.005290177,1.4313873,0.0,0.007936052469768395
EPHA2,1.3588779,4.5054297,0.0,0.9263865546218487
ARHGEF19,0.63568443,2.6807358,0.0,0.6649723303955729
CPLANE2,0.08044292,1.9825274,0.0,0.11803238368518139
FBXO42,1.1849982,3.1779795,0.0,0.9055954088952655
SZRD1,2.0887945,3.4455373,0.0,0.9957204345152695
SPATA21,0.0033563422,1.502309,0.0,0.005140397622463619
NECAP2,1.0784819,2.8368168,0.0,0.862660381225661
NBPF1,0.031147003,1.8091577,0.0,0.04685386349661816
CROCC,0.9933445,3.514736,0.0,0.8391063742570198
MFAP2,3.361252,4.631024,0.0,0.9999918015986883
ATP13A2,0.63717556,2.5726407,0.0,0.6697519983603197
SDHB,2.457495,3.7776005,0.0,0.9988358270137323
PADI2,0.3102228,3.0619025,0.0,0.37191227710596436
PADI1,0.014998945,1.8274424,0.0,0.022316048370567738
PADI3,0.022748146,1.6762812,0.0,0.034654642344742775
PADI4,0.0038826105,1.2869701,0.0,0.005927444148391064
PADI6,0.00073602726,1.3597716,0.0,0.0011231809797089569
RCC2,1.9244846,3.4578083,0.0,0.9891863086698094
ARHGEF10L,0.92441297,2.9561346,0.0,0.8094527567124411
ACTL8,0.25533414,2.5051768,0.0,0.31385939741750357
IGSF21,1.3094866,3.297548,0.0,0.9109981553597049
KLHDC7A,0.6941169,3.6198518,0.0,0.6667103914736626
PAX7,0.0027237749,3.216186,0.0,0.004058208649313384
TAS1R2,7.566634e-05,1.0249656,0.0,0.00010657921705267473
ALDH4A1,0.75832343,2.6568894,0.0,0.7460463209674113
IFFO2,0.5433265,2.8011198,0.0,0.5895634351301496
