drug,target_gene,label,cell_line_id
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0023
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0069
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0099
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0131
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0152
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0179
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0292
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0293
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0320
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0359
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0366
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0371
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0397
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0399
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0428
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0459
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0480
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_0546
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1055
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1056
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1119
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1239
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1285
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1381
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1478
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1495
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1531
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1547
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1550
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1577
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1635
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1715
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1717
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1724
(R)-Verapamil (hydrochloride),ABCB1,0,CVCL_1731
Adagrasib,KRAS,135,CVCL_0069
Adagrasib,KRAS,135,CVCL_0099
Adagrasib,KRAS,135,CVCL_0131
Adagrasib,KRAS,135,CVCL_0152
Adagrasib,KRAS,135,CVCL_0179
Adagrasib,KRAS,135,CVCL_0292
Adagrasib,KRAS,135,CVCL_0293
Adagrasib,KRAS,135,CVCL_0332
Adagrasib,KRAS,135,CVCL_0359
Adagrasib,KRAS,135,CVCL_0366
Adagrasib,KRAS,135,CVCL_0371
Adagrasib,KRAS,135,CVCL_0397
Adagrasib,KRAS,135,CVCL_0399
Adagrasib,KRAS,135,CVCL_0428
Adagrasib,KRAS,135,CVCL_0459
Adagrasib,KRAS,135,CVCL_0480
Adagrasib,KRAS,135,CVCL_0504
Adagrasib,KRAS,135,CVCL_0546
Adagrasib,KRAS,135,CVCL_1055
Adagrasib,KRAS,135,CVCL_1056
Adagrasib,KRAS,135,CVCL_1097
Adagrasib,KRAS,135,CVCL_1119
Adagrasib,KRAS,135,CVCL_1239
Adagrasib,KRAS,135,CVCL_1285
Adagrasib,KRAS,135,CVCL_1381
Adagrasib,KRAS,135,CVCL_1478
Adagrasib,KRAS,135,CVCL_1495
Adagrasib,KRAS,135,CVCL_1531
Adagrasib,KRAS,135,CVCL_1547
Adagrasib,KRAS,135,CVCL_1550
Adagrasib,KRAS,135,CVCL_1577
Adagrasib,KRAS,135,CVCL_1635
Adagrasib,KRAS,135,CVCL_1715
Adagrasib,KRAS,135,CVCL_1716
Adagrasib,KRAS,135,CVCL_1717
Adagrasib,KRAS,135,CVCL_1724
Adagrasib,KRAS,135,CVCL_1731
Adagrasib,KRAS,135,CVCL_C466
Adenosine,ADORA1,5,CVCL_0023
Adenosine,ADORA2A,6,CVCL_0023
Adenosine,ADORA2B,7,CVCL_0023
