drug,cell_line_id,n_cells,target_genes,gene_ranks,n_in_top5,n_in_top10,n_in_top50,n_in_top100,best_rank
(R)-Verapamil (hydrochloride),CVCL_0480,3095,ABCB1,{'ABCB1': 10231},0,0,0,0,10231
(R)-Verapamil (hydrochloride),CVCL_1550,1685,ABCB1,{'ABCB1': 4186},0,0,0,0,4186
(R)-Verapamil (hydrochloride),CVCL_1717,1444,ABCB1,{'ABCB1': 4279},0,0,0,0,4279
(R)-Verapamil (hydrochloride),CVCL_0359,52,ABCB1,{'ABCB1': 4287},0,0,0,0,4287
(R)-Verapamil (hydrochloride),CVCL_1055,1400,ABCB1,{'ABCB1': 4385},0,0,0,0,4385
(R)-Verapamil (hydrochloride),CVCL_0131,495,ABCB1,{'ABCB1': 3374},0,0,0,0,3374
(R)-Verapamil (hydrochloride),CVCL_1547,1849,ABCB1,{'ABCB1': 5723},0,0,0,0,5723
(R)-Verapamil (hydrochloride),CVCL_0371,1804,ABCB1,{'ABCB1': 4698},0,0,0,0,4698
(R)-Verapamil (hydrochloride),CVCL_0293,1018,ABCB1,{'ABCB1': 1720},0,0,0,0,1720
(R)-Verapamil (hydrochloride),CVCL_0397,377,ABCB1,{'ABCB1': 4703},0,0,0,0,4703
(R)-Verapamil (hydrochloride),CVCL_0459,175,ABCB1,{'ABCB1': 6324},0,0,0,0,6324
(R)-Verapamil (hydrochloride),CVCL_1119,1320,ABCB1,{'ABCB1': 7137},0,0,0,0,7137
(R)-Verapamil (hydrochloride),CVCL_0399,22,ABCB1,{'ABCB1': 5034},0,0,0,0,5034
(R)-Verapamil (hydrochloride),CVCL_0292,546,ABCB1,{'ABCB1': 3638},0,0,0,0,3638
(R)-Verapamil (hydrochloride),CVCL_1285,92,ABCB1,{'ABCB1': 3431},0,0,0,0,3431
(R)-Verapamil (hydrochloride),CVCL_1635,1137,ABCB1,{'ABCB1': 3368},0,0,0,0,3368
(R)-Verapamil (hydrochloride),CVCL_0366,966,ABCB1,{'ABCB1': 3359},0,0,0,0,3359
(R)-Verapamil (hydrochloride),CVCL_0428,219,ABCB1,{'ABCB1': 4552},0,0,0,0,4552
(R)-Verapamil (hydrochloride),CVCL_1495,1510,ABCB1,{'ABCB1': 5990},0,0,0,0,5990
(R)-Verapamil (hydrochloride),CVCL_1478,27,ABCB1,{'ABCB1': 4603},0,0,0,0,4603
(R)-Verapamil (hydrochloride),CVCL_0069,357,ABCB1,{'ABCB1': 4792},0,0,0,0,4792
(R)-Verapamil (hydrochloride),CVCL_1724,76,ABCB1,{'ABCB1': 2395},0,0,0,0,2395
(R)-Verapamil (hydrochloride),CVCL_1056,1,ABCB1,{'ABCB1': 11288},0,0,0,0,11288
(R)-Verapamil (hydrochloride),CVCL_1577,124,ABCB1,{'ABCB1': 9624},0,0,0,0,9624
