drug,cell_line_id,n_rows,target_genes,gene_ranks,best_rank,n_in_top5,n_in_top10,n_in_top50,n_in_top100
Berbamine,CVCL_1550,1549,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_1547,1804,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0069,401,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0480,2953,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0293,1086,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_1717,1525,CACNA1C,{'CACNA1C': 16632},16632.0,0,0,0,0
Berbamine,CVCL_1635,1168,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0131,439,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0292,425,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0371,1746,CACNA1C,{'CACNA1C': 15280},15280.0,0,0,0,0
Berbamine,CVCL_1495,1451,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_1119,1352,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0366,1067,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0397,410,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_1285,102,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_1055,1460,CACNA1C,{'CACNA1C': 18026},18026.0,0,0,0,0
Berbamine,CVCL_1478,36,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0428,293,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0359,75,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Berbamine,CVCL_0459,196,CACNA1C,{'CACNA1C': inf},inf,0,0,0,0
Retinoic acid,CVCL_1055,5132,"PPARD,RARA,RARB,RARG","{'PPARD': 1230, 'RARA': inf, 'RARB': 14316, 'RARG': inf}",1230.0,0,0,0,0
Retinoic acid,CVCL_1550,6432,"PPARD,RARA,RARB,RARG","{'PPARD': 4594, 'RARA': inf, 'RARB': 16693, 'RARG': inf}",4594.0,0,0,0,0
Retinoic acid,CVCL_0480,10856,"PPARD,RARA,RARB,RARG","{'PPARD': 1970, 'RARA': inf, 'RARB': 12805, 'RARG': inf}",1970.0,0,0,0,0
Retinoic acid,CVCL_0371,7604,"PPARD,RARA,RARB,RARG","{'PPARD': 1678, 'RARA': inf, 'RARB': 10381, 'RARG': 18245}",1678.0,0,0,0,0
