cell_line_id,drug,target_gene,target_token,target_rank,n_cells,top5,top10,top50,top100
CVCL_1550,Berbamine,CACNA1C,9354,,124401,False,False,False,False
CVCL_1547,Berbamine,CACNA1C,9354,,114267,False,False,False,False
CVCL_0069,Berbamine,CACNA1C,9354,,18648,False,False,False,False
CVCL_0480,Berbamine,CACNA1C,9354,,218272,False,False,False,False
CVCL_0293,Berbamine,CACNA1C,9354,,67830,False,False,False,False
CVCL_1717,Berbamine,CACNA1C,9354,,106096,False,False,False,False
CVCL_1635,Berbamine,CACNA1C,9354,,61329,False,False,False,False
CVCL_0131,Berbamine,CACNA1C,9354,,25184,False,False,False,False
CVCL_0292,Berbamine,CACNA1C,9354,,11221,False,False,False,False
CVCL_0371,Berbamine,CACNA1C,9354,,112740,False,False,False,False
CVCL_1495,Berbamine,CACNA1C,9354,,63813,False,False,False,False
CVCL_1119,Berbamine,CACNA1C,9354,,65329,False,False,False,False
CVCL_0366,Berbamine,CACNA1C,9354,,70961,False,False,False,False
CVCL_0397,Berbamine,CACNA1C,9354,,22588,False,False,False,False
CVCL_1285,Berbamine,CACNA1C,9354,,4800,False,False,False,False
CVCL_1055,Berbamine,CACNA1C,9354,,115558,False,False,False,False
CVCL_1478,Berbamine,CACNA1C,9354,,2292,False,False,False,False
CVCL_0428,Berbamine,CACNA1C,9354,,20742,False,False,False,False
CVCL_0359,Berbamine,CACNA1C,9354,,3608,False,False,False,False
CVCL_0459,Berbamine,CACNA1C,9354,,3741,False,False,False,False
CVCL_1055,Retinoic acid,RARB,1369,4596.0,440836,False,False,False,False
CVCL_1550,Retinoic acid,RARB,1369,,667584,False,False,False,False
CVCL_0480,Retinoic acid,RARB,1369,5390.0,955984,False,False,False,False
CVCL_0371,Retinoic acid,RARB,1369,4327.0,485852,False,False,False,False
CVCL_0397,Retinoic acid,RARB,1369,,65148,False,False,False,False
CVCL_1717,Retinoic acid,RARB,1369,,527956,False,False,False,False
CVCL_0131,Retinoic acid,RARB,1369,,53460,False,False,False,False
CVCL_0293,Retinoic acid,RARB,1369,,267376,False,False,False,False
CVCL_0428,Retinoic acid,RARB,1369,,71336,False,False,False,False
CVCL_1635,Retinoic acid,RARB,1369,,401136,False,False,False,False
CVCL_1547,Retinoic acid,RARB,1369,,524864,False,False,False,False
CVCL_1119,Retinoic acid,RARB,1369,,413140,False,False,False,False
CVCL_0292,Retinoic acid,RARB,1369,,42276,False,False,False,False
CVCL_0366,Retinoic acid,RARB,1369,,248904,False,False,False,False
CVCL_1715,Retinoic acid,RARB,1369,,33096,False,False,False,False
CVCL_1577,Retinoic acid,RARB,1369,,42596,False,False,False,False
CVCL_1495,Retinoic acid,RARB,1369,,291220,False,False,False,False
CVCL_0459,Retinoic acid,RARB,1369,,17912,False,False,False,False
CVCL_1724,Retinoic acid,RARB,1369,,17592,False,False,False,False
CVCL_1285,Retinoic acid,RARB,1369,,8412,False,False,False,False
CVCL_0069,Retinoic acid,RARB,1369,,23476,False,False,False,False
CVCL_1724,Pasireotide (acetate),SSTR1,7884,,17416,False,False,False,False
CVCL_1055,Pasireotide (acetate),SSTR1,7884,12181.0,440420,False,False,False,False
CVCL_1119,Pasireotide (acetate),SSTR1,7884,5088.0,335320,False,False,False,False
CVCL_1717,Pasireotide (acetate),SSTR1,7884,6211.0,506452,False,False,False,False
CVCL_0371,Pasireotide (acetate),SSTR1,7884,11443.0,388664,False,False,False,False
CVCL_1495,Pasireotide (acetate),SSTR1,7884,4884.0,347896,False,False,False,False
CVCL_1547,Pasireotide (acetate),SSTR1,7884,3607.0,419372,False,False,False,False
CVCL_1550,Pasireotide (acetate),SSTR1,7884,4891.0,632488,False,False,False,False
CVCL_0428,Pasireotide (acetate),SSTR1,7884,2797.0,61692,False,False,False,False
CVCL_0397,Pasireotide (acetate),SSTR1,7884,3365.0,90920,False,False,False,False
CVCL_0131,Pasireotide (acetate),SSTR1,7884,3357.0,87208,False,False,False,False
CVCL_0480,Pasireotide (acetate),SSTR1,7884,13328.0,906396,False,False,False,False
CVCL_0293,Pasireotide (acetate),SSTR1,7884,2347.0,262568,False,False,False,False
CVCL_0292,Pasireotide (acetate),SSTR1,7884,3090.0,72148,False,False,False,False
CVCL_1285,Pasireotide (acetate),SSTR1,7884,,14056,False,False,False,False
CVCL_1635,Pasireotide (acetate),SSTR1,7884,4865.0,326668,False,False,False,False
CVCL_0366,Pasireotide (acetate),SSTR1,7884,4162.0,212868,False,False,False,False
CVCL_0099,Pasireotide (acetate),SSTR1,7884,,4648,False,False,False,False
CVCL_1550,Palmatine (chloride),IDO1,6418,,159657,False,False,False,False
CVCL_1055,Palmatine (chloride),IDO1,6418,,133280,False,False,False,False
CVCL_0480,Palmatine (chloride),IDO1,6418,,218039,False,False,False,False
CVCL_0397,Palmatine (chloride),IDO1,6418,,30365,False,False,False,False
CVCL_1547,Palmatine (chloride),IDO1,6418,,101741,False,False,False,False
CVCL_1635,Palmatine (chloride),IDO1,6418,,66081,False,False,False,False
CVCL_0366,Palmatine (chloride),IDO1,6418,,66875,False,False,False,False
CVCL_0293,Palmatine (chloride),IDO1,6418,,85118,False,False,False,False
CVCL_1731,Palmatine (chloride),IDO1,6418,,554,False,False,False,False
CVCL_1119,Palmatine (chloride),IDO1,6418,,77217,False,False,False,False
CVCL_1495,Palmatine (chloride),IDO1,6418,,68509,False,False,False,False
CVCL_1717,Palmatine (chloride),IDO1,6418,,104868,False,False,False,False
CVCL_1478,Palmatine (chloride),IDO1,6418,,1732,False,False,False,False
CVCL_0131,Palmatine (chloride),IDO1,6418,,39414,False,False,False,False
CVCL_0428,Palmatine (chloride),IDO1,6418,,23997,False,False,False,False
CVCL_0459,Palmatine (chloride),IDO1,6418,,6949,False,False,False,False
CVCL_0371,Palmatine (chloride),IDO1,6418,,112563,False,False,False,False
CVCL_0069,Palmatine (chloride),IDO1,6418,,15025,False,False,False,False
CVCL_1577,Palmatine (chloride),IDO1,6418,,7567,False,False,False,False
CVCL_1531,Palmatine (chloride),IDO1,6418,,3603,False,False,False,False
CVCL_0292,Palmatine (chloride),IDO1,6418,,9295,False,False,False,False
CVCL_1285,Palmatine (chloride),IDO1,6418,,7904,False,False,False,False
CVCL_1119,Raltitrexed,TYMS,14155,,67696,False,False,False,False
CVCL_0371,Raltitrexed,TYMS,14155,,110162,False,False,False,False
CVCL_1055,Raltitrexed,TYMS,14155,,78207,False,False,False,False
CVCL_1495,Raltitrexed,TYMS,14155,,59043,False,False,False,False
CVCL_0293,Raltitrexed,TYMS,14155,,65800,False,False,False,False
CVCL_0366,Raltitrexed,TYMS,14155,,51665,False,False,False,False
CVCL_1285,Raltitrexed,TYMS,14155,,4918,False,False,False,False
CVCL_1724,Raltitrexed,TYMS,14155,,3825,False,False,False,False
CVCL_1550,Raltitrexed,TYMS,14155,,153340,False,False,False,False
CVCL_0131,Raltitrexed,TYMS,14155,,28650,False,False,False,False
CVCL_1717,Raltitrexed,TYMS,14155,,89216,False,False,False,False
CVCL_0397,Raltitrexed,TYMS,14155,,23988,False,False,False,False
CVCL_0459,Raltitrexed,TYMS,14155,,3190,False,False,False,False
CVCL_1547,Raltitrexed,TYMS,14155,,72628,False,False,False,False
CVCL_1635,Raltitrexed,TYMS,14155,,68001,False,False,False,False
CVCL_0480,Raltitrexed,TYMS,14155,,206255,False,False,False,False
CVCL_0292,Raltitrexed,TYMS,14155,,18562,False,False,False,False
CVCL_1531,Raltitrexed,TYMS,14155,,3024,False,False,False,False
CVCL_0359,Raltitrexed,TYMS,14155,,2925,False,False,False,False
CVCL_0152,Raltitrexed,TYMS,14155,,1037,False,False,False,False
CVCL_0428,Raltitrexed,TYMS,14155,,6346,False,False,False,False
CVCL_0069,Raltitrexed,TYMS,14155,,10391,False,False,False,False
CVCL_1715,Raltitrexed,TYMS,14155,,13450,False,False,False,False
CVCL_0366,Furosemide,SLC12A1,1279,,89328,False,False,False,False
CVCL_1119,Furosemide,SLC12A1,1279,,74390,False,False,False,False
CVCL_1055,Furosemide,SLC12A1,1279,,143760,False,False,False,False
CVCL_1635,Furosemide,SLC12A1,1279,,102424,False,False,False,False
CVCL_0459,Furosemide,SLC12A1,1279,,13440,False,False,False,False
CVCL_0480,Furosemide,SLC12A1,1279,,295150,False,False,False,False
CVCL_1717,Furosemide,SLC12A1,1279,,133890,False,False,False,False
CVCL_0131,Furosemide,SLC12A1,1279,,62230,False,False,False,False
CVCL_1547,Furosemide,SLC12A1,1279,,125300,False,False,False,False
CVCL_1550,Furosemide,SLC12A1,1279,,224168,False,False,False,False
CVCL_1724,Furosemide,SLC12A1,1279,,5520,False,False,False,False
CVCL_1495,Furosemide,SLC12A1,1279,,83054,False,False,False,False
CVCL_0292,Furosemide,SLC12A1,1279,,23610,False,False,False,False
CVCL_0069,Furosemide,SLC12A1,1279,,20830,False,False,False,False
CVCL_0371,Furosemide,SLC12A1,1279,,109000,False,False,False,False
CVCL_1381,Furosemide,SLC12A1,1279,,1254,False,False,False,False
CVCL_1577,Furosemide,SLC12A1,1279,,4292,False,False,False,False
CVCL_0428,Furosemide,SLC12A1,1279,,37958,False,False,False,False
CVCL_0293,Furosemide,SLC12A1,1279,,85636,False,False,False,False
CVCL_1731,Furosemide,SLC12A1,1279,,1018,False,False,False,False
CVCL_1715,Furosemide,SLC12A1,1279,,18120,False,False,False,False
CVCL_0359,Furosemide,SLC12A1,1279,,7480,False,False,False,False
CVCL_0293,Clotrimazole,CYP2A6,43035,,112754,False,False,False,False
CVCL_1495,Clotrimazole,CYP2A6,43035,,120798,False,False,False,False
CVCL_0131,Clotrimazole,CYP2A6,43035,,62388,False,False,False,False
CVCL_0480,Clotrimazole,CYP2A6,43035,,308162,False,False,False,False
CVCL_1717,Clotrimazole,CYP2A6,43035,,157822,False,False,False,False
CVCL_1550,Clotrimazole,CYP2A6,43035,,234124,False,False,False,False
CVCL_1055,Clotrimazole,CYP2A6,43035,,146562,False,False,False,False
CVCL_1119,Clotrimazole,CYP2A6,43035,,124592,False,False,False,False
CVCL_0399,Clotrimazole,CYP2A6,43035,,4578,False,False,False,False
CVCL_0371,Clotrimazole,CYP2A6,43035,,150828,False,False,False,False
CVCL_1635,Clotrimazole,CYP2A6,43035,,138086,False,False,False,False
CVCL_0366,Clotrimazole,CYP2A6,43035,,83688,False,False,False,False
CVCL_1715,Clotrimazole,CYP2A6,43035,,12164,False,False,False,False
CVCL_1547,Clotrimazole,CYP2A6,43035,,179912,False,False,False,False
CVCL_0459,Clotrimazole,CYP2A6,43035,,12924,False,False,False,False
CVCL_0069,Clotrimazole,CYP2A6,43035,,28348,False,False,False,False
CVCL_0292,Clotrimazole,CYP2A6,43035,,28574,False,False,False,False
CVCL_0397,Clotrimazole,CYP2A6,43035,,50012,False,False,False,False
CVCL_0428,Clotrimazole,CYP2A6,43035,,22060,False,False,False,False
CVCL_0359,Clotrimazole,CYP2A6,43035,,7434,False,False,False,False
CVCL_0366,Sodium Salicylate,PTGS2,1242,,58230,False,False,False,False
CVCL_1715,Sodium Salicylate,PTGS2,1242,,5659,False,False,False,False
CVCL_0371,Sodium Salicylate,PTGS2,1242,,117496,False,False,False,False
CVCL_1577,Sodium Salicylate,PTGS2,1242,,11436,False,False,False,False
CVCL_1635,Sodium Salicylate,PTGS2,1242,,60842,False,False,False,False
CVCL_1717,Sodium Salicylate,PTGS2,1242,,78089,False,False,False,False
CVCL_0480,Sodium Salicylate,PTGS2,1242,,136862,False,False,False,False
CVCL_0359,Sodium Salicylate,PTGS2,1242,,2037,False,False,False,False
CVCL_0292,Sodium Salicylate,PTGS2,1242,,14588,False,False,False,False
CVCL_1550,Sodium Salicylate,PTGS2,1242,,120524,False,False,False,False
CVCL_1547,Sodium Salicylate,PTGS2,1242,,92206,False,False,False,False
CVCL_0293,Sodium Salicylate,PTGS2,1242,,74727,False,False,False,False
CVCL_0069,Sodium Salicylate,PTGS2,1242,,10133,False,False,False,False
CVCL_1055,Sodium Salicylate,PTGS2,1242,,74383,False,False,False,False
CVCL_0397,Sodium Salicylate,PTGS2,1242,,22691,False,False,False,False
CVCL_1495,Sodium Salicylate,PTGS2,1242,,78459,False,False,False,False
CVCL_1119,Sodium Salicylate,PTGS2,1242,,63097,False,False,False,False
CVCL_0459,Sodium Salicylate,PTGS2,1242,,4868,False,False,False,False
CVCL_1285,Sodium Salicylate,PTGS2,1242,,1999,False,False,False,False
CVCL_1381,Sodium Salicylate,PTGS2,1242,,645,False,False,False,False
CVCL_0480,(R)-Verapamil (hydrochloride),ABCB1,1665,,185539,False,False,False,False
